Wavelength (nm)	FL058 [10] 21554-70-1, 4',5,7-trimethoxyisoflavanone [D]
230.00	24069
231.00	22527
232.00	20600
233.00	18730
234.00	16563
235.00	14497
236.00	12214
237.00	9471.5
238.00	6966.2
239.00	5297.1
240.00	3258.5
241.00	2159.0
242.00	1466.0
243.00	1228.8
244.00	1090.3
245.00	1039.8
246.00	993.77
247.00	1034.6
248.00	1075.4
249.00	1171.4
250.00	1268.5
251.00	1421.9
252.00	1580.2
253.00	1803.7
254.00	2045.6
255.00	2430.8
256.00	2837.5
257.00	3273.8
258.00	3765.5
259.00	4257.2
260.00	4748.9
261.00	5427.5
262.00	6141.6
263.00	6855.7
264.00	7499.1
265.00	8112.2
266.00	8725.3
267.00	9429.9
268.00	10261
269.00	11092
270.00	11920
271.00	12742
272.00	13564
273.00	14436
274.00	15388
275.00	16330
276.00	17157
277.00	17898
278.00	18471
279.00	19043
280.00	19546
281.00	20023
282.00	20350
283.00	20545
284.00	20600
285.00	20510
286.00	20234
287.00	19751
288.00	19154
289.00	18396
290.00	17612
291.00	16792
292.00	15973
293.00	15154
294.00	14306
295.00	13440
296.00	12574
297.00	11666
298.00	10757
299.00	9784.4
300.00	8744.8
301.00	7748.9
302.00	7082.0
303.00	6576.1
304.00	6230.8
305.00	5969.4
306.00	5743.1
307.00	5532.0
308.00	5341.0
309.00	5166.5
310.00	5029.5
311.00	4898.1
312.00	4782.4
313.00	4678.2
314.00	4573.0
315.00	4464.3
316.00	4355.6
317.00	4243.2
318.00	4122.2
319.00	4001.2
320.00	3894.1
321.00	3787.9
322.00	3681.8
323.00	3537.5
324.00	3391.7
325.00	3243.9
326.00	3058.7
327.00	2865.5
328.00	2653.6
329.00	2443.0
330.00	2247.6
331.00	2052.2
332.00	1887.0
333.00	1726.5
334.00	1579.9
335.00	1452.8
336.00	1325.6
337.00	1213.7
338.00	1106.8
339.00	1002.5
340.00	912.87
341.00	823.23
342.00	738.37
343.00	658.70
344.00	579.02
345.00	522.61
346.00	467.17
347.00	408.65
348.00	347.97
349.00	299.98
350.00	257.96
351.00	215.94
352.00	173.92
353.00	139.40
354.00	109.29
355.00	79.183
356.00	53.669
357.00	29.303
358.00	26.623
359.00	26.623
360.00	26.623
