Wavelength (nm)	A32 abs e
215.00	3383.3
216.00	3069.4
217.00	2866.0
218.00	2744.7
219.00	2693.6
220.00	2693.8
221.00	2733.9
222.00	2802.8
223.00	2892.5
224.00	3000.4
225.00	3121.5
226.00	3254.7
227.00	3393.6
228.00	3543.4
229.00	3696.5
230.00	3855.7
231.00	4022.3
232.00	4189.8
233.00	4365.9
234.00	4542.1
235.00	4723.2
236.00	4905.3
237.00	5091.7
238.00	5278.2
239.00	5461.7
240.00	5645.4
241.00	5830.8
242.00	6006.5
243.00	6173.8
244.00	6330.9
245.00	6479.0
246.00	6608.4
247.00	6719.8
248.00	6810.1
249.00	6875.6
250.00	6918.2
251.00	6920.0
252.00	6898.5
253.00	6836.4
254.00	6741.7
255.00	6616.8
256.00	6456.4
257.00	6254.3
258.00	6019.2
259.00	5759.0
260.00	5473.7
261.00	5166.6
262.00	4854.7
263.00	4523.6
264.00	4192.4
265.00	3854.9
266.00	3526.1
267.00	3211.5
268.00	2908.5
269.00	2619.2
270.00	2354.6
271.00	2112.8
272.00	1888.3
273.00	1683.5
274.00	1500.5
275.00	1338.9
276.00	1196.7
277.00	1070.2
278.00	961.28
279.00	868.79
280.00	790.92
281.00	726.67
282.00	672.81
283.00	630.31
284.00	596.99
285.00	571.94
286.00	555.75
287.00	544.30
288.00	540.19
289.00	542.65
290.00	550.39
291.00	562.81
292.00	580.29
293.00	602.08
294.00	626.29
295.00	656.22
296.00	688.25
297.00	725.76
298.00	763.80
299.00	805.74
300.00	849.41
301.00	895.07
302.00	941.40
303.00	993.75
304.00	1045.1
305.00	1096.3
306.00	1148.2
307.00	1199.3
308.00	1252.2
309.00	1304.5
310.00	1354.4
311.00	1404.1
312.00	1450.8
313.00	1494.5
314.00	1536.5
315.00	1576.1
316.00	1608.4
317.00	1638.4
318.00	1663.8
319.00	1686.4
320.00	1701.4
321.00	1711.7
322.00	1715.0
323.00	1713.1
324.00	1703.2
325.00	1688.1
326.00	1667.4
327.00	1643.1
328.00	1610.3
329.00	1571.8
330.00	1527.6
331.00	1482.1
332.00	1427.8
333.00	1369.0
334.00	1307.7
335.00	1244.7
336.00	1179.5
337.00	1109.7
338.00	1039.4
339.00	970.31
340.00	898.81
341.00	830.60
342.00	761.66
343.00	695.06
344.00	629.48
345.00	568.52
346.00	510.16
347.00	454.10
348.00	402.04
349.00	354.29
350.00	309.21
351.00	270.38
352.00	233.31
353.00	201.09
354.00	171.94
355.00	145.40
356.00	123.40
357.00	104.05
358.00	88.996
359.00	76.729
360.00	65.171
361.00	53.671
362.00	45.133
363.00	36.520
364.00	31.125
365.00	26.217
366.00	25.150
367.00	20.586
368.00	17.092
369.00	14.671
370.00	13.683
371.00	12.009
372.00	10.504
373.00	11.637
374.00	10.588
375.00	9.2643
376.00	9.7328
377.00	9.1586
378.00	9.0286
379.00	9.0316
380.00	10.691
381.00	10.008
382.00	8.6327
383.00	8.3788
384.00	9.0528
385.00	7.5749
386.00	7.3905
387.00	9.1495
388.00	7.6897
389.00	7.9375
390.00	6.3629
391.00	7.1064
392.00	8.5057
393.00	6.3206
394.00	5.4502
395.00	7.2787
396.00	6.7165
397.00	5.7524
398.00	7.0580
399.00	6.8012
400.00	7.2364
