Wavelength (nm)	Chem Eur J 2014_87, At-mes16-9HM-DNCC-44 (4) abs [Z]
200.00	0.73713
201.00	0.76326
202.00	0.78939
203.00	0.82205
204.00	0.85778
205.00	0.88366
206.00	0.90869
207.00	0.92930
208.00	0.94889
209.00	0.96672
210.00	0.98111
211.00	0.99363
212.00	0.99682
213.00	1.0000
214.00	0.99690
215.00	0.99381
216.00	0.98657
217.00	0.97690
218.00	0.96622
219.00	0.94741
220.00	0.92859
221.00	0.90803
222.00	0.88448
223.00	0.86094
224.00	0.83698
225.00	0.81241
226.00	0.78784
227.00	0.76339
228.00	0.74472
229.00	0.72605
230.00	0.70810
231.00	0.69135
232.00	0.67515
233.00	0.66523
234.00	0.65532
235.00	0.64755
236.00	0.64238
237.00	0.63721
238.00	0.63283
239.00	0.62925
240.00	0.62567
241.00	0.62273
242.00	0.62014
243.00	0.61756
244.00	0.61290
245.00	0.60669
246.00	0.58995
247.00	0.56995
248.00	0.55179
249.00	0.53533
250.00	0.51887
251.00	0.50016
252.00	0.47966
253.00	0.45917
254.00	0.43758
255.00	0.41417
256.00	0.39077
257.00	0.36736
258.00	0.34477
259.00	0.32231
260.00	0.29998
261.00	0.28422
262.00	0.26847
263.00	0.25473
264.00	0.24227
265.00	0.23053
266.00	0.22170
267.00	0.21287
268.00	0.20603
269.00	0.20070
270.00	0.19537
271.00	0.19009
272.00	0.18508
273.00	0.18007
274.00	0.17506
275.00	0.17128
276.00	0.16849
277.00	0.16570
278.00	0.16292
279.00	0.16060
280.00	0.15950
281.00	0.15840
282.00	0.15731
283.00	0.15621
284.00	0.15491
285.00	0.15225
286.00	0.14960
287.00	0.14695
288.00	0.14424
289.00	0.14075
290.00	0.13726
291.00	0.13377
292.00	0.13028
293.00	0.12658
294.00	0.12250
295.00	0.11842
296.00	0.11434
297.00	0.11026
298.00	0.10592
299.00	0.10144
300.00	0.096956
301.00	0.092473
302.00	0.087990
303.00	0.083751
304.00	0.079612
305.00	0.075472
306.00	0.071333
307.00	0.067180
308.00	0.063001
309.00	0.058823
310.00	0.054644
311.00	0.050465
312.00	0.046396
313.00	0.042370
314.00	0.038343
315.00	0.034317
316.00	0.031284
317.00	0.028531
318.00	0.025779
319.00	0.023026
320.00	0.020273
321.00	0.018346
322.00	0.016575
323.00	0.014804
324.00	0.013034
325.00	0.011866
326.00	0.010983
327.00	0.010100
328.00	0.0092168
329.00	0.0083641
330.00	0.0076417
331.00	0.0069193
332.00	0.0061969
333.00	0.0054744
334.00	0.0047520
335.00	0.0044753
336.00	0.0043895
337.00	0.0043038
338.00	0.0042180
339.00	0.0041323
340.00	0.0040465
341.00	0.0039608
342.00	0.0038750
343.00	0.0037374
344.00	0.0035998
345.00	0.0034622
346.00	0.0033246
347.00	0.0031870
348.00	0.0030494
349.00	0.0029117
350.00	0.0027741
351.00	0.0026365
352.00	0.0025520
353.00	0.0024715
354.00	0.0023909
355.00	0.0023104
356.00	0.0022298
357.00	0.0021493
358.00	0.0020688
359.00	0.0019882
360.00	0.0019077
361.00	0.0018272
362.00	0.0017466
363.00	0.0016661
364.00	0.0015855
365.00	0.0015050
366.00	0.0014662
367.00	0.0014274
368.00	0.0013887
369.00	0.0013499
370.00	0.0013111
371.00	0.0012723
372.00	0.0012335
373.00	0.0011947
374.00	0.0011560
375.00	0.0011358
376.00	0.0011358
377.00	0.0011358
378.00	0.0011358
379.00	0.0011358
380.00	0.0011358
381.00	0.0011358
382.00	0.0011358
383.00	0.0011358
384.00	0.0011358
385.00	0.0011358
386.00	0.0011358
387.00	0.0011358
388.00	0.0011358
389.00	0.0011358
390.00	0.0011358
391.00	0.0011358
392.00	0.0011358
393.00	0.0011358
394.00	0.0011358
395.00	0.0011358
396.00	0.0011358
397.00	0.0011358
398.00	0.0011358
399.00	0.0011358
400.00	0.0011358
