Wavelength (nm)	H12 abs e
350.00	15212
351.00	15489
352.00	15800
353.00	16150
354.00	16546
355.00	16990
356.00	17458
357.00	17952
358.00	18391
359.00	18943
360.00	19525
361.00	20096
362.00	20642
363.00	21108
364.00	21614
365.00	22192
366.00	22774
367.00	23356
368.00	23861
369.00	24383
370.00	25111
371.00	26046
372.00	27030
373.00	28155
374.00	29297
375.00	30645
376.00	32052
377.00	33530
378.00	35087
379.00	36531
380.00	37832
381.00	39123
382.00	40350
383.00	41631
384.00	42836
385.00	44040
386.00	45327
387.00	46912
388.00	48803
389.00	51050
390.00	53499
391.00	56388
392.00	59874
393.00	63548
394.00	67406
395.00	71619
396.00	76243
397.00	81222
398.00	86747
399.00	92262
400.00	98007
401.00	1.0427e+05
402.00	1.1080e+05
403.00	1.1768e+05
404.00	1.2482e+05
405.00	1.3195e+05
406.00	1.3867e+05
407.00	1.4480e+05
408.00	1.5129e+05
409.00	1.5763e+05
410.00	1.6271e+05
411.00	1.6703e+05
412.00	1.7035e+05
413.00	1.7278e+05
414.00	1.7366e+05
415.00	1.7400e+05
416.00	1.7269e+05
417.00	1.7053e+05
418.00	1.6756e+05
419.00	1.6397e+05
420.00	1.5990e+05
421.00	1.5436e+05
422.00	1.4751e+05
423.00	1.3935e+05
424.00	1.3004e+05
425.00	1.1967e+05
426.00	1.0857e+05
427.00	96045
428.00	83518
429.00	70391
430.00	58166
431.00	47808
432.00	38438
433.00	29797
434.00	23106
435.00	18127
436.00	14069
437.00	11079
438.00	8774.5
439.00	7063.2
440.00	5799.1
441.00	4867.6
442.00	4229.4
443.00	3713.8
444.00	3293.9
445.00	2978.3
446.00	2773.3
447.00	2594.8
448.00	2424.3
449.00	2333.3
450.00	2203.1
451.00	2106.4
452.00	2022.1
453.00	1977.1
454.00	1942.3
455.00	1898.9
456.00	1877.2
457.00	1867.7
458.00	1861.3
459.00	1866.6
460.00	1856.1
461.00	1880.7
462.00	1835.6
463.00	1836.3
464.00	1899.3
465.00	1960.2
466.00	2004.8
467.00	1983.0
468.00	2043.5
469.00	2077.1
470.00	2152.6
471.00	2197.6
472.00	2267.9
473.00	2370.4
474.00	2484.7
475.00	2618.0
476.00	2746.6
477.00	2844.0
478.00	2958.3
479.00	3086.5
480.00	3314.4
481.00	3482.8
482.00	3657.6
483.00	3807.5
484.00	3981.0
485.00	4220.3
486.00	4462.0
487.00	4518.4
488.00	4623.4
489.00	4884.2
490.00	5121.4
491.00	5325.0
492.00	5506.7
493.00	5764.5
494.00	6005.5
495.00	6277.0
496.00	6607.1
497.00	6911.1
498.00	7205.3
499.00	7578.3
500.00	7946.0
501.00	8344.7
502.00	8754.0
503.00	9202.6
504.00	9639.1
505.00	10148
506.00	10711
507.00	11244
508.00	11762
509.00	12154
510.00	12437
511.00	12603
512.00	12626
513.00	12508
514.00	12353
515.00	12128
516.00	11821
517.00	11397
518.00	10936
519.00	10317
520.00	9596.8
521.00	8826.8
522.00	8011.4
523.00	7156.8
524.00	6392.9
525.00	5650.4
526.00	4971.3
527.00	4448.4
528.00	3974.6
529.00	3577.2
530.00	3287.3
531.00	3044.0
532.00	2908.1
533.00	2936.2
534.00	3005.2
535.00	3214.3
536.00	3580.1
537.00	4046.4
538.00	4596.0
539.00	5105.7
540.00	5564.0
541.00	6040.5
542.00	6489.8
543.00	6838.6
544.00	7086.1
545.00	7226.0
546.00	7241.4
547.00	7162.8
548.00	6973.2
549.00	6681.0
550.00	6249.5
551.00	5728.9
552.00	5186.1
553.00	4641.7
554.00	4086.5
555.00	3575.4
556.00	3110.0
557.00	2716.7
558.00	2338.8
559.00	2084.2
560.00	1834.7
561.00	1636.8
562.00	1482.4
563.00	1325.8
564.00	1236.9
565.00	1149.5
566.00	1046.0
567.00	987.98
568.00	934.35
569.00	940.65
570.00	967.54
571.00	1000.6
572.00	1071.4
573.00	1140.2
574.00	1259.2
575.00	1392.8
576.00	1478.3
577.00	1567.9
578.00	1773.8
579.00	1950.7
580.00	2356.3
581.00	2878.3
582.00	3565.8
583.00	4208.3
584.00	4944.9
585.00	5494.2
586.00	5647.2
587.00	5585.2
588.00	5470.3
589.00	5395.5
590.00	5455.3
591.00	5547.2
592.00	5564.0
593.00	5471.3
594.00	5282.1
595.00	5012.5
596.00	4708.5
597.00	4296.8
598.00	3834.5
599.00	3349.6
600.00	2882.6
601.00	2478.6
602.00	2139.2
603.00	1882.7
604.00	1720.6
605.00	1550.8
606.00	1408.5
607.00	1303.1
608.00	1188.9
609.00	1094.9
610.00	1038.5
611.00	960.06
612.00	930.60
613.00	917.66
614.00	879.52
615.00	886.84
616.00	885.83
617.00	865.22
618.00	845.30
619.00	822.31
620.00	803.76
621.00	810.06
622.00	816.02
623.00	885.99
624.00	955.97
625.00	1120.8
626.00	1379.5
627.00	1745.8
628.00	2157.6
629.00	2554.8
630.00	2883.3
631.00	3106.8
632.00	3244.3
633.00	3318.5
634.00	3462.8
635.00	3767.7
636.00	4391.8
637.00	5566.0
638.00	7522.4
639.00	10305
640.00	13742
641.00	17217
642.00	19777
643.00	20635
644.00	19773
645.00	17458
646.00	14368
647.00	11247
648.00	8496.0
649.00	6213.5
650.00	4513.7
651.00	3253.0
652.00	2398.3
653.00	1820.2
654.00	1464.7
655.00	1085.7
656.00	947.27
657.00	834.91
658.00	634.36
659.00	530.85
660.00	432.77
661.00	350.39
662.00	274.96
663.00	220.99
664.00	199.71
665.00	169.40
666.00	145.57
667.00	97.894
668.00	84.785
669.00	109.64
670.00	84.785
671.00	82.572
672.00	83.082
673.00	85.637
674.00	74.911
675.00	54.310
676.00	64.186
677.00	73.549
678.00	77.295
679.00	72.528
680.00	64.866
681.00	63.334
682.00	67.421
683.00	54.481
684.00	65.207
685.00	65.377
686.00	69.973
687.00	55.672
688.00	63.673
689.00	71.505
690.00	65.887
691.00	57.886
692.00	70.654
693.00	59.589
694.00	56.013
695.00	58.737
696.00	54.651
697.00	55.843
698.00	73.378
699.00	57.545
700.00	56.865
