Wavelength (nm)	FL052 [9] 27200-12-0, Ampelopsin [C]
210.00	26477
211.00	25906
212.00	25181
213.00	24360
214.00	23471
215.00	22539
216.00	21554
217.00	20466
218.00	19315
219.00	18108
220.00	16946
221.00	15876
222.00	14955
223.00	14178
224.00	13553
225.00	13049
226.00	12628
227.00	12280
228.00	11972
229.00	11697
230.00	11408
231.00	11073
232.00	10635
233.00	10046
234.00	9351.6
235.00	8638.7
236.00	8002.7
237.00	7464.7
238.00	7007.0
239.00	6539.8
240.00	5972.6
241.00	5302.4
242.00	4571.3
243.00	3892.5
244.00	3333.3
245.00	2895.9
246.00	2544.2
247.00	2265.5
248.00	2036.5
249.00	1862.2
250.00	1733.2
251.00	1633.3
252.00	1566.7
253.00	1528.9
254.00	1518.8
255.00	1530.5
256.00	1554.9
257.00	1599.8
258.00	1658.0
259.00	1734.3
260.00	1821.5
261.00	1926.6
262.00	2046.9
263.00	2179.0
264.00	2326.6
265.00	2490.0
266.00	2671.2
267.00	2875.9
268.00	3085.6
269.00	3317.6
270.00	3565.6
271.00	3832.5
272.00	4114.9
273.00	4409.3
274.00	4719.0
275.00	5034.9
276.00	5363.6
277.00	5697.5
278.00	6042.5
279.00	6396.9
280.00	6749.4
281.00	7097.8
282.00	7435.6
283.00	7767.0
284.00	8075.2
285.00	8363.7
286.00	8616.0
287.00	8837.0
288.00	9037.6
289.00	9198.6
290.00	9319.9
291.00	9387.9
292.00	9400.0
293.00	9352.7
294.00	9255.1
295.00	9102.9
296.00	8892.5
297.00	8646.8
298.00	8341.9
299.00	8004.5
300.00	7653.6
301.00	7262.0
302.00	6876.4
303.00	6468.4
304.00	6071.2
305.00	5674.1
306.00	5299.1
307.00	4929.4
308.00	4594.6
309.00	4280.0
310.00	3999.0
311.00	3744.8
312.00	3516.6
313.00	3315.6
314.00	3137.7
315.00	2987.0
316.00	2857.7
317.00	2749.2
318.00	2655.3
319.00	2566.6
320.00	2489.8
321.00	2426.6
322.00	2371.3
323.00	2315.8
324.00	2274.2
325.00	2229.1
326.00	2191.3
327.00	2155.7
328.00	2120.9
329.00	2082.5
330.00	2038.9
331.00	2000.4
332.00	1963.9
333.00	1921.5
334.00	1881.7
335.00	1834.0
336.00	1790.2
337.00	1739.6
338.00	1688.6
339.00	1638.4
340.00	1581.4
341.00	1523.6
342.00	1466.8
343.00	1409.3
344.00	1345.5
345.00	1290.1
346.00	1226.5
347.00	1163.7
348.00	1105.7
349.00	1049.0
350.00	990.71
351.00	937.75
352.00	884.20
353.00	839.75
354.00	781.15
355.00	737.88
356.00	693.47
357.00	656.80
358.00	624.89
359.00	596.41
360.00	567.75
361.00	539.98
362.00	512.55
363.00	480.63
364.00	452.95
365.00	435.43
366.00	422.86
367.00	409.10
368.00	388.18
369.00	373.74
370.00	356.04
371.00	352.77
372.00	331.36
373.00	319.18
374.00	314.57
375.00	312.79
376.00	307.93
377.00	302.45
378.00	291.88
379.00	280.58
380.00	275.56
381.00	272.44
382.00	268.88
383.00	262.61
384.00	252.24
385.00	242.43
386.00	239.64
387.00	225.69
388.00	234.22
389.00	222.28
390.00	205.09
391.00	191.54
392.00	188.23
393.00	176.00
394.00	176.38
395.00	155.33
396.00	154.26
397.00	140.62
398.00	127.27
399.00	118.73
400.00	106.17
401.00	98.175
402.00	86.454
403.00	73.413
404.00	75.075
405.00	70.231
406.00	61.707
407.00	49.901
408.00	43.182
409.00	42.556
410.00	42.841
411.00	38.650
412.00	34.274
413.00	25.495
414.00	27.966
415.00	20.977
416.00	14.939
417.00	11.402
418.00	6.9410
419.00	7.5093
420.00	5.7477
421.00	5.0658
422.00	4.2702
423.00	14.172
424.00	11.331
425.00	7.1967
426.00	6.6711
427.00	7.6797
428.00	2.9632
429.00	9.1146
430.00	2.1961
431.00	8.4043
432.00	5.4493
433.00	1.1448
434.00	1.9877
435.00	1.9972
436.00	1.5994
437.00	3.6877
438.00	1.6704
439.00	5.0492
440.00	3.1195
441.00	4.1968
442.00	4.6657
443.00	4.9379
444.00	5.4067
445.00	4.3128
446.00	6.4438
447.00	8.4895
448.00	3.8857
449.00	6.7279
450.00	1.9404
451.00	7.5803
452.00	7.9639
453.00	7.8076
454.00	1.3036
455.00	4.8101
456.00	5.9324
457.00	5.3073
458.00	1.3318
459.00	9.0578
460.00	11.089
461.00	11.998
462.00	9.5550
463.00	7.6371
464.00	3.0200
465.00	10.066
466.00	11.771
467.00	14.186
468.00	11.956
469.00	9.1572
470.00	13.050
471.00	15.110
472.00	8.6316
473.00	18.278
474.00	8.7310
475.00	22.625
476.00	11.658
477.00	14.556
478.00	13.604
479.00	19.769
480.00	7.7650
481.00	14.897
482.00	11.998
483.00	21.105
484.00	17.468
485.00	6.5574
486.00	4.6372
487.00	12.155
488.00	11.359
489.00	12.624
490.00	15.962
491.00	13.107
492.00	25.679
493.00	17.255
494.00	3.4320
495.00	13.732
496.00	10.322
497.00	14.527
498.00	8.5321
499.00	1.4147
500.00	13.107
