Wavelength (nm)	O07 abs e
220.00	32365
220.25	32327
220.50	32107
220.75	32017
221.00	31935
221.25	31887
221.50	31676
221.75	31565
222.00	31381
222.25	31308
222.50	31129
222.75	31103
223.00	30902
223.25	30869
223.50	30670
223.75	30601
224.00	30424
224.25	30234
224.50	30144
224.75	29890
225.00	29963
225.25	29831
225.50	29717
225.75	29649
226.00	29684
226.25	29343
226.50	29338
226.75	29261
227.00	29063
227.25	29152
227.50	29070
227.75	28843
228.00	28746
228.25	28739
228.50	28566
228.75	28517
229.00	28359
229.25	28350
229.50	28224
229.75	28113
230.00	28071
230.25	28071
230.50	27988
230.75	27857
231.00	27671
231.25	27558
231.50	27504
231.75	27463
232.00	27484
232.25	27274
232.50	27181
232.75	27156
233.00	27071
233.25	26999
233.50	26839
233.75	26752
234.00	26721
234.25	26545
234.50	26558
234.75	26422
235.00	26350
235.25	26220
235.50	26070
235.75	25930
236.00	25842
236.25	25786
236.50	25770
236.75	25651
237.00	25612
237.25	25512
237.50	25442
237.75	25348
238.00	25312
238.25	25216
238.50	25008
238.75	25012
239.00	24973
239.25	24801
239.50	24795
239.75	24713
240.00	24646
240.25	24538
240.50	24524
240.75	24390
241.00	24372
241.25	24260
241.50	24236
241.75	24131
242.00	24100
242.25	24009
242.50	23899
242.75	23868
243.00	23828
243.25	23820
243.50	23735
243.75	23655
244.00	23627
244.25	23556
244.50	23534
244.75	23488
245.00	23474
245.25	23386
245.50	23366
245.75	23315
246.00	23291
246.25	23310
246.50	23283
246.75	23190
247.00	23234
247.25	23176
247.50	23201
247.75	23242
248.00	23207
248.25	23180
248.50	23185
248.75	23261
249.00	23132
249.25	23202
249.50	23192
249.75	23219
250.00	23264
250.25	23333
250.50	23313
250.75	23347
251.00	23348
251.25	23325
251.50	23356
251.75	23417
252.00	23430
252.25	23449
252.50	23581
252.75	23550
253.00	23630
253.25	23722
253.50	23803
253.75	23860
254.00	23914
254.25	23970
254.50	23914
254.75	23928
255.00	23979
255.25	23986
255.50	24184
255.75	24148
256.00	24216
256.25	24351
256.50	24434
256.75	24462
257.00	24521
257.25	24532
257.50	24591
257.75	24609
258.00	24789
258.25	24799
258.50	24928
258.75	24949
259.00	24978
259.25	25083
259.50	25196
259.75	25232
260.00	25224
260.25	25307
260.50	25380
260.75	25355
261.00	25390
261.25	25502
261.50	25514
261.75	25541
262.00	25733
262.25	25695
262.50	25703
262.75	25665
263.00	25746
263.25	25757
263.50	25745
263.75	25814
264.00	25849
264.25	25815
264.50	25856
264.75	25807
265.00	25779
265.25	25784
265.50	25814
265.75	25761
266.00	25723
266.25	25672
266.50	25681
266.75	25716
267.00	25661
267.25	25586
267.50	25539
267.75	25458
268.00	25388
268.25	25380
268.50	25177
268.75	25270
269.00	25053
269.25	25073
269.50	24912
269.75	24902
270.00	24897
270.25	24809
270.50	24651
270.75	24561
271.00	24489
271.25	24339
271.50	24252
271.75	24190
272.00	24039
272.25	23926
272.50	23939
272.75	23712
273.00	23602
273.25	23457
273.50	23400
273.75	23250
274.00	23187
274.25	23037
274.50	22929
274.75	22717
275.00	22622
275.25	22432
275.50	22286
275.75	22221
276.00	22028
276.25	21883
276.50	21751
276.75	21653
277.00	21487
277.25	21371
277.50	21199
277.75	21136
278.00	20933
278.25	20829
278.50	20788
278.75	20606
279.00	20521
279.25	20333
279.50	20218
279.75	20092
280.00	19974
280.25	19775
280.50	19691
280.75	19574
281.00	19520
281.25	19323
281.50	19286
281.75	19184
282.00	18996
282.25	18897
282.50	18742
282.75	18720
283.00	18567
283.25	18431
283.50	18258
283.75	18289
284.00	18138
284.25	18021
284.50	17888
284.75	17790
285.00	17731
285.25	17626
285.50	17564
285.75	17384
286.00	17202
286.25	17218
286.50	17121
286.75	17016
287.00	16925
287.25	16835
287.50	16797
287.75	16608
288.00	16657
288.25	16470
288.50	16384
288.75	16339
289.00	16240
289.25	16094
289.50	16061
289.75	15962
290.00	15894
290.25	15787
290.50	15676
290.75	15698
291.00	15577
291.25	15501
291.50	15463
291.75	15407
292.00	15373
292.25	15224
292.50	15191
292.75	15056
293.00	15014
293.25	15058
293.50	14995
293.75	14982
294.00	14969
294.25	14947
294.50	14895
294.75	14833
295.00	14772
295.25	14809
295.50	14737
295.75	14694
296.00	14684
296.25	14627
296.50	14660
296.75	14565
297.00	14592
297.25	14525
297.50	14587
297.75	14464
298.00	14449
298.25	14412
298.50	14433
298.75	14423
299.00	14436
299.25	14437
299.50	14415
299.75	14455
300.00	14435
300.25	14451
300.50	14461
300.75	14384
301.00	14363
301.25	14506
301.50	14497
301.75	14577
302.00	14595
302.25	14617
