Wavelength (nm)	K12 abs e
310.75	3002.6
311.00	1876.2
311.25	1457.6
311.50	2446.1
311.75	2293.1
312.00	2496.5
312.25	2656.2
312.50	2320.0
312.75	2422.6
313.00	2131.7
313.25	2343.5
313.50	2195.6
313.75	3343.8
314.00	2444.4
314.25	2699.9
314.50	1783.7
314.75	2636.1
315.00	1792.1
315.25	2686.5
315.50	1575.2
315.75	2457.9
316.00	1082.7
316.25	2797.5
316.50	2644.5
316.75	1393.7
317.00	1479.4
317.25	2269.6
317.50	1112.9
317.75	1257.5
318.00	1491.2
318.25	1684.5
318.50	1265.9
318.75	1755.1
319.00	1805.6
319.25	2832.8
319.50	1244.1
319.75	731.30
320.00	2069.5
320.25	756.52
320.50	2467.9
320.75	1793.8
321.00	1350.0
321.25	1849.3
321.50	2947.1
321.75	2365.4
322.00	1503.0
322.25	1918.2
322.50	1193.6
322.75	1627.4
323.00	2199.0
323.25	1640.8
323.50	2190.6
323.75	1940.1
324.00	1390.3
324.25	1753.4
324.50	1430.7
324.75	1247.4
325.00	2029.2
325.25	2077.9
325.50	1459.2
325.75	1447.5
326.00	2279.7
326.25	2293.1
326.50	2503.2
326.75	1553.4
327.00	1259.2
327.25	1292.8
327.50	1087.7
327.75	2536.9
328.00	1731.6
328.25	1840.9
328.50	1753.4
328.75	2688.2
329.00	1529.9
329.25	1729.9
329.50	2284.7
329.75	2540.2
330.00	1097.8
330.25	2469.6
330.50	1819.0
330.75	2057.7
331.00	2054.4
331.25	1104.5
331.50	1782.0
331.75	2091.4
332.00	2086.3
332.25	738.03
332.50	2225.9
332.75	1590.4
333.00	2921.9
333.25	2590.7
333.50	2333.5
333.75	2624.3
334.00	2484.8
334.25	1679.5
334.50	2814.3
334.75	1168.4
335.00	2972.3
335.25	1413.9
335.50	2151.9
335.75	2315.0
336.00	1284.4
336.25	1518.1
336.50	3523.7
336.75	2394.0
337.00	2510.0
337.25	2484.8
337.50	2035.9
337.75	1936.7
338.00	2370.4
338.25	1785.4
338.50	1534.9
338.75	2528.5
339.00	2889.9
339.25	2984.1
339.50	2486.4
339.75	3086.6
340.00	2158.6
340.25	2859.7
340.50	2728.5
340.75	1735.0
341.00	2589.0
341.25	2394.0
341.50	2615.9
341.75	2594.0
342.00	2331.8
342.25	2799.1
342.50	2740.3
342.75	2617.6
343.00	3301.8
343.25	2933.6
343.50	3316.9
343.75	3212.7
344.00	3369.0
344.25	3458.1
344.50	3032.8
344.75	2735.2
345.00	3058.0
345.25	3836.4
345.50	4238.2
345.75	3501.9
346.00	3703.6
346.25	4150.8
346.50	4218.0
346.75	3802.8
347.00	4317.2
347.25	4666.9
347.50	3762.4
347.75	3083.2
348.00	4835.0
348.25	3755.7
348.50	3975.9
348.75	4307.1
349.00	3738.9
349.25	4384.5
349.50	3986.0
349.75	4098.7
350.00	4937.6
350.25	4315.5
350.50	4576.1
350.75	4261.7
351.00	4179.4
351.25	3678.4
351.50	4229.8
351.75	4066.7
352.00	3831.4
352.25	3342.1
352.50	4798.0
352.75	4253.3
353.00	4974.6
353.25	3878.4
353.50	3794.4
353.75	4238.2
354.00	5438.6
