Wavelength (nm)	M01 abs e
220.00	36852
220.25	35962
220.50	35180
220.75	34575
221.00	33634
221.25	33371
221.50	32261
221.75	31643
222.00	30601
222.25	29648
222.50	28723
222.75	27527
223.00	26421
223.25	25238
223.50	24181
223.75	22860
224.00	22199
224.25	21377
224.50	20920
224.75	20598
225.00	20399
225.25	20314
225.50	20628
225.75	20914
226.00	20974
226.25	21233
226.50	21439
226.75	21524
227.00	21325
227.25	20973
227.50	20340
227.75	19671
228.00	18587
228.25	17805
228.50	16730
228.75	15778
229.00	14818
229.25	13852
229.50	13052
229.75	12409
230.00	11763
230.25	11217
230.50	10852
230.75	10376
231.00	10091
231.25	9843.3
231.50	9622.9
231.75	9640.8
232.00	9525.4
232.25	9465.1
232.50	9438.6
232.75	9487.9
233.00	9607.4
233.25	9689.0
233.50	9763.8
233.75	9948.1
234.00	10207
234.25	10462
234.50	10793
234.75	11065
235.00	11408
235.25	11968
235.50	12493
235.75	13031
236.00	13535
236.25	14112
236.50	14465
236.75	14838
237.00	15148
237.25	15485
237.50	15725
237.75	15972
238.00	16268
238.25	16421
238.50	16649
238.75	16883
239.00	17246
239.25	17434
239.50	17811
239.75	18251
240.00	18610
240.25	19119
240.50	19714
240.75	20244
241.00	20872
241.25	21548
241.50	22232
241.75	23062
242.00	24017
242.25	25014
242.50	26055
242.75	27116
243.00	28396
243.25	29581
243.50	30699
243.75	32136
244.00	33201
244.25	34147
244.50	34866
244.75	35629
245.00	35854
245.25	36328
245.50	36377
245.75	36283
246.00	36024
246.25	35691
246.50	35365
246.75	34977
247.00	34769
247.25	34510
247.50	34404
247.75	34387
248.00	34202
248.25	34403
248.50	34577
248.75	34845
249.00	35393
249.25	35908
249.50	36595
249.75	37496
250.00	38606
250.25	39666
250.50	41088
250.75	42639
251.00	44353
251.25	46082
251.50	47677
251.75	49164
252.00	50453
252.25	51513
252.50	52147
252.75	52299
253.00	51708
253.25	50976
253.50	49728
253.75	48028
254.00	46273
254.25	44383
254.50	42739
254.75	41783
255.00	40544
255.25	38354
255.50	36103
255.75	33855
256.00	31919
256.25	29838
256.50	27872
256.75	26024
257.00	24452
257.25	22985
257.50	21533
257.75	20331
258.00	19147
258.25	18149
258.50	17361
258.75	16469
259.00	15713
259.25	15165
259.50	14624
259.75	14161
260.00	13741
260.25	13420
260.50	13038
260.75	12736
261.00	12506
261.25	12285
261.50	12127
261.75	12021
262.00	11827
262.25	11753
262.50	11600
262.75	11601
263.00	11425
263.25	11327
263.50	11416
263.75	11276
264.00	11174
264.25	11017
264.50	10836
264.75	10669
265.00	10410
265.25	10200
265.50	9882.3
265.75	9657.3
266.00	9317.4
266.25	9112.4
266.50	8889.6
266.75	8660.8
267.00	8332.9
267.25	8053.2
267.50	7783.5
267.75	7471.8
268.00	7261.0
268.25	6924.8
268.50	6712.3
268.75	6455.3
269.00	6135.0
269.25	5949.3
269.50	5677.6
269.75	5438.2
270.00	5212.2
270.25	4923.2
270.50	4691.1
270.75	4519.5
271.00	4416.2
271.25	4194.0
271.50	3995.6
271.75	3934.0
272.00	3687.0
272.25	3678.7
272.50	3474.5
272.75	3326.0
273.00	3268.8
273.25	3191.3
273.50	2982.6
273.75	2922.3
274.00	2840.3
274.25	2769.0
274.50	2708.1
274.75	2685.7
275.00	2542.4
275.25	2475.6
275.50	2456.3
275.75	2319.9
276.00	2296.1
276.25	2255.5
276.50	2170.0
276.75	2127.3
277.00	2064.3
277.25	2052.2
277.50	2021.6
277.75	1968.9
278.00	1987.8
278.25	1907.6
278.50	1970.6
278.75	1946.8
279.00	1933.1
279.25	1893.4
279.50	1774.6
279.75	1770.5
280.00	1831.1
280.25	1826.3
280.50	1768.4
280.75	1759.4
281.00	1735.7
281.25	1678.2
281.50	1673.3
281.75	1553.5
282.00	1527.3
282.25	1506.3
282.50	1521.1
282.75	1469.1
283.00	1376.8
283.25	1400.9
283.50	1352.0
283.75	1268.3
284.00	1286.5
284.25	1262.4
284.50	1230.7
284.75	1285.5
285.00	1246.9
285.25	1279.3
285.50	1218.3
285.75	1204.9
286.00	1194.9
286.25	1215.2
286.50	1266.9
286.75	1214.5
287.00	1169.8
287.25	1226.9
287.50	1194.2
287.75	1174.2
288.00	1092.2
288.25	1137.0
288.50	1132.9
