Wavelength (nm)	PCPB Sci 2014_407, Me-sFCC abs [Z]
210.00	1.3870
211.00	1.3804
212.00	1.3738
213.00	1.3673
214.00	1.3607
215.00	1.3547
216.00	1.3489
217.00	1.3430
218.00	1.3371
219.00	1.3313
220.00	1.3243
221.00	1.3170
222.00	1.3096
223.00	1.3023
224.00	1.2931
225.00	1.2822
226.00	1.2712
227.00	1.2602
228.00	1.2493
229.00	1.2383
230.00	1.2268
231.00	1.2135
232.00	1.2003
233.00	1.1870
234.00	1.1738
235.00	1.1605
236.00	1.1473
237.00	1.1344
238.00	1.1256
239.00	1.1167
240.00	1.1079
241.00	1.0990
242.00	1.0902
243.00	1.0813
244.00	1.0725
245.00	1.0637
246.00	1.0546
247.00	1.0453
248.00	1.0361
249.00	1.0268
250.00	1.0175
251.00	1.0083
252.00	0.99898
253.00	0.98971
254.00	0.98043
255.00	0.97062
256.00	0.96048
257.00	0.95034
258.00	0.94020
259.00	0.93006
260.00	0.91974
261.00	0.90788
262.00	0.89601
263.00	0.88414
264.00	0.87228
265.00	0.86041
266.00	0.84854
267.00	0.83440
268.00	0.81908
269.00	0.80376
270.00	0.78844
271.00	0.77312
272.00	0.75786
273.00	0.74289
274.00	0.72793
275.00	0.71297
276.00	0.69841
277.00	0.68480
278.00	0.67120
279.00	0.65760
280.00	0.64419
281.00	0.63140
282.00	0.61860
283.00	0.61258
284.00	0.60990
285.00	0.60722
286.00	0.60651
287.00	0.60931
288.00	0.61211
289.00	0.61491
290.00	0.62366
291.00	0.63330
292.00	0.64295
293.00	0.65259
294.00	0.66835
295.00	0.68412
296.00	0.69988
297.00	0.71565
298.00	0.73151
299.00	0.74985
300.00	0.76819
301.00	0.78653
302.00	0.80486
303.00	0.82320
304.00	0.84096
305.00	0.85849
306.00	0.87602
307.00	0.89355
308.00	0.90971
309.00	0.92269
310.00	0.93567
311.00	0.94865
312.00	0.96163
313.00	0.97461
314.00	0.98527
315.00	0.99583
316.00	0.99759
317.00	0.99880
318.00	1.0000
319.00	0.99759
320.00	0.99517
321.00	0.99213
322.00	0.97926
323.00	0.96640
324.00	0.94946
325.00	0.93180
326.00	0.91414
327.00	0.89648
328.00	0.87867
329.00	0.85883
330.00	0.83899
331.00	0.81914
332.00	0.79930
333.00	0.77946
334.00	0.76268
335.00	0.74616
336.00	0.72964
337.00	0.71908
338.00	0.71000
339.00	0.70092
340.00	0.69184
341.00	0.68386
342.00	0.68023
343.00	0.67661
344.00	0.67299
345.00	0.66936
346.00	0.66600
347.00	0.66761
348.00	0.66922
349.00	0.67084
350.00	0.67245
351.00	0.67406
352.00	0.67767
353.00	0.68298
354.00	0.68830
355.00	0.69361
356.00	0.69892
357.00	0.70415
358.00	0.70503
359.00	0.70591
360.00	0.70679
361.00	0.70431
362.00	0.70184
363.00	0.69936
364.00	0.68877
365.00	0.67576
366.00	0.66218
367.00	0.64767
368.00	0.63316
369.00	0.61865
370.00	0.60487
371.00	0.59119
372.00	0.57751
373.00	0.56382
374.00	0.55014
375.00	0.53671
376.00	0.52369
377.00	0.51068
378.00	0.49767
379.00	0.48466
380.00	0.46821
381.00	0.44938
382.00	0.43055
383.00	0.41171
384.00	0.38843
385.00	0.36470
386.00	0.34097
387.00	0.31611
388.00	0.28766
389.00	0.25921
390.00	0.23075
391.00	0.20882
392.00	0.18738
393.00	0.16594
394.00	0.14450
395.00	0.12512
396.00	0.10995
397.00	0.094769
398.00	0.079593
399.00	0.066315
400.00	0.057683
401.00	0.049051
402.00	0.040420
403.00	0.035466
404.00	0.031490
405.00	0.027514
406.00	0.023538
407.00	0.019563
408.00	0.017262
409.00	0.015864
410.00	0.014465
411.00	0.013067
412.00	0.011669
413.00	0.010270
414.00	0.0088721
415.00	0.0081647
416.00	0.0078131
417.00	0.0074616
418.00	0.0071101
419.00	0.0067585
420.00	0.0064070
421.00	0.0060554
422.00	0.0057039
423.00	0.0053523
424.00	0.0050008
425.00	0.0047767
426.00	0.0046569
427.00	0.0045371
428.00	0.0044173
429.00	0.0042975
430.00	0.0041777
431.00	0.0040579
432.00	0.0039381
433.00	0.0038183
434.00	0.0036984
435.00	0.0035786
436.00	0.0034588
437.00	0.0033390
438.00	0.0032192
439.00	0.0030994
440.00	0.0029796
441.00	0.0028598
442.00	0.0027400
443.00	0.0026202
444.00	0.0025004
445.00	0.0023806
446.00	0.0022608
447.00	0.0021769
448.00	0.0021769
449.00	0.0021769
450.00	0.0021769
451.00	0.0021769
452.00	0.0021769
453.00	0.0021769
454.00	0.0021769
455.00	0.0021769
456.00	0.0021769
457.00	0.0021769
458.00	0.0021769
459.00	0.0021769
460.00	0.0021769
461.00	0.0021769
462.00	0.0021769
463.00	0.0021769
464.00	0.0021769
465.00	0.0021769
466.00	0.0021769
467.00	0.0021769
468.00	0.0021769
469.00	0.0021769
470.00	0.0021769
471.00	0.0021769
472.00	0.0021769
473.00	0.0021769
474.00	0.0021769
475.00	0.0021769
476.00	0.0021769
477.00	0.0021769
478.00	0.0021769
479.00	0.0021769
480.00	0.0021769
481.00	0.0021769
482.00	0.0021769
483.00	0.0021769
484.00	0.0021769
485.00	0.0021769
486.00	0.0021769
487.00	0.0021769
488.00	0.0021769
489.00	0.0021769
490.00	0.0021769
491.00	0.0021769
492.00	0.0021769
493.00	0.0021769
494.00	0.0021769
495.00	0.0021769
496.00	0.0021769
497.00	0.0021769
498.00	0.0021769
499.00	0.0021769
500.00	0.0021769
