Wavelemgth (nm)	FL099 [11] 521-34-6, Sciadopitysin [D]
225.00	44889
226.00	44226
227.00	43563
228.00	42822
229.00	41987
230.00	41151
231.00	40113
232.00	39015
233.00	37917
234.00	36859
235.00	35819
236.00	34776
237.00	33717
238.00	32657
239.00	31714
240.00	30791
241.00	30148
242.00	29548
243.00	28947
244.00	28662
245.00	28378
246.00	28093
247.00	27904
248.00	27799
249.00	27694
250.00	27722
251.00	27906
252.00	28089
253.00	28306
254.00	28604
255.00	28902
256.00	29200
257.00	29832
258.00	30593
259.00	31361
260.00	32259
261.00	33157
262.00	34047
263.00	34925
264.00	35802
265.00	36523
266.00	37225
267.00	37927
268.00	38552
269.00	39147
270.00	39742
271.00	40113
272.00	40442
273.00	40651
274.00	40841
275.00	40786
276.00	40332
277.00	39878
278.00	39048
279.00	38181
280.00	37180
281.00	36101
282.00	35030
283.00	34115
284.00	33199
285.00	32626
286.00	32061
287.00	31526
288.00	31118
289.00	30710
290.00	30409
291.00	30148
292.00	29895
293.00	29799
294.00	29704
295.00	29617
296.00	29574
297.00	29531
298.00	29489
299.00	29568
300.00	29648
301.00	29776
302.00	29970
303.00	30163
304.00	30356
305.00	30644
306.00	31039
307.00	31433
308.00	31828
309.00	32142
310.00	32456
311.00	32769
312.00	33083
313.00	33394
314.00	33705
315.00	34016
316.00	34325
317.00	34627
318.00	34928
319.00	35230
320.00	35531
321.00	35838
322.00	36147
323.00	36457
324.00	36772
325.00	37092
326.00	37411
327.00	37730
328.00	37927
329.00	38104
330.00	38282
331.00	38401
332.00	38513
333.00	38626
334.00	38738
335.00	38610
336.00	38464
337.00	38319
338.00	38140
339.00	37873
340.00	37606
341.00	37339
342.00	37071
343.00	36702
344.00	36291
345.00	35880
346.00	35432
347.00	34872
348.00	34311
349.00	33761
350.00	33230
351.00	32698
352.00	32105
353.00	31267
354.00	30455
355.00	29835
356.00	29216
357.00	28538
358.00	27751
359.00	26964
360.00	26128
361.00	25257
362.00	24397
363.00	23575
364.00	22754
365.00	21861
366.00	20925
367.00	20029
368.00	19209
369.00	18347
370.00	17416
371.00	16484
372.00	15444
373.00	14390
374.00	13482
375.00	12632
376.00	11774
377.00	10903
378.00	10141
379.00	9504.8
380.00	8869.1
381.00	8243.1
382.00	7705.0
383.00	7166.9
384.00	6658.6
385.00	6249.9
386.00	5841.1
387.00	5432.4
388.00	5047.2
389.00	4702.2
390.00	4357.2
391.00	4025.3
392.00	3712.4
393.00	3399.5
394.00	3157.6
395.00	2929.3
396.00	2680.6
