Wavelength (nm)	F17 abs e
210.00	15303
211.00	14667
212.00	14074
213.00	13558
214.00	13123
215.00	12732
216.00	12344
217.00	11957
218.00	11591
219.00	11255
220.00	10914
221.00	10558
222.00	10204
223.00	9889.5
224.00	9606.4
225.00	9332.6
226.00	9100.8
227.00	8940.1
228.00	8906.2
229.00	9022.5
230.00	9271.0
231.00	9655.3
232.00	10175
233.00	10832
234.00	11539
235.00	12221
236.00	12926
237.00	13810
238.00	14857
239.00	15834
240.00	16584
241.00	17104
242.00	17553
243.00	17958
244.00	18154
245.00	18135
246.00	18157
247.00	18377
248.00	18600
249.00	18539
250.00	17954
251.00	16995
252.00	16013
253.00	15100
254.00	14320
255.00	13777
256.00	13603
257.00	13771
258.00	14217
259.00	14812
260.00	15428
261.00	15894
262.00	16164
263.00	16210
264.00	16091
265.00	15961
266.00	15920
267.00	15993
268.00	16233
269.00	16469
270.00	16608
271.00	16519
272.00	16052
273.00	15098
274.00	13708
275.00	12056
276.00	10315
277.00	8645.5
278.00	7106.4
279.00	5745.7
280.00	4595.0
281.00	3652.4
282.00	2907.9
283.00	2348.7
284.00	1938.4
285.00	1638.6
286.00	1435.2
287.00	1306.7
288.00	1223.1
289.00	1174.0
290.00	1152.6
291.00	1149.6
292.00	1158.7
293.00	1180.2
294.00	1208.6
295.00	1244.2
296.00	1285.7
297.00	1329.4
298.00	1378.1
299.00	1429.2
300.00	1496.6
301.00	1551.3
302.00	1612.3
303.00	1676.3
304.00	1746.2
305.00	1816.4
306.00	1884.3
307.00	1954.4
308.00	2033.4
309.00	2103.1
310.00	2176.6
311.00	2253.3
312.00	2333.7
313.00	2408.9
314.00	2481.2
315.00	2556.4
316.00	2628.0
317.00	2694.2
318.00	2764.3
319.00	2829.2
320.00	2885.6
321.00	2943.2
322.00	2999.8
323.00	3041.4
324.00	3082.8
325.00	3116.1
326.00	3149.8
327.00	3169.7
328.00	3185.1
329.00	3190.0
330.00	3191.1
331.00	3179.2
332.00	3163.9
333.00	3149.1
334.00	3122.4
335.00	3076.3
336.00	3032.3
337.00	2983.0
338.00	2925.6
339.00	2858.6
340.00	2787.9
341.00	2714.0
342.00	2631.5
343.00	2551.1
344.00	2468.6
345.00	2377.2
346.00	2288.3
347.00	2193.1
348.00	2099.7
349.00	2003.7
350.00	1906.8
351.00	1812.7
352.00	1720.0
353.00	1629.8
354.00	1537.1
355.00	1443.9
356.00	1356.2
357.00	1274.5
358.00	1195.8
359.00	1122.3
360.00	1048.9
361.00	979.25
362.00	910.23
363.00	835.58
364.00	771.33
365.00	715.14
366.00	663.92
367.00	606.00
368.00	567.63
369.00	518.42
370.00	483.87
371.00	450.39
372.00	413.12
373.00	391.07
374.00	354.85
375.00	332.36
376.00	307.68
377.00	276.71
378.00	264.92
379.00	248.40
380.00	231.14
381.00	218.95
382.00	204.13
383.00	185.39
384.00	174.57
385.00	157.88
386.00	148.95
387.00	144.81
388.00	132.56
389.00	124.15
390.00	113.46
391.00	110.93
392.00	105.07
393.00	96.928
394.00	87.429
395.00	94.051
396.00	89.264
397.00	79.583
398.00	75.655
399.00	75.473
400.00	67.124
401.00	62.850
402.00	59.781
403.00	55.159
404.00	63.243
405.00	63.160
406.00	53.049
407.00	55.616
408.00	61.717
409.00	52.684
410.00	51.442
411.00	58.621
412.00	50.839
413.00	50.647
414.00	51.880
415.00	50.318
416.00	50.145
417.00	49.880
418.00	55.588
419.00	54.100
420.00	48.683
421.00	47.122
422.00	40.545
423.00	39.257
424.00	45.907
425.00	43.486
426.00	40.591
427.00	42.116
428.00	41.970
429.00	38.682
430.00	38.600
431.00	42.883
432.00	38.326
433.00	32.307
434.00	38.673
435.00	36.526
436.00	34.033
437.00	39.504
438.00	45.660
439.00	31.320
440.00	29.274
441.00	28.315
442.00	28.900
443.00	22.177
444.00	22.524
445.00	19.894
446.00	22.597
447.00	19.145
448.00	19.373
449.00	5.3621
450.00	10.112
