Wavelength (nm)	FL144 [12] 4382-17-6, Quercetin 3,3'-dimethyl ether [D]
221.00	18969
222.00	18274
223.00	17576
224.00	17032
225.00	16514
226.00	15971
227.00	15423
228.00	14855
229.00	14411
230.00	14082
231.00	13852
232.00	13662
233.00	13549
234.00	13473
235.00	13448
236.00	13481
237.00	13535
238.00	13647
239.00	13759
240.00	13942
241.00	14130
242.00	14364
243.00	14680
244.00	15007
245.00	15375
246.00	15742
247.00	16240
248.00	16771
249.00	17372
250.00	17981
251.00	18584
252.00	19134
253.00	19560
254.00	19940
255.00	20282
256.00	20400
257.00	20318
258.00	20063
259.00	19548
260.00	18962
261.00	18466
262.00	18005
263.00	17572
264.00	17288
265.00	17020
266.00	16862
267.00	16733
268.00	16698
269.00	16599
270.00	16377
271.00	15895
272.00	15189
273.00	14260
274.00	13214
275.00	12115
276.00	10865
277.00	9689.7
278.00	9018.6
279.00	8634.7
280.00	8394.1
281.00	8227.4
282.00	8132.6
283.00	8049.4
284.00	8006.5
285.00	7987.3
286.00	8016.0
287.00	8082.2
288.00	8176.3
289.00	8279.6
290.00	8370.1
291.00	8458.5
292.00	8518.6
293.00	8574.9
294.00	8619.5
295.00	8650.8
296.00	8682.2
297.00	8706.6
298.00	8722.7
299.00	8738.7
300.00	8754.8
301.00	8769.6
302.00	8783.7
303.00	8797.8
304.00	8811.9
305.00	8837.2
306.00	8862.7
307.00	8888.3
308.00	8926.5
309.00	8966.5
310.00	9017.2
311.00	9108.4
312.00	9207.0
313.00	9330.5
314.00	9454.0
315.00	9631.9
316.00	9821.0
317.00	10029
318.00	10274
319.00	10519
320.00	10769
321.00	11044
322.00	11320
323.00	11603
324.00	11914
325.00	12224
326.00	12535
327.00	12848
328.00	13171
329.00	13494
330.00	13818
331.00	14140
332.00	14462
333.00	14785
334.00	15111
335.00	15464
336.00	15818
337.00	16171
338.00	16521
339.00	16870
340.00	17203
341.00	17506
342.00	17808
343.00	18110
344.00	18384
345.00	18651
346.00	18919
347.00	19167
348.00	19370
349.00	19573
350.00	19777
351.00	19935
352.00	20081
353.00	20194
354.00	20303
355.00	20382
356.00	20429
357.00	20477
358.00	20506
359.00	20514
360.00	20522
361.00	20449
362.00	20375
363.00	20173
364.00	19940
365.00	19678
366.00	19377
367.00	19024
368.00	18634
369.00	18190
370.00	17751
371.00	17320
372.00	16888
373.00	16439
374.00	15981
375.00	15524
376.00	15037
377.00	14551
378.00	14065
379.00	13533
380.00	12991
381.00	12446
382.00	11898
383.00	11368
384.00	10928
385.00	10487
386.00	10027
387.00	9559.2
