Wavelength (nm)	H13 abs e
220.00	15840
221.00	15064
222.00	14460
223.00	13982
224.00	13558
225.00	13178
226.00	12856
227.00	12595
228.00	12375
229.00	12171
230.00	11951
231.00	11685
232.00	11365
233.00	10977
234.00	10555
235.00	10098
236.00	9645.2
237.00	9204.1
238.00	8794.3
239.00	8432.1
240.00	8116.0
241.00	7849.0
242.00	7619.8
243.00	7412.4
244.00	7205.9
245.00	6990.8
246.00	6750.0
247.00	6486.3
248.00	6208.6
249.00	5937.1
250.00	5668.9
251.00	5422.0
252.00	5194.4
253.00	4970.9
254.00	4751.3
255.00	4525.0
256.00	4285.7
257.00	4048.5
258.00	3819.2
259.00	3607.7
260.00	3427.2
261.00	3289.3
262.00	3189.5
263.00	3126.3
264.00	3102.6
265.00	3111.5
266.00	3143.1
267.00	3191.9
268.00	3259.5
269.00	3331.2
270.00	3392.5
271.00	3434.7
272.00	3451.9
273.00	3445.1
274.00	3413.9
275.00	3372.2
276.00	3323.5
277.00	3282.0
278.00	3252.0
279.00	3240.2
280.00	3245.6
281.00	3274.8
282.00	3331.0
283.00	3400.5
284.00	3487.1
285.00	3588.4
286.00	3702.9
287.00	3828.0
288.00	3964.0
289.00	4109.7
290.00	4254.8
291.00	4400.3
292.00	4543.4
293.00	4684.1
294.00	4821.3
295.00	4946.3
296.00	5070.6
297.00	5197.5
298.00	5321.4
299.00	5457.1
300.00	5598.5
301.00	5752.4
302.00	5929.5
303.00	6128.6
304.00	6341.9
305.00	6568.4
306.00	6796.3
307.00	7023.6
308.00	7246.9
309.00	7473.8
310.00	7677.7
311.00	7866.8
312.00	8051.3
313.00	8244.7
314.00	8436.6
315.00	8652.7
316.00	8878.4
317.00	9107.9
318.00	9368.1
319.00	9639.3
320.00	9910.6
321.00	10203
322.00	10479
323.00	10744
324.00	10997
325.00	11234
326.00	11462
327.00	11709
328.00	11937
329.00	12168
330.00	12395
331.00	12618
332.00	12851
333.00	13082
334.00	13324
335.00	13568
336.00	13789
337.00	14026
338.00	14231
339.00	14411
340.00	14585
341.00	14734
342.00	14858
343.00	14987
344.00	15085
345.00	15185
346.00	15252
347.00	15336
348.00	15416
349.00	15478
350.00	15583
351.00	15643
352.00	15696
353.00	15781
354.00	15856
355.00	15923
356.00	15986
357.00	16030
358.00	16066
359.00	16083
360.00	16100
361.00	16100
362.00	16076
363.00	16044
364.00	15985
365.00	15869
366.00	15717
367.00	15583
368.00	15377
369.00	15138
370.00	14863
371.00	14528
372.00	14181
373.00	13813
374.00	13385
375.00	12914
376.00	12434
377.00	11956
378.00	11410
379.00	10839
380.00	10293
381.00	9739.0
382.00	9146.1
383.00	8586.8
384.00	8005.2
385.00	7430.6
386.00	6876.6
387.00	6325.2
388.00	5806.9
389.00	5331.9
390.00	4861.6
391.00	4398.6
392.00	3957.5
393.00	3578.2
394.00	3224.9
395.00	2891.5
396.00	2571.8
397.00	2280.0
398.00	2018.6
399.00	1785.6
400.00	1579.9
401.00	1387.2
402.00	1215.8
403.00	1062.3
404.00	922.93
405.00	799.22
406.00	697.83
407.00	611.84
408.00	526.06
409.00	457.93
410.00	389.38
411.00	336.49
412.00	286.19
413.00	246.03
414.00	215.72
415.00	186.66
416.00	160.07
417.00	139.18
418.00	115.77
419.00	99.437
420.00	92.898
421.00	82.103
422.00	73.482
423.00	67.010
424.00	58.124
425.00	50.191
426.00	45.727
427.00	47.934
428.00	43.230
429.00	37.106
430.00	36.832
431.00	31.414
432.00	27.987
433.00	34.866
434.00	34.849
435.00	32.559
436.00	32.036
437.00	32.244
438.00	29.970
439.00	26.859
440.00	30.501
441.00	29.746
442.00	28.302
443.00	28.361
444.00	29.024
445.00	26.767
446.00	23.324
447.00	25.548
448.00	27.440
449.00	28.062
450.00	27.630
451.00	27.912
452.00	27.157
453.00	31.007
454.00	28.585
455.00	27.307
456.00	20.976
457.00	32.368
458.00	29.091
459.00	30.178
460.00	24.950
461.00	29.323
462.00	24.751
463.00	30.501
464.00	32.816
465.00	26.834
466.00	27.937
467.00	28.850
468.00	28.842
469.00	35.380
470.00	32.725
471.00	26.560
472.00	37.521
473.00	28.916
474.00	35.853
475.00	30.277
476.00	33.090
477.00	36.849
478.00	39.960
479.00	35.513
480.00	30.493
481.00	27.871
482.00	27.456
483.00	29.489
484.00	29.431
485.00	32.459
486.00	27.041
487.00	28.535
488.00	31.290
489.00	32.028
490.00	32.260
491.00	34.169
492.00	33.239
493.00	28.219
494.00	30.327
495.00	27.016
496.00	32.069
497.00	30.003
498.00	36.102
499.00	33.696
500.00	34.824
