Wavelength (nm)	FL117 [12] 529-51-1, Azaleatin [D]
240.00	13475
241.00	13762
242.00	14014
243.00	14262
244.00	14626
245.00	15025
246.00	15463
247.00	16039
248.00	16673
249.00	17359
250.00	18121
251.00	18906
252.00	19431
253.00	19756
254.00	20000
255.00	19903
256.00	19726
257.00	19380
258.00	18899
259.00	18396
260.00	17827
261.00	17244
262.00	16645
263.00	16051
264.00	15514
265.00	14980
266.00	14454
267.00	13977
268.00	13558
269.00	13085
270.00	12560
271.00	11974
272.00	11196
273.00	10470
274.00	9776.4
275.00	9179.2
276.00	8604.8
277.00	8080.9
278.00	7620.6
279.00	7298.1
280.00	6988.8
281.00	6717.2
282.00	6508.2
283.00	6344.6
284.00	6190.2
285.00	6050.3
286.00	5912.6
287.00	5810.4
288.00	5708.1
289.00	5608.8
290.00	5512.1
291.00	5415.4
292.00	5335.3
293.00	5259.0
294.00	5182.8
295.00	5110.9
296.00	5040.0
297.00	4969.1
298.00	4914.4
299.00	4862.9
300.00	4811.4
301.00	4758.9
302.00	4706.3
303.00	4648.9
304.00	4586.7
305.00	4524.5
306.00	4418.9
307.00	4307.3
308.00	4160.8
309.00	3998.5
310.00	3863.7
311.00	3748.8
312.00	3645.3
313.00	3598.0
314.00	3550.7
315.00	3529.0
316.00	3515.4
317.00	3515.6
318.00	3540.3
319.00	3565.0
320.00	3623.1
321.00	3693.4
322.00	3770.0
323.00	3875.1
324.00	3980.2
325.00	4123.6
326.00	4283.4
327.00	4490.6
328.00	4722.3
329.00	4973.3
330.00	5233.0
331.00	5549.0
332.00	5873.5
333.00	6202.4
334.00	6534.2
335.00	6887.1
336.00	7279.3
337.00	7671.6
338.00	8073.6
339.00	8476.2
340.00	8896.2
341.00	9343.2
342.00	9790.2
343.00	10237
344.00	10684
345.00	11130
346.00	11547
347.00	11950
348.00	12354
349.00	12747
350.00	13137
351.00	13526
352.00	13917
353.00	14309
354.00	14701
355.00	15090
356.00	15442
357.00	15793
358.00	16124
359.00	16407
360.00	16689
361.00	16920
362.00	17106
363.00	17291
364.00	17404
365.00	17516
366.00	17624
367.00	17683
368.00	17741
369.00	17800
370.00	17728
371.00	17656
372.00	17516
373.00	17352
374.00	17069
375.00	16764
376.00	16400
377.00	15959
378.00	15518
379.00	14966
380.00	14401
381.00	13855
382.00	13337
383.00	12820
384.00	12285
385.00	11726
386.00	11168
387.00	10613
388.00	10071
389.00	9530.1
390.00	8999.4
391.00	8494.5
392.00	7992.1
393.00	7569.5
394.00	7169.4
395.00	6907.1
396.00	6646.7
397.00	6405.2
398.00	6181.0
399.00	6025.4
400.00	5869.8
