Wavelength (nm)	J09 abs e
280.00	13314
281.00	13310
282.00	13333
283.00	13387
284.00	13453
285.00	13542
286.00	13647
287.00	13766
288.00	13893
289.00	14033
290.00	14159
291.00	14293
292.00	14420
293.00	14549
294.00	14661
295.00	14761
296.00	14843
297.00	14926
298.00	14988
299.00	15014
300.00	15041
301.00	15039
302.00	15003
303.00	14959
304.00	14879
305.00	14775
306.00	14673
307.00	14527
308.00	14352
309.00	14177
310.00	13991
311.00	13797
312.00	13578
313.00	13348
314.00	13127
315.00	12907
316.00	12684
317.00	12468
318.00	12238
319.00	12040
320.00	11829
321.00	11631
322.00	11432
323.00	11241
324.00	11053
325.00	10885
326.00	10731
327.00	10560
328.00	10397
329.00	10240
330.00	10079
331.00	9928.7
332.00	9763.6
333.00	9592.3
334.00	9426.1
335.00	9260.8
336.00	9090.6
337.00	8917.0
338.00	8744.4
339.00	8579.2
340.00	8415.1
341.00	8265.1
342.00	8100.1
343.00	7948.4
344.00	7807.2
345.00	7663.8
346.00	7528.1
347.00	7404.9
348.00	7295.1
349.00	7171.3
350.00	7056.6
351.00	6959.7
352.00	6870.0
353.00	6779.3
354.00	6708.7
355.00	6644.4
356.00	6585.7
357.00	6519.1
358.00	6482.8
359.00	6446.2
360.00	6404.1
361.00	6391.8
362.00	6372.1
363.00	6357.7
364.00	6336.3
365.00	6329.0
366.00	6316.2
367.00	6319.1
368.00	6298.1
369.00	6316.4
370.00	6318.8
371.00	6314.3
372.00	6320.1
373.00	6328.7
374.00	6345.9
375.00	6353.5
376.00	6381.9
377.00	6404.6
378.00	6427.6
379.00	6460.7
380.00	6486.3
381.00	6506.9
382.00	6535.8
383.00	6557.8
384.00	6582.4
385.00	6593.0
386.00	6610.1
387.00	6650.5
388.00	6656.5
389.00	6667.6
390.00	6669.9
391.00	6676.8
392.00	6692.8
393.00	6697.5
394.00	6702.3
395.00	6693.6
396.00	6682.5
397.00	6678.2
398.00	6686.7
399.00	6684.3
400.00	6647.4
401.00	6618.0
402.00	6589.2
403.00	6576.2
404.00	6547.9
405.00	6505.5
406.00	6462.4
407.00	6411.3
408.00	6358.7
409.00	6315.0
410.00	6265.6
411.00	6213.5
412.00	6172.7
413.00	6134.8
414.00	6067.6
415.00	6014.0
416.00	5975.8
417.00	5921.4
418.00	5879.9
419.00	5846.4
420.00	5810.7
421.00	5765.9
422.00	5728.9
423.00	5696.9
424.00	5641.6
425.00	5599.0
426.00	5538.9
427.00	5535.9
428.00	5507.6
429.00	5470.7
430.00	5464.5
431.00	5442.2
432.00	5408.5
433.00	5400.0
434.00	5384.5
435.00	5370.7
436.00	5395.7
437.00	5407.4
438.00	5437.1
439.00	5470.9
440.00	5500.8
441.00	5548.9
442.00	5597.5
443.00	5657.1
444.00	5730.0
445.00	5805.9
446.00	5890.2
447.00	5997.7
448.00	6103.5
449.00	6221.4
450.00	6344.2
451.00	6491.6
452.00	6635.0
453.00	6791.6
454.00	6946.6
455.00	7131.8
456.00	7312.9
457.00	7513.1
458.00	7704.0
459.00	7904.9
460.00	8082.4
461.00	8304.7
462.00	8520.2
463.00	8777.2
464.00	9033.6
465.00	9274.8
466.00	9519.5
467.00	9767.5
468.00	10028
469.00	10255
470.00	10562
471.00	10851
472.00	11152
473.00	11451
474.00	11733
475.00	12052
476.00	12371
477.00	12692
478.00	12997
479.00	13316
480.00	13677
481.00	13998
482.00	14362
483.00	14714
484.00	15046
485.00	15557
486.00	15804
487.00	16029
488.00	16436
489.00	16899
490.00	17308
491.00	17682
492.00	18024
493.00	18421
494.00	18837
495.00	19229
496.00	19641
497.00	19987
498.00	20529
499.00	20880
500.00	21234
501.00	21707
502.00	22068
503.00	22467
504.00	22862
505.00	23336
506.00	23676
507.00	24046
508.00	24454
509.00	24869
510.00	25252
511.00	25657
512.00	26049
513.00	26458
514.00	26850
515.00	27134
516.00	27592
517.00	27961
518.00	28353
519.00	28758
520.00	29072
521.00	29457
522.00	29760
523.00	30097
524.00	30478
525.00	30786
526.00	31149
527.00	31462
528.00	31671
529.00	32081
530.00	32461
531.00	32601
532.00	32898
533.00	33243
534.00	33495
535.00	33731
536.00	33920
537.00	34075
538.00	34269
539.00	34419
540.00	34643
541.00	34848
542.00	35019
543.00	35076
544.00	35351
545.00	35349
546.00	35522
547.00	35592
548.00	35705
549.00	35718
550.00	35783
551.00	35844
552.00	35922
553.00	35828
554.00	35960
555.00	36000
556.00	35981
557.00	35920
558.00	35999
559.00	35885
560.00	35894
561.00	35802
562.00	35838
563.00	35763
564.00	35714
565.00	35511
566.00	35505
567.00	35283
568.00	35170
569.00	35058
570.00	34918
571.00	34709
572.00	34516
573.00	34326
574.00	34151
575.00	33961
576.00	33645
577.00	33361
578.00	33109
579.00	32782
580.00	32471
581.00	32135
582.00	31820
583.00	31456
584.00	30994
585.00	30580
586.00	30182
587.00	29706
588.00	29301
589.00	28852
590.00	28271
591.00	27846
592.00	27327
593.00	26821
594.00	26314
595.00	25783
596.00	25280
597.00	24739
598.00	24153
599.00	23631
600.00	23073
601.00	22527
602.00	21958
603.00	21375
604.00	20875
605.00	20324
606.00	19783
607.00	19246
608.00	18717
609.00	18179
610.00	17630
611.00	17133
612.00	16619
613.00	16127
614.00	15646
615.00	15163
616.00	14696
617.00	14205
618.00	13758
619.00	13320
620.00	12864
621.00	12453
622.00	11998
623.00	11604
624.00	11213
625.00	10811
626.00	10418
627.00	10045
628.00	9692.6
629.00	9319.7
630.00	8979.7
631.00	8648.5
632.00	8308.8
633.00	8004.1
634.00	7707.4
635.00	7407.7
636.00	7098.3
637.00	6829.6
638.00	6549.2
639.00	6280.3
640.00	6028.4
641.00	5790.2
642.00	5538.5
643.00	5313.2
644.00	5097.4
645.00	4863.7
646.00	4639.2
647.00	4438.0
648.00	4236.2
649.00	4056.4
650.00	3883.5
651.00	3706.5
652.00	3532.0
653.00	3369.4
654.00	3235.4
655.00	3064.7
656.00	2952.1
657.00	2830.1
658.00	2690.1
659.00	2580.4
660.00	2462.9
661.00	2352.7
662.00	2256.6
663.00	2152.5
664.00	2063.3
665.00	1957.3
666.00	1861.3
667.00	1794.6
668.00	1723.7
669.00	1656.8
670.00	1593.1
671.00	1529.5
672.00	1457.9
673.00	1401.9
674.00	1352.3
675.00	1297.9
676.00	1236.2
677.00	1204.7
678.00	1158.9
679.00	1103.2
680.00	1055.1
681.00	1016.3
682.00	990.89
683.00	957.72
684.00	925.74
685.00	880.99
686.00	857.17
687.00	833.62
688.00	804.04
689.00	767.15
690.00	755.72
691.00	733.50
692.00	710.67
693.00	693.31
694.00	671.19
695.00	656.52
696.00	646.63
697.00	622.99
698.00	596.70
699.00	581.74
700.00	555.67
701.00	551.04
702.00	535.19
703.00	523.53
704.00	502.68
705.00	497.55
706.00	494.83
707.00	483.16
708.00	474.13
709.00	463.17
710.00	446.61
711.00	444.88
712.00	438.52
713.00	418.72
714.00	407.09
715.00	393.23
716.00	388.40
717.00	377.61
718.00	375.28
719.00	363.84
720.00	358.32
721.00	355.44
722.00	335.84
723.00	342.82
724.00	315.29
725.00	323.66
726.00	308.14
727.00	302.28
728.00	308.72
729.00	301.61
730.00	293.37
731.00	290.89
732.00	274.16
733.00	267.24
734.00	260.24
735.00	264.92
736.00	265.12
737.00	247.32
738.00	242.52
739.00	232.41
740.00	223.12
741.00	236.81
742.00	239.87
743.00	227.51
744.00	212.54
745.00	210.49
746.00	207.43
747.00	205.66
748.00	216.32
749.00	211.89
750.00	190.64
751.00	188.49
752.00	196.00
753.00	199.60
754.00	194.22
755.00	176.53
756.00	173.38
757.00	175.30
758.00	176.65
759.00	165.79
760.00	151.90
761.00	141.92
762.00	162.11
763.00	160.82
764.00	150.96
765.00	140.32
766.00	136.81
767.00	144.60
768.00	147.25
769.00	128.98
770.00	125.10
771.00	130.68
772.00	133.18
773.00	107.28
774.00	115.97
775.00	124.08
776.00	130.24
777.00	113.71
778.00	110.71
779.00	118.27
780.00	118.32
781.00	106.63
782.00	106.68
783.00	118.04
784.00	99.682
785.00	93.470
786.00	105.30
787.00	108.63
788.00	96.035
789.00	91.088
790.00	109.14
791.00	100.67
792.00	93.703
793.00	102.55
794.00	96.218
795.00	87.840
796.00	94.619
797.00	89.639
798.00	87.990
799.00	89.589
800.00	93.770
