Wavelength (nm)	R05 abs e
250.00	16730
251.00	16846
252.00	17060
253.00	17323
254.00	17566
255.00	17733
256.00	17891
257.00	17967
258.00	18174
259.00	18519
260.00	18803
261.00	19142
262.00	19623
263.00	19598
264.00	19483
265.00	19675
266.00	19693
267.00	19680
268.00	20454
269.00	21163
270.00	20800
271.00	20326
272.00	20154
273.00	20179
274.00	20266
275.00	20364
276.00	20446
277.00	20522
278.00	20572
279.00	20598
280.00	20605
281.00	20578
282.00	20539
283.00	20500
284.00	20433
285.00	20361
286.00	20299
287.00	20258
288.00	20220
289.00	20241
290.00	20266
291.00	20334
292.00	20440
293.00	20551
294.00	20713
295.00	20906
296.00	21128
297.00	21354
298.00	21609
299.00	21884
300.00	22140
301.00	22418
302.00	22721
303.00	23004
304.00	23294
305.00	23577
306.00	23849
307.00	24116
308.00	24357
309.00	24600
310.00	24804
311.00	25009
312.00	25187
313.00	25337
314.00	25486
315.00	25606
316.00	25698
317.00	25786
318.00	25829
319.00	25878
320.00	25883
321.00	25888
322.00	25891
323.00	25885
324.00	25866
325.00	25869
326.00	25857
327.00	25869
328.00	25918
329.00	25971
330.00	26046
331.00	26155
332.00	26293
333.00	26484
334.00	26710
335.00	26952
336.00	27242
337.00	27578
338.00	27968
339.00	28416
340.00	28879
341.00	29395
342.00	29968
343.00	30594
344.00	31264
345.00	31959
346.00	32692
347.00	33469
348.00	34303
349.00	35172
350.00	36061
351.00	36932
352.00	37834
353.00	38764
354.00	39758
355.00	40690
356.00	41656
357.00	42559
358.00	43450
359.00	44350
360.00	45420
361.00	46303
362.00	47370
363.00	48230
364.00	49145
365.00	49909
366.00	50453
367.00	51304
368.00	51925
369.00	52673
370.00	53479
371.00	54264
372.00	54927
373.00	55085
374.00	55525
375.00	55901
376.00	55986
377.00	56202
378.00	55916
379.00	55777
380.00	55441
381.00	54931
382.00	54487
383.00	53877
384.00	53011
385.00	52200
386.00	51304
387.00	50461
388.00	49543
389.00	48386
390.00	47248
391.00	46086
392.00	44918
393.00	43778
394.00	42474
395.00	41230
396.00	39847
397.00	38461
398.00	37053
399.00	35702
400.00	34307
401.00	32859
402.00	31399
403.00	30011
404.00	28557
405.00	27142
406.00	25763
407.00	24434
408.00	23056
409.00	21756
410.00	20535
411.00	19320
412.00	18162
413.00	17096
414.00	16122
415.00	15179
416.00	14278
417.00	13456
418.00	12700
419.00	11997
420.00	11326
421.00	10713
422.00	10165
423.00	9680.9
424.00	9219.2
425.00	8792.1
426.00	8390.4
427.00	8012.9
428.00	7680.0
429.00	7365.3
430.00	7065.1
431.00	6810.8
432.00	6561.8
433.00	6322.2
434.00	6110.5
435.00	5887.8
436.00	5703.1
437.00	5509.2
438.00	5349.4
439.00	5183.1
440.00	5032.7
441.00	4885.5
442.00	4743.6
443.00	4613.3
444.00	4494.6
445.00	4381.0
446.00	4266.4
447.00	4173.7
448.00	4072.5
449.00	3988.8
450.00	3899.2
451.00	3819.3
452.00	3744.4
453.00	3660.4
454.00	3593.0
455.00	3533.0
456.00	3470.5
457.00	3403.4
458.00	3350.9
459.00	3301.7
460.00	3244.3
461.00	3205.0
462.00	3144.6
463.00	3099.0
464.00	3062.0
465.00	3007.9
466.00	2985.0
467.00	2940.0
468.00	2909.9
469.00	2867.9
470.00	2830.4
471.00	2807.5
472.00	2785.1
473.00	2758.2
474.00	2722.2
475.00	2697.4
476.00	2679.9
477.00	2661.7
478.00	2653.8
479.00	2623.8
480.00	2617.0
481.00	2602.9
482.00	2588.1
483.00	2583.5
484.00	2568.0
485.00	2576.4
486.00	2579.5
487.00	2523.9
488.00	2524.7
489.00	2535.4
490.00	2533.5
491.00	2542.1
492.00	2549.6
493.00	2552.0
494.00	2545.8
495.00	2558.5
496.00	2577.6
497.00	2585.1
498.00	2590.4
499.00	2598.5
500.00	2606.8
501.00	2618.4
502.00	2643.2
503.00	2656.7
504.00	2662.3
505.00	2681.1
506.00	2719.2
507.00	2734.1
508.00	2758.2
509.00	2788.3
510.00	2818.8
511.00	2830.9
512.00	2862.5
513.00	2900.1
514.00	2920.0
515.00	2947.4
516.00	2973.2
517.00	3024.6
518.00	3060.1
519.00	3103.6
520.00	3117.5
521.00	3167.2
522.00	3197.9
523.00	3252.3
524.00	3292.1
525.00	3334.9
526.00	3385.9
527.00	3427.7
528.00	3482.7
529.00	3543.7
530.00	3584.0
531.00	3632.9
532.00	3687.3
533.00	3748.0
534.00	3810.6
535.00	3867.5
536.00	3918.4
537.00	3990.2
538.00	4054.8
539.00	4122.8
540.00	4192.9
541.00	4250.1
542.00	4324.2
543.00	4395.5
544.00	4484.9
545.00	4561.8
546.00	4639.3
547.00	4718.0
548.00	4803.8
549.00	4885.9
550.00	4980.7
551.00	5069.9
552.00	5160.6
553.00	5241.8
554.00	5334.0
555.00	5436.5
556.00	5524.3
557.00	5625.4
558.00	5728.5
559.00	5832.8
560.00	5934.8
561.00	6024.4
562.00	6129.2
563.00	6246.0
564.00	6350.2
565.00	6445.1
566.00	6564.9
567.00	6667.8
568.00	6776.1
569.00	6894.3
570.00	7003.5
571.00	7105.5
572.00	7216.9
573.00	7326.7
574.00	7449.5
575.00	7552.0
576.00	7660.3
577.00	7798.3
578.00	7898.8
579.00	8002.6
580.00	8131.6
581.00	8286.8
582.00	8365.2
583.00	8459.2
584.00	8621.5
585.00	8762.7
586.00	8853.4
587.00	8985.5
588.00	9104.1
589.00	9225.8
590.00	9365.3
591.00	9499.4
592.00	9632.2
593.00	9768.9
594.00	9870.2
595.00	10025
596.00	10140
597.00	10273
598.00	10422
599.00	10554
600.00	10687
601.00	10808
602.00	10943
603.00	11084
604.00	11219
605.00	11344
606.00	11492
607.00	11613
608.00	11743
609.00	11877
610.00	12018
611.00	12142
612.00	12265
613.00	12390
614.00	12513
615.00	12646
616.00	12770
617.00	12886
618.00	12988
619.00	13119
620.00	13240
621.00	13327
622.00	13432
623.00	13530
624.00	13632
625.00	13744
626.00	13851
627.00	13955
628.00	14042
629.00	14140
630.00	14221
631.00	14298
632.00	14381
633.00	14452
634.00	14535
635.00	14627
636.00	14716
637.00	14777
638.00	14853
639.00	14920
640.00	14981
641.00	15083
642.00	15110
643.00	15183
644.00	15229
645.00	15270
646.00	15309
647.00	15367
648.00	15400
649.00	15446
650.00	15496
651.00	15512
652.00	15566
653.00	15581
654.00	15624
655.00	15668
656.00	15688
657.00	15567
658.00	15669
659.00	15728
660.00	15748
661.00	15774
662.00	15781
663.00	15794
664.00	15809
665.00	15803
666.00	15788
667.00	15815
668.00	15805
669.00	15800
670.00	15768
671.00	15768
672.00	15736
673.00	15714
674.00	15698
675.00	15672
676.00	15643
677.00	15605
678.00	15555
679.00	15508
680.00	15458
681.00	15394
682.00	15329
683.00	15263
684.00	15183
685.00	15098
686.00	15018
687.00	14920
688.00	14824
689.00	14723
690.00	14609
691.00	14500
692.00	14372
693.00	14234
694.00	14111
695.00	13975
696.00	13830
697.00	13672
698.00	13520
699.00	13363
700.00	13197
701.00	13039
702.00	12855
703.00	12683
704.00	12508
705.00	12318
706.00	12147
707.00	11950
708.00	11757
709.00	11572
710.00	11372
711.00	11173
712.00	10975
713.00	10775
714.00	10580
715.00	10385
716.00	10184
717.00	9982.5
718.00	9777.4
719.00	9581.9
720.00	9384.6
721.00	9184.6
722.00	8983.9
723.00	8789.5
724.00	8593.3
725.00	8402.1
726.00	8204.2
727.00	8012.4
728.00	7821.2
729.00	7637.2
730.00	7450.6
731.00	7267.0
732.00	7090.7
733.00	6909.3
734.00	6737.9
735.00	6560.6
736.00	6395.3
737.00	6218.8
738.00	6063.0
739.00	5896.3
740.00	5740.1
741.00	5591.1
742.00	5432.1
743.00	5288.7
744.00	5136.0
745.00	5002.0
746.00	4855.4
747.00	4716.2
748.00	4580.9
749.00	4458.1
750.00	4323.6
751.00	4196.0
752.00	4076.5
753.00	3957.9
754.00	3838.9
755.00	3727.2
756.00	3610.7
757.00	3497.8
758.00	3394.3
759.00	3297.2
760.00	3189.0
761.00	3092.9
762.00	3000.8
763.00	2905.2
764.00	2814.2
765.00	2721.3
766.00	2642.5
767.00	2560.3
768.00	2476.6
769.00	2395.0
770.00	2328.4
771.00	2243.2
772.00	2174.0
773.00	2109.4
