Wavelength (nm)	7, Cj-PxB-2, CJPXB2
215.00	0.47416
216.00	0.52419
217.00	0.55196
218.00	0.57973
219.00	0.58797
220.00	0.59620
221.00	0.58998
222.00	0.58375
223.00	0.56819
224.00	0.55264
225.00	0.53469
226.00	0.51674
227.00	0.50068
228.00	0.48461
229.00	0.47229
230.00	0.45997
231.00	0.45317
232.00	0.44638
233.00	0.44434
234.00	0.44231
235.00	0.44574
236.00	0.44916
237.00	0.45644
238.00	0.46372
239.00	0.47255
240.00	0.48139
241.00	0.49053
242.00	0.49967
243.00	0.50611
244.00	0.51255
245.00	0.51506
246.00	0.51756
247.00	0.51525
248.00	0.51293
249.00	0.50438
250.00	0.49582
251.00	0.48185
252.00	0.46789
253.00	0.45171
254.00	0.43553
255.00	0.41978
256.00	0.40404
257.00	0.39208
258.00	0.38011
259.00	0.37214
260.00	0.36416
261.00	0.36039
262.00	0.35662
263.00	0.35585
264.00	0.35509
265.00	0.35584
266.00	0.35660
267.00	0.35844
268.00	0.36028
269.00	0.36241
270.00	0.36454
271.00	0.36687
272.00	0.36919
273.00	0.37094
274.00	0.37268
275.00	0.37423
276.00	0.37578
277.00	0.37717
278.00	0.37855
279.00	0.38057
280.00	0.38258
281.00	0.38449
282.00	0.38640
283.00	0.38949
284.00	0.39257
285.00	0.39637
286.00	0.40017
287.00	0.40627
288.00	0.41238
289.00	0.41988
290.00	0.42738
291.00	0.43667
292.00	0.44596
293.00	0.45745
294.00	0.46895
295.00	0.48172
296.00	0.49449
297.00	0.50743
298.00	0.52037
299.00	0.53509
300.00	0.54982
301.00	0.56325
302.00	0.57669
303.00	0.59028
304.00	0.60387
305.00	0.61561
306.00	0.62734
307.00	0.63762
308.00	0.64790
309.00	0.65506
310.00	0.66221
311.00	0.66567
312.00	0.66913
313.00	0.66828
314.00	0.66743
315.00	0.66253
316.00	0.65762
317.00	0.64853
318.00	0.63944
319.00	0.62586
320.00	0.61228
321.00	0.59399
322.00	0.57570
323.00	0.55479
324.00	0.53388
325.00	0.50969
326.00	0.48550
327.00	0.45936
328.00	0.43323
329.00	0.40734
330.00	0.38145
331.00	0.35423
332.00	0.32700
333.00	0.30080
334.00	0.27461
335.00	0.25205
336.00	0.22950
337.00	0.20959
338.00	0.18969
339.00	0.17404
340.00	0.15840
341.00	0.14595
342.00	0.13351
343.00	0.12478
344.00	0.11605
345.00	0.11078
346.00	0.10551
347.00	0.10286
348.00	0.10021
349.00	0.099870
350.00	0.099527
351.00	0.10080
352.00	0.10207
353.00	0.10452
354.00	0.10698
355.00	0.11124
356.00	0.11550
357.00	0.12072
358.00	0.12595
359.00	0.13239
360.00	0.13883
361.00	0.14586
362.00	0.15290
363.00	0.16083
364.00	0.16876
365.00	0.17842
366.00	0.18807
367.00	0.19779
368.00	0.20751
369.00	0.21786
370.00	0.22821
371.00	0.24025
372.00	0.25230
373.00	0.26442
374.00	0.27653
375.00	0.29009
376.00	0.30364
377.00	0.31724
378.00	0.33083
379.00	0.34541
380.00	0.35999
381.00	0.37461
382.00	0.38923
383.00	0.40503
384.00	0.42082
385.00	0.43816
386.00	0.45550
387.00	0.47205
388.00	0.48860
389.00	0.50529
390.00	0.52198
391.00	0.54138
392.00	0.56078
393.00	0.57818
394.00	0.59558
395.00	0.61449
396.00	0.63341
397.00	0.65179
398.00	0.67017
399.00	0.68759
400.00	0.70502
401.00	0.72319
402.00	0.74136
403.00	0.75952
404.00	0.77768
405.00	0.79391
406.00	0.81015
407.00	0.82551
408.00	0.84087
409.00	0.85559
410.00	0.87030
411.00	0.88445
412.00	0.89860
413.00	0.91081
414.00	0.92303
415.00	0.93360
416.00	0.94418
417.00	0.95350
418.00	0.96283
419.00	0.97108
420.00	0.97933
421.00	0.98495
422.00	0.99057
423.00	0.99402
424.00	0.99747
425.00	0.99874
426.00	1.0000
427.00	0.99845
428.00	0.99689
429.00	0.99338
430.00	0.98986
431.00	0.98306
432.00	0.97627
433.00	0.96670
434.00	0.95714
435.00	0.94427
436.00	0.93139
437.00	0.91550
