Wavelength (nm)	E22 abs e
199.28	13024
201.03	14987
202.78	17057
205.11	20895
207.30	25315
208.90	29585
210.95	35472
212.11	38081
213.50	40949
214.74	42933
215.90	44615
216.92	45412
217.65	46167
218.97	46491
219.99	46124
221.01	45499
222.03	44442
222.76	42609
224.36	38340
225.38	35385
226.47	31741
227.33	29283
228.74	25984
230.19	22879
231.55	19774
232.65	17229
234.05	14965
235.15	13240
235.88	12054
237.05	10890
238.07	9768.2
239.38	8884.1
240.69	8129.4
242.15	7525.6
243.61	7072.8
245.65	6706.2
247.55	6512.1
250.61	6361.2
253.96	6339.6
256.88	6296.5
259.65	6167.1
261.69	5843.7
264.90	5283.0
267.67	4743.9
269.71	4420.5
272.78	4161.7
276.13	4053.9
279.48	4097.0
282.40	4248.0
285.75	4183.3
289.40	3989.2
292.02	3795.2
295.09	3644.2
298.29	3622.6
301.21	3773.6
303.69	4118.6
306.02	4614.6
308.94	5606.5
312.00	6706.2
314.77	7762.8
318.27	9229.1
321.34	10846
323.38	12075
325.56	13197
327.43	13801
329.94	14059
332.71	14297
334.61	14642
336.06	15116
337.52	15612
338.54	15828
340.00	16000
341.50	15828
342.63	15396
343.70	14642
345.10	13671
346.71	12485
348.35	11105
349.63	9919.1
351.08	8754.7
352.40	7741.2
354.29	6512.1
356.04	5563.3
358.08	4528.3
359.83	3665.8
361.35	2932.6
363.43	2221.0
365.96	1595.7
368.73	1059.3
371.21	706.21
373.98	452.83
377.04	237.20
378.55	159.79
380.54	107.82
384.62	69.747
389.00	43.127
393.52	33.014
398.48	21.563
