Wavelength (nm)	Angew 2016_15760, 2-Me (NCC dimer) [Z]
250.00	1.2021
251.00	1.1678
252.00	1.1381
253.00	1.1098
254.00	1.0725
255.00	1.0310
256.00	1.0176
257.00	0.98013
258.00	0.96330
259.00	0.95285
260.00	0.93613
261.00	0.92206
262.00	0.91414
263.00	0.90900
264.00	0.90057
265.00	0.89369
266.00	0.88767
267.00	0.88217
268.00	0.87698
269.00	0.87162
270.00	0.85005
271.00	0.83700
272.00	0.82840
273.00	0.81981
274.00	0.80741
275.00	0.79681
276.00	0.79508
277.00	0.77390
278.00	0.76488
279.00	0.74589
280.00	0.72728
281.00	0.70963
282.00	0.69198
283.00	0.67852
284.00	0.66685
285.00	0.65517
286.00	0.64455
287.00	0.63435
288.00	0.62420
289.00	0.61616
290.00	0.60812
291.00	0.60261
292.00	0.59926
293.00	0.59615
294.00	0.59677
295.00	0.59739
296.00	0.59945
297.00	0.60386
298.00	0.60991
299.00	0.61957
300.00	0.62923
301.00	0.63984
302.00	0.64995
303.00	0.65797
304.00	0.67589
305.00	0.69963
306.00	0.71578
307.00	0.73101
308.00	0.74709
309.00	0.76802
310.00	0.79259
311.00	0.82060
312.00	0.84090
313.00	0.85460
314.00	0.88138
315.00	0.89193
316.00	0.90407
317.00	0.92687
318.00	0.94363
319.00	0.96877
320.00	0.97749
321.00	0.98469
322.00	0.99152
323.00	1.0000
324.00	0.99569
325.00	0.98826
326.00	0.97718
327.00	0.96347
328.00	0.95194
329.00	0.94539
330.00	0.93125
331.00	0.91402
332.00	0.89281
333.00	0.86822
334.00	0.84207
335.00	0.81480
336.00	0.78752
337.00	0.75632
338.00	0.72507
339.00	0.69126
340.00	0.65373
341.00	0.61621
342.00	0.58333
343.00	0.55216
344.00	0.51994
345.00	0.46566
346.00	0.43572
347.00	0.40426
348.00	0.36822
349.00	0.33217
350.00	0.29703
351.00	0.26295
352.00	0.23153
353.00	0.20664
354.00	0.18187
355.00	0.16331
356.00	0.14475
357.00	0.12659
358.00	0.10845
359.00	0.091209
360.00	0.073975
361.00	0.066005
362.00	0.060069
363.00	0.054133
364.00	0.048197
365.00	0.043619
366.00	0.039192
367.00	0.034765
368.00	0.030338
369.00	0.028494
370.00	0.027422
371.00	0.026350
372.00	0.024340
373.00	0.021868
374.00	0.019396
375.00	0.020828
376.00	0.021044
377.00	0.018631
378.00	0.016219
379.00	0.014147
380.00	0.013217
381.00	0.012287
382.00	0.012068
383.00	0.012433
384.00	0.012996
385.00	0.014094
386.00	0.015192
387.00	0.014262
388.00	0.013332
389.00	0.013312
390.00	0.015226
391.00	0.016709
392.00	0.015743
393.00	0.014776
394.00	0.014701
395.00	0.015296
396.00	0.015892
397.00	0.016649
398.00	0.017452
399.00	0.018637
400.00	0.019977
401.00	0.021009
402.00	0.021009
403.00	0.020686
404.00	0.020211
405.00	0.016462
406.00	0.019432
407.00	0.023262
408.00	0.025059
409.00	0.025945
410.00	0.025209
411.00	0.021693
412.00	0.021419
413.00	0.023524
414.00	0.025099
415.00	0.024802
416.00	0.024504
417.00	0.025199
418.00	0.027209
419.00	0.029220
420.00	0.027330
421.00	0.025235
422.00	0.026626
423.00	0.030647
424.00	0.034037
425.00	0.031048
426.00	0.028059
427.00	0.025613
428.00	0.024377
429.00	0.023141
430.00	0.025283
431.00	0.029496
432.00	0.030778
433.00	0.028477
434.00	0.026177
435.00	0.026729
436.00	0.029522
437.00	0.031170
438.00	0.027595
439.00	0.024959
440.00	0.024315
441.00	0.023670
442.00	0.023007
443.00	0.022336
444.00	0.021594
445.00	0.020647
446.00	0.019700
447.00	0.018753
448.00	0.018516
449.00	0.018516
450.00	0.015502
451.00	0.011686
452.00	0.010268
453.00	0.0093405
454.00	0.0084466
455.00	0.0077560
456.00	0.0070654
457.00	0.0063748
458.00	0.0059285
459.00	0.0056989
460.00	0.0054693
461.00	0.0052398
462.00	0.0050454
463.00	0.0048545
464.00	0.0046637
465.00	0.0042435
466.00	0.0038034
467.00	0.0035569
468.00	0.0035569
469.00	0.0035569
470.00	0.0035570
