Wavelength (nm)	R02 abs e
681.00	94.504
682.00	71.905
683.00	80.081
684.00	111.31
685.00	120.74
686.00	100.07
687.00	88.144
688.00	96.889
689.00	93.709
690.00	99.728
691.00	107.56
692.00	97.229
693.00	102.57
694.00	105.06
695.00	125.85
696.00	118.58
697.00	156.28
698.00	155.83
699.00	126.41
700.00	131.75
701.00	130.62
702.00	141.63
703.00	140.50
704.00	137.88
705.00	133.23
706.00	131.87
707.00	164.68
708.00	132.89
709.00	111.54
710.00	112.56
711.00	118.12
712.00	101.66
713.00	117.90
714.00	111.42
715.00	106.20
716.00	79.968
717.00	75.880
718.00	112.45
719.00	101.54
720.00	81.104
721.00	64.296
722.00	75.653
723.00	87.009
724.00	98.365
725.00	98.138
726.00	113.35
727.00	88.144
728.00	117.10
729.00	146.06
730.00	138.79
731.00	160.94
732.00	133.00
733.00	136.52
734.00	188.99
735.00	171.73
736.00	160.82
737.00	178.54
738.00	142.65
739.00	174.34
740.00	191.26
741.00	132.32
742.00	161.05
743.00	184.10
744.00	142.88
745.00	170.93
746.00	162.41
747.00	175.36
748.00	178.31
749.00	168.55
750.00	217.94
751.00	180.13
752.00	160.82
753.00	182.17
754.00	185.01
755.00	145.38
756.00	210.68
757.00	235.43
758.00	226.58
759.00	138.57
760.00	221.69
761.00	225.78
762.00	113.13
763.00	181.38
764.00	239.52
765.00	265.53
766.00	160.71
767.00	116.19
768.00	229.64
769.00	295.51
770.00	204.66
771.00	261.78
772.00	217.60
773.00	213.63
774.00	247.58
775.00	223.17
776.00	234.18
777.00	245.54
778.00	255.99
779.00	303.91
780.00	246.68
781.00	248.27
782.00	294.26
783.00	226.92
784.00	237.48
785.00	223.74
786.00	256.21
787.00	248.61
788.00	283.47
789.00	241.57
790.00	215.90
791.00	224.53
792.00	242.47
793.00	225.89
794.00	243.22
795.00	229.30
796.00	182.51
797.00	195.23
798.00	217.03
799.00	237.82
800.00	223.51
