Wavelength (nm)	Chem Eur J 2014_87, 7HM-iso-DFCC (7) abs [Z]
200.00	0.99169
201.00	0.98803
202.00	0.98391
203.00	0.97665
204.00	0.97060
205.00	0.96654
206.00	0.96346
207.00	0.96153
208.00	0.96035
209.00	0.96275
210.00	0.96515
211.00	0.96806
212.00	0.97205
213.00	0.97614
214.00	0.98086
215.00	0.98558
216.00	0.98953
217.00	0.99320
218.00	0.99671
219.00	0.99836
220.00	1.0000
221.00	0.99696
222.00	0.99369
223.00	0.98964
224.00	0.98558
225.00	0.98033
226.00	0.97501
227.00	0.96914
228.00	0.96308
229.00	0.95713
230.00	0.95247
231.00	0.94782
232.00	0.94354
233.00	0.94155
234.00	0.93955
235.00	0.94056
236.00	0.94177
237.00	0.94300
238.00	0.94455
239.00	0.94610
240.00	0.94750
241.00	0.94848
242.00	0.94946
243.00	0.94768
244.00	0.94511
245.00	0.94235
246.00	0.93822
247.00	0.93409
248.00	0.92924
249.00	0.92253
250.00	0.91574
251.00	0.90858
252.00	0.90142
253.00	0.89266
254.00	0.88238
255.00	0.87209
256.00	0.86001
257.00	0.84760
258.00	0.83520
259.00	0.82043
260.00	0.80483
261.00	0.78923
262.00	0.77363
263.00	0.75530
264.00	0.73579
265.00	0.71629
266.00	0.69693
267.00	0.67762
268.00	0.65830
269.00	0.63912
270.00	0.62024
271.00	0.60137
272.00	0.58250
273.00	0.56362
274.00	0.54369
275.00	0.52361
276.00	0.50353
277.00	0.48345
278.00	0.46337
279.00	0.44500
280.00	0.42756
281.00	0.41011
282.00	0.39266
283.00	0.37522
284.00	0.35962
285.00	0.34424
286.00	0.32887
287.00	0.31624
288.00	0.30647
289.00	0.29671
290.00	0.28694
291.00	0.27980
292.00	0.27415
293.00	0.26850
294.00	0.26356
295.00	0.25927
296.00	0.25529
297.00	0.25318
298.00	0.25108
299.00	0.24903
300.00	0.24740
301.00	0.24576
302.00	0.24412
303.00	0.24293
304.00	0.24212
305.00	0.24132
306.00	0.24114
307.00	0.24157
308.00	0.24201
309.00	0.24261
310.00	0.24443
311.00	0.24625
312.00	0.24806
313.00	0.24997
314.00	0.25276
315.00	0.25556
316.00	0.25835
317.00	0.26244
318.00	0.26832
319.00	0.27420
320.00	0.28143
321.00	0.28910
322.00	0.29676
323.00	0.30442
324.00	0.31447
325.00	0.32452
326.00	0.33457
327.00	0.34463
328.00	0.35519
329.00	0.36892
330.00	0.38265
331.00	0.39638
332.00	0.41012
333.00	0.42385
334.00	0.43767
335.00	0.45176
336.00	0.46584
337.00	0.47993
338.00	0.49401
339.00	0.50810
340.00	0.52410
341.00	0.54042
342.00	0.55674
343.00	0.57305
344.00	0.58808
345.00	0.59981
346.00	0.61154
347.00	0.62327
348.00	0.63489
349.00	0.64617
350.00	0.65745
351.00	0.66873
352.00	0.67896
353.00	0.68672
354.00	0.69449
355.00	0.70237
356.00	0.71055
357.00	0.71872
358.00	0.72474
359.00	0.73048
360.00	0.73445
361.00	0.73671
362.00	0.73421
363.00	0.73170
364.00	0.72797
365.00	0.72360
366.00	0.71869
367.00	0.70834
368.00	0.69799
369.00	0.68764
370.00	0.67520
371.00	0.66247
372.00	0.64974
373.00	0.63701
374.00	0.62365
375.00	0.60930
376.00	0.59495
377.00	0.58060
378.00	0.56625
379.00	0.55137
380.00	0.53488
381.00	0.51840
382.00	0.50191
383.00	0.48542
384.00	0.46568
385.00	0.44239
386.00	0.41911
387.00	0.39583
388.00	0.37255
389.00	0.34610
390.00	0.31961
391.00	0.29313
392.00	0.26833
393.00	0.24712
394.00	0.22591
395.00	0.20470
396.00	0.18426
397.00	0.16569
398.00	0.14712
399.00	0.12883
400.00	0.11368
