Wavelength (nm)	Angew 2008_3057, NCC 4 abs [Z]
225.00	1.0000
226.00	0.98246
227.00	0.96493
228.00	0.94264
229.00	0.91945
230.00	0.89626
231.00	0.87634
232.00	0.85714
233.00	0.83839
234.00	0.82237
235.00	0.80635
236.00	0.79213
237.00	0.78358
238.00	0.77584
239.00	0.77264
240.00	0.76944
241.00	0.76677
242.00	0.76472
243.00	0.76266
244.00	0.76149
245.00	0.76072
246.00	0.75683
247.00	0.75231
248.00	0.74477
249.00	0.73539
250.00	0.72070
251.00	0.70303
252.00	0.68160
253.00	0.65911
254.00	0.63430
255.00	0.60677
256.00	0.57936
257.00	0.55811
258.00	0.53685
259.00	0.51570
260.00	0.49490
261.00	0.47411
262.00	0.45886
263.00	0.44510
264.00	0.43299
265.00	0.42398
266.00	0.41496
267.00	0.40658
268.00	0.40386
269.00	0.40115
270.00	0.39844
271.00	0.39583
272.00	0.39384
273.00	0.39185
274.00	0.38986
275.00	0.38823
276.00	0.38801
277.00	0.38779
278.00	0.38757
279.00	0.38788
280.00	0.38822
281.00	0.38857
282.00	0.38891
283.00	0.39037
284.00	0.39219
285.00	0.39401
286.00	0.39668
287.00	0.39988
288.00	0.40308
289.00	0.40785
290.00	0.41427
291.00	0.42069
292.00	0.43019
293.00	0.43993
294.00	0.44995
295.00	0.46175
296.00	0.47354
297.00	0.48534
298.00	0.49714
299.00	0.51310
300.00	0.52924
301.00	0.54538
302.00	0.56148
303.00	0.57750
304.00	0.59352
305.00	0.60954
306.00	0.62307
307.00	0.63581
308.00	0.64856
309.00	0.65983
310.00	0.67020
311.00	0.67708
312.00	0.68286
313.00	0.68538
314.00	0.68699
315.00	0.68477
316.00	0.68224
317.00	0.67566
318.00	0.66558
319.00	0.65102
320.00	0.63486
321.00	0.61330
322.00	0.59174
323.00	0.57018
324.00	0.54445
325.00	0.51733
326.00	0.49021
327.00	0.46309
328.00	0.43281
329.00	0.40003
330.00	0.36725
331.00	0.33293
332.00	0.29782
333.00	0.26270
334.00	0.23186
335.00	0.20246
336.00	0.17847
337.00	0.15728
338.00	0.13609
339.00	0.11626
340.00	0.096856
341.00	0.081524
342.00	0.069521
343.00	0.057517
344.00	0.048790
345.00	0.040095
346.00	0.031401
347.00	0.025370
348.00	0.020973
349.00	0.016575
350.00	0.013183
351.00	0.011504
352.00	0.0098243
353.00	0.0081451
354.00	0.0069934
355.00	0.0062911
356.00	0.0055888
357.00	0.0048864
358.00	0.0044401
359.00	0.0042823
360.00	0.0041246
361.00	0.0039668
362.00	0.0038091
363.00	0.0033075
364.00	0.0027839
365.00	0.0022604
366.00	0.0017368
367.00	0.0012133
368.00	0.00094104
369.00	0.00094104
370.00	0.00094104
371.00	0.00094104
372.00	0.00094104
373.00	0.00094104
374.00	0.00094104
375.00	0.00094104
376.00	0.00094104
377.00	0.00094104
378.00	0.00094104
379.00	0.00094104
380.00	0.00094104
381.00	0.00094104
382.00	0.00094104
383.00	0.00094104
384.00	0.00094104
385.00	0.00094104
386.00	0.00094104
387.00	0.00094104
388.00	0.00094104
389.00	0.00094104
390.00	0.00094104
391.00	0.00094104
392.00	0.00094104
393.00	0.00094104
394.00	0.00094104
395.00	0.00094104
396.00	0.00094104
397.00	0.00094104
398.00	0.00094104
399.00	0.00094104
400.00	0.00094104
