Wavelength (nm)	H09 abs e
320.75	3028.3
321.00	2922.3
321.25	2915.1
321.50	2704.7
321.75	2851.7
322.00	2791.3
322.25	3090.7
322.50	2570.4
322.75	2798.2
323.00	2740.5
323.25	2836.0
323.50	2687.7
323.75	2795.4
324.00	2732.3
324.25	2610.9
324.50	2612.0
324.75	2553.7
325.00	2610.6
325.25	2318.4
325.50	2316.0
325.75	2387.6
326.00	2534.6
326.25	2229.7
326.50	2237.6
326.75	2155.4
327.00	2402.6
327.25	2142.1
327.50	2066.0
327.75	2307.1
328.00	2213.0
328.25	2041.8
328.50	2346.3
328.75	1887.4
329.00	1874.8
329.25	1887.0
329.50	1781.7
329.75	1938.2
330.00	1885.7
330.25	1909.2
330.50	2023.1
330.75	2116.9
331.00	1904.4
331.25	1826.7
331.50	1995.8
331.75	2113.4
332.00	2065.7
332.25	1982.2
332.50	2176.5
332.75	2001.3
333.00	1849.9
333.25	2212.3
333.50	1978.1
333.75	2077.6
334.00	1899.0
334.25	2026.8
334.50	2117.5
334.75	2299.3
335.00	2247.5
335.25	2196.0
335.50	2164.9
335.75	2082.4
336.00	2431.2
336.25	2431.6
336.50	2392.4
336.75	2450.3
337.00	2346.3
337.25	2312.2
337.50	2727.9
337.75	2623.6
338.00	2473.5
338.25	2534.9
338.50	2684.6
338.75	2797.5
339.00	2767.8
339.25	2829.9
339.50	2906.2
339.75	2796.1
340.00	3065.8
340.25	3123.8
340.50	2878.3
340.75	3010.2
341.00	3310.3
341.25	3306.9
341.50	3368.3
341.75	3316.1
342.00	3480.5
342.25	3595.0
342.50	3596.4
342.75	3645.5
343.00	3785.3
343.25	3463.4
343.50	3783.6
343.75	3782.9
344.00	3945.2
344.25	4004.6
344.50	3925.1
344.75	4014.5
345.00	4225.9
345.25	4186.0
345.50	4173.4
345.75	4465.9
346.00	4326.1
346.25	4507.5
346.50	4619.4
346.75	4682.5
347.00	4730.5
347.25	4807.6
347.50	4790.2
347.75	4834.2
348.00	5038.4
348.25	5019.0
348.50	5241.0
348.75	5396.5
349.00	5478.0
349.25	5441.2
349.50	5740.9
349.75	5810.8
350.00	5824.4
350.25	5922.3
350.50	6104.0
350.75	6045.7
351.00	6224.4
351.25	6155.2
351.50	6470.6
351.75	6693.3
352.00	6505.0
352.25	6686.8
352.50	6779.5
352.75	6973.6
353.00	7030.8
353.25	6964.0
353.50	7005.3
353.75	7496.6
354.00	7382.4
354.25	7526.3
354.50	7654.8
354.75	7719.3
355.00	7886.7
355.25	8149.3
355.50	8089.9
355.75	8276.5
356.00	8792.7
356.25	8538.3
356.50	8719.4
356.75	8938.0
357.00	9194.4
357.25	9178.0
357.50	9245.9
357.75	9380.6
358.00	9565.7
358.25	9690.9
358.50	9581.1
358.75	9884.6
359.00	10147
359.25	10131
359.50	10147
359.75	10517
360.00	10534
360.25	10840
360.50	10831
360.75	11052
361.00	11228
361.25	11218
361.50	11469
361.75	11650
362.00	11676
362.25	12053
362.50	12046
362.75	12315
363.00	12409
363.25	12533
363.50	12690
363.75	12867
364.00	13113
364.25	13191
364.50	13426
364.75	13377
365.00	13629
365.25	13795
365.50	14106
365.75	14179
366.00	14366
366.25	14420
366.50	14494
366.75	14786
367.00	14976
367.25	14995
367.50	15220
367.75	15522
368.00	15798
368.25	15875
368.50	15964
368.75	16320
369.00	16408
369.25	16504
369.50	16661
369.75	17039
370.00	17262
370.25	17547
370.50	17565
370.75	17786
371.00	17918
371.25	18250
371.50	18315
371.75	18617
372.00	18622
372.25	18922
372.50	19243
372.75	19530
373.00	19638
373.25	19859
373.50	19930
373.75	20058
374.00	20181
374.25	20520
374.50	20643
374.75	20868
375.00	20844
375.25	20902
375.50	21297
375.75	21360
376.00	21589
376.25	21957
376.50	22273
376.75	22419
377.00	22889
377.25	22868
377.50	23157
377.75	23442
378.00	23614
378.25	23884
378.50	24206
378.75	24197
379.00	24648
379.25	24664
379.50	24985
379.75	25299
380.00	25463
380.25	25708
380.50	25803
380.75	26031
381.00	26301
381.25	26467
381.50	26606
381.75	26919
382.00	27299
382.25	27295
382.50	27668
382.75	27788
383.00	28061
383.25	28288
383.50	28419
383.75	28736
384.00	29057
384.25	29209
384.50	29245
384.75	29576
385.00	29838
385.25	30199
385.50	30243
385.75	30445
386.00	30539
386.25	30899
386.50	31109
386.75	31374
387.00	31501
387.25	31954
387.50	31995
387.75	32174
388.00	32477
388.25	32676
388.50	32892
388.75	32934
389.00	33260
389.25	33718
389.50	33583
389.75	34008
390.00	34149
390.25	34491
390.50	34677
390.75	34725
391.00	34891
391.25	35230
391.50	35442
391.75	35557
392.00	35644
392.25	35968
392.50	36122
392.75	36521
393.00	36561
393.25	36869
393.50	36912
393.75	37186
394.00	37381
394.25	37370
394.50	37623
394.75	37797
395.00	37916
395.25	38030
395.50	38489
395.75	38517
396.00	38716
396.25	38770
396.50	39194
396.75	39122
397.00	39355
397.25	39476
397.50	39498
397.75	39685
398.00	39800
398.25	40124
398.50	39998
398.75	40353
399.00	40523
399.25	40539
399.50	40421
399.75	40808
400.00	40858
400.25	41057
400.50	41052
400.75	41299
401.00	41277
401.25	41391
401.50	41390
401.75	41567
402.00	41491
402.25	41897
402.50	41817
402.75	41851
403.00	41907
403.25	41722
403.50	42212
403.75	42054
404.00	42152
404.25	42231
404.50	42169
404.75	42277
405.00	42446
405.25	42329
405.50	42473
405.75	42507
406.00	42665
406.25	42556
406.50	42540
406.75	42590
407.00	42509
407.25	42601
407.50	42800
407.75	42413
408.00	42663
408.25	42511
408.50	42446
408.75	42577
409.00	42514
409.25	42550
409.50	42417
409.75	42647
410.00	42359
410.25	42631
410.50	42360
410.75	42291
411.00	42219
411.25	42270
411.50	42106
411.75	41953
412.00	41928
412.25	41944
412.50	41801
412.75	41715
413.00	41464
413.25	41353
413.50	41325
413.75	41229
414.00	41067
414.25	41039
414.50	41012
414.75	40946
415.00	40776
415.25	40703
415.50	40571
415.75	40460
416.00	40186
416.25	40228
416.50	39891
416.75	39734
417.00	39461
417.25	39220
417.50	38964
417.75	39050
418.00	38804
418.25	38543
418.50	38423
418.75	38267
419.00	37895
419.25	37581
419.50	37567
419.75	37348
420.00	37081
420.25	36868
420.50	36583
420.75	36284
421.00	36134
421.25	35800
421.50	35492
421.75	35205
422.00	35070
422.25	34728
422.50	34590
422.75	34120
423.00	33918
423.25	33562
423.50	33329
423.75	33087
424.00	32653
424.25	32424
424.50	32211
424.75	31869
425.00	31508
425.25	31222
425.50	31012
