Wavelength (nm)	Angew 2018_14937, Pa-iPB-55 (2) [Z]
210.00	0.98487
211.00	0.99059
212.00	0.99515
213.00	0.99764
214.00	1.0000
215.00	0.99664
216.00	0.99213
217.00	0.98478
218.00	0.97647
219.00	0.96473
220.00	0.95117
221.00	0.93572
222.00	0.92027
223.00	0.90103
224.00	0.88031
225.00	0.85955
226.00	0.83846
227.00	0.81738
228.00	0.79648
229.00	0.77724
230.00	0.75801
231.00	0.73877
232.00	0.71954
233.00	0.69964
234.00	0.67944
235.00	0.65925
236.00	0.63905
237.00	0.61991
238.00	0.60140
239.00	0.58289
240.00	0.56541
241.00	0.55091
242.00	0.53640
243.00	0.52189
244.00	0.51000
245.00	0.49917
246.00	0.48846
247.00	0.48170
248.00	0.47493
249.00	0.46936
250.00	0.46600
251.00	0.46356
252.00	0.46506
253.00	0.46656
254.00	0.47014
255.00	0.47435
256.00	0.47860
257.00	0.48790
258.00	0.49719
259.00	0.50735
260.00	0.51811
261.00	0.52774
262.00	0.53703
263.00	0.54706
264.00	0.55845
265.00	0.56984
266.00	0.58031
267.00	0.59071
268.00	0.60107
269.00	0.61095
270.00	0.62084
271.00	0.63072
272.00	0.63967
273.00	0.64804
274.00	0.65641
275.00	0.66385
276.00	0.67037
277.00	0.67688
278.00	0.68323
279.00	0.68623
280.00	0.68922
281.00	0.69194
282.00	0.69450
283.00	0.69706
284.00	0.69875
285.00	0.69961
286.00	0.70048
287.00	0.69880
288.00	0.69713
289.00	0.69544
290.00	0.69372
291.00	0.69200
292.00	0.69028
293.00	0.68842
294.00	0.68647
295.00	0.68452
296.00	0.68257
297.00	0.68135
298.00	0.68021
299.00	0.67908
300.00	0.67792
301.00	0.67675
302.00	0.67559
303.00	0.67497
304.00	0.67475
305.00	0.67453
306.00	0.67461
307.00	0.67542
308.00	0.67623
309.00	0.67655
310.00	0.67655
311.00	0.67655
312.00	0.67316
313.00	0.66904
314.00	0.66027
315.00	0.65151
316.00	0.63857
317.00	0.62544
318.00	0.61023
319.00	0.59456
320.00	0.57364
321.00	0.55271
322.00	0.53098
323.00	0.50832
324.00	0.48567
325.00	0.46160
326.00	0.43668
327.00	0.41164
328.00	0.38322
329.00	0.35480
330.00	0.32707
331.00	0.30062
332.00	0.27417
333.00	0.24874
334.00	0.22405
335.00	0.19936
336.00	0.17708
337.00	0.15568
338.00	0.13489
339.00	0.11456
340.00	0.097873
341.00	0.084968
342.00	0.072714
343.00	0.061397
344.00	0.050080
345.00	0.043483
346.00	0.037353
347.00	0.031222
348.00	0.026206
349.00	0.023168
350.00	0.020131
351.00	0.017093
352.00	0.014514
353.00	0.013002
354.00	0.011491
355.00	0.0099795
356.00	0.0084681
357.00	0.0078612
358.00	0.0072726
359.00	0.0066841
360.00	0.0060955
361.00	0.0055028
362.00	0.0048311
363.00	0.0041595
364.00	0.0034878
365.00	0.0028161
366.00	0.0025359
367.00	0.0024006
368.00	0.0022652
369.00	0.0021299
370.00	0.0019946
371.00	0.0019093
372.00	0.0019093
373.00	0.0019093
374.00	0.0019093
375.00	0.0019093
376.00	0.0019093
377.00	0.0019093
378.00	0.0019093
379.00	0.0019093
380.00	0.0019093
381.00	0.0019093
382.00	0.0019093
383.00	0.0019093
384.00	0.0019093
385.00	0.0019093
386.00	0.0019093
387.00	0.0019093
388.00	0.0019093
389.00	0.0019093
390.00	0.0019093
391.00	0.0019093
392.00	0.0019093
393.00	0.0019093
394.00	0.0019093
395.00	0.0019093
396.00	0.0019093
397.00	0.0019093
398.00	0.0019093
399.00	0.0019093
400.00	0.0019093
