Wavelength (nm)	Chem Eur J 2018_2987, Z4-Me (CHCl3) abs [Z]
250.00	0.43625
251.00	0.42205
252.00	0.40861
253.00	0.39589
254.00	0.38291
255.00	0.36983
256.00	0.35806
257.00	0.34897
258.00	0.34439
259.00	0.34036
260.00	0.33809
261.00	0.33582
262.00	0.33727
263.00	0.33901
264.00	0.34074
265.00	0.34249
266.00	0.34469
267.00	0.34690
268.00	0.34910
269.00	0.35131
270.00	0.35276
271.00	0.35417
272.00	0.35558
273.00	0.35661
274.00	0.35627
275.00	0.35593
276.00	0.35559
277.00	0.35525
278.00	0.35493
279.00	0.35460
280.00	0.35428
281.00	0.35395
282.00	0.35374
283.00	0.35408
284.00	0.35441
285.00	0.35475
286.00	0.35509
287.00	0.35686
288.00	0.35917
289.00	0.36147
290.00	0.36378
291.00	0.36700
292.00	0.37042
293.00	0.37384
294.00	0.37757
295.00	0.38444
296.00	0.39131
297.00	0.39818
298.00	0.40505
299.00	0.41399
300.00	0.42336
301.00	0.43272
302.00	0.44208
303.00	0.45145
304.00	0.46185
305.00	0.47243
306.00	0.48300
307.00	0.49357
308.00	0.50415
309.00	0.51474
310.00	0.52532
311.00	0.53591
312.00	0.54649
313.00	0.55721
314.00	0.56794
315.00	0.57761
316.00	0.58515
317.00	0.59268
318.00	0.59663
319.00	0.59990
320.00	0.59819
321.00	0.59648
322.00	0.59286
323.00	0.58925
324.00	0.58222
325.00	0.57519
326.00	0.56635
327.00	0.55663
328.00	0.54690
329.00	0.53720
330.00	0.52772
331.00	0.51823
332.00	0.50875
333.00	0.49935
334.00	0.49007
335.00	0.48079
336.00	0.46755
337.00	0.45283
338.00	0.43812
339.00	0.41512
340.00	0.38889
341.00	0.36310
342.00	0.33878
343.00	0.31446
344.00	0.28994
345.00	0.26511
346.00	0.24028
347.00	0.21684
348.00	0.19393
349.00	0.17245
350.00	0.15550
351.00	0.14395
352.00	0.13269
353.00	0.12697
354.00	0.12124
355.00	0.11754
356.00	0.11542
357.00	0.11330
358.00	0.11122
359.00	0.11263
360.00	0.11404
361.00	0.11545
362.00	0.11740
363.00	0.12075
364.00	0.12410
365.00	0.12745
366.00	0.13083
367.00	0.13608
368.00	0.14132
369.00	0.14657
370.00	0.15260
