Wavelength (nm)	FL102 [12] 577-85-5, 3-Hydroxyflavone [C]
210.00	13332
211.00	13116
212.00	12947
213.00	12808
214.00	12710
215.00	12607
216.00	12420
217.00	12116
218.00	11709
219.00	11253
220.00	10842
221.00	10551
222.00	10402
223.00	10389
224.00	10524
225.00	10795
226.00	11184
227.00	11660
228.00	12154
229.00	12617
230.00	13011
231.00	13352
232.00	13671
233.00	14032
234.00	14486
235.00	14975
236.00	15492
237.00	15897
238.00	16129
239.00	16161
240.00	16093
241.00	16011
242.00	15983
243.00	15951
244.00	15802
245.00	15485
246.00	15002
247.00	14436
248.00	13871
249.00	13325
250.00	12821
251.00	12334
252.00	11847
253.00	11360
254.00	10866
255.00	10352
256.00	9806.6
257.00	9229.7
258.00	8631.7
259.00	8014.3
260.00	7378.8
261.00	6762.7
262.00	6166.2
263.00	5595.4
264.00	5068.1
265.00	4574.2
266.00	4139.6
267.00	3758.3
268.00	3430.9
269.00	3152.8
270.00	2939.1
271.00	2785.8
272.00	2686.7
273.00	2631.5
274.00	2627.9
275.00	2665.1
276.00	2741.9
277.00	2854.5
278.00	2997.8
279.00	3165.9
280.00	3361.8
281.00	3582.0
282.00	3823.4
283.00	4091.8
284.00	4379.9
285.00	4684.8
286.00	5011.9
287.00	5364.8
288.00	5729.2
289.00	6099.5
290.00	6476.1
291.00	6862.7
292.00	7232.1
293.00	7597.6
294.00	7949.8
295.00	8278.7
296.00	8603.7
297.00	8910.4
298.00	9198.0
299.00	9467.3
300.00	9710.3
301.00	9920.0
302.00	10108
303.00	10245
304.00	10346
305.00	10390
306.00	10384
307.00	10350
308.00	10266
309.00	10137
310.00	9993.0
311.00	9848.4
312.00	9709.7
313.00	9575.1
314.00	9453.6
315.00	9355.1
316.00	9290.6
317.00	9263.4
318.00	9255.6
319.00	9292.1
320.00	9368.4
321.00	9480.1
322.00	9629.9
323.00	9830.2
324.00	10039
325.00	10284
326.00	10533
327.00	10790
328.00	11064
329.00	11342
330.00	11628
331.00	11908
332.00	12208
333.00	12493
334.00	12792
335.00	13088
336.00	13394
337.00	13684
338.00	13961
339.00	14209
340.00	14426
341.00	14590
342.00	14716
343.00	14793
344.00	14800
345.00	14773
346.00	14702
347.00	14580
348.00	14431
349.00	14259
350.00	14065
351.00	13843
352.00	13614
353.00	13373
354.00	13150
355.00	12907
356.00	12649
357.00	12380
358.00	12098
359.00	11789
360.00	11425
361.00	11015
362.00	10531
363.00	10005
364.00	9415.7
365.00	8805.6
366.00	8143.3
367.00	7472.7
368.00	6800.1
369.00	6120.8
370.00	5450.5
371.00	4781.5
372.00	4157.5
373.00	3578.6
374.00	3026.5
375.00	2549.7
376.00	2133.8
377.00	1758.5
378.00	1440.4
379.00	1175.9
380.00	952.98
381.00	765.93
382.00	621.40
383.00	491.03
384.00	390.06
385.00	317.77
386.00	255.07
387.00	210.64
388.00	167.59
389.00	138.25
390.00	111.08
391.00	97.449
392.00	86.954
393.00	89.446
394.00	69.446
395.00	62.188
396.00	62.892
397.00	57.232
398.00	69.920
399.00	67.902
400.00	56.839
401.00	54.226
402.00	52.262
403.00	51.463
404.00	53.657
405.00	69.527
406.00	64.206
407.00	53.644
408.00	53.941
409.00	52.980
410.00	48.065
411.00	54.266
412.00	56.040
413.00	62.581
414.00	58.275
415.00	51.924
416.00	48.281
417.00	44.165
418.00	41.497
419.00	46.535
420.00	51.287
421.00	57.164
422.00	65.600
423.00	63.136
424.00	55.986
425.00	41.470
426.00	41.917
427.00	49.839
428.00	50.069
429.00	44.463
430.00	55.675
431.00	53.373
432.00	41.917
433.00	41.321
434.00	25.465
435.00	22.025
436.00	34.998
437.00	32.655
438.00	32.994
439.00	34.551
440.00	33.847
441.00	39.534
442.00	28.403
443.00	33.332
444.00	31.870
445.00	29.690
446.00	32.262
447.00	30.868
448.00	25.993
449.00	29.419
450.00	32.479
451.00	30.191
452.00	31.260
453.00	24.693
454.00	14.591
455.00	10.326
456.00	8.5250
457.00	7.7667
458.00	12.073
459.00	19.764
460.00	25.424
461.00	20.279
462.00	15.959
463.00	19.602
464.00	32.655
465.00	35.336
466.00	32.696
467.00	25.031
468.00	31.003
469.00	27.225
470.00	18.166
471.00	21.741
472.00	22.824
473.00	20.888
474.00	24.273
475.00	34.998
476.00	28.701
477.00	28.999
478.00	23.312
479.00	26.413
480.00	24.801
481.00	28.268
482.00	22.770
483.00	34.551
484.00	44.571
485.00	34.835
486.00	63.285
487.00	46.359
488.00	36.135
489.00	32.655
490.00	34.239
491.00	23.637
492.00	13.021
493.00	36.785
494.00	28.349
495.00	27.063
496.00	35.038
497.00	28.850
498.00	35.539
499.00	25.370
500.00	12.872
