Wavelength (nm)	JPP 2016_388, YCC-Me abs [Z]
270.00	0.56353
271.00	0.56517
272.00	0.56681
273.00	0.56845
274.00	0.57053
275.00	0.57306
276.00	0.57560
277.00	0.57813
278.00	0.58077
279.00	0.58377
280.00	0.58676
281.00	0.58976
282.00	0.59276
283.00	0.59869
284.00	0.60474
285.00	0.61080
286.00	0.61685
287.00	0.62614
288.00	0.63561
289.00	0.64507
290.00	0.65454
291.00	0.66400
292.00	0.67825
293.00	0.69475
294.00	0.71125
295.00	0.72775
296.00	0.74425
297.00	0.75989
298.00	0.77430
299.00	0.78871
300.00	0.80111
301.00	0.81245
302.00	0.82378
303.00	0.83452
304.00	0.84169
305.00	0.84886
306.00	0.85547
307.00	0.85843
308.00	0.86138
309.00	0.86099
310.00	0.85854
311.00	0.85610
312.00	0.84649
313.00	0.83570
314.00	0.81651
315.00	0.79595
316.00	0.77539
317.00	0.75398
318.00	0.72403
319.00	0.69407
320.00	0.66411
321.00	0.63053
322.00	0.59431
323.00	0.55810
324.00	0.52189
325.00	0.48869
326.00	0.45615
327.00	0.42360
328.00	0.39120
329.00	0.36142
330.00	0.33164
331.00	0.30215
332.00	0.27968
333.00	0.25722
334.00	0.23475
335.00	0.21635
336.00	0.20156
337.00	0.18677
338.00	0.17214
339.00	0.16530
340.00	0.15845
341.00	0.15160
342.00	0.14476
343.00	0.13791
344.00	0.13657
345.00	0.13522
346.00	0.13388
347.00	0.13253
348.00	0.13385
349.00	0.13519
350.00	0.13653
351.00	0.13788
352.00	0.13922
353.00	0.14239
354.00	0.14562
355.00	0.14885
356.00	0.15207
357.00	0.15530
358.00	0.16059
359.00	0.16596
360.00	0.17134
361.00	0.17671
362.00	0.18209
363.00	0.18788
364.00	0.19548
365.00	0.20307
366.00	0.21066
367.00	0.21825
368.00	0.22585
369.00	0.23403
370.00	0.24303
371.00	0.25202
372.00	0.26102
373.00	0.27026
374.00	0.28087
375.00	0.29149
376.00	0.30210
377.00	0.31271
378.00	0.32513
379.00	0.33856
380.00	0.35200
381.00	0.36543
382.00	0.37887
383.00	0.39230
