Wavelength (nm)	JPP 2016_388, YCC-Me ems [Z]
440.00	0.10297
441.00	0.10475
442.00	0.10654
443.00	0.10832
444.00	0.11010
445.00	0.11188
446.00	0.11910
447.00	0.12736
448.00	0.13561
449.00	0.14482
450.00	0.15415
451.00	0.16349
452.00	0.17569
453.00	0.19238
454.00	0.20908
455.00	0.22603
456.00	0.24300
457.00	0.25997
458.00	0.27694
459.00	0.29452
460.00	0.32018
461.00	0.34584
462.00	0.37151
463.00	0.39769
464.00	0.42459
465.00	0.45149
466.00	0.47839
467.00	0.50529
468.00	0.53221
469.00	0.56025
470.00	0.58829
471.00	0.61633
472.00	0.64437
473.00	0.67242
474.00	0.70046
475.00	0.72181
476.00	0.74259
477.00	0.76337
478.00	0.78414
479.00	0.80492
480.00	0.82532
481.00	0.84390
482.00	0.86248
483.00	0.88106
484.00	0.89964
485.00	0.91583
486.00	0.93066
487.00	0.94550
488.00	0.96033
489.00	0.97097
490.00	0.98152
491.00	0.99194
492.00	0.99597
493.00	1.0000
494.00	0.99715
495.00	0.99431
496.00	0.99073
497.00	0.98263
498.00	0.97454
499.00	0.96645
500.00	0.95836
501.00	0.95109
502.00	0.94436
503.00	0.93763
504.00	0.93089
505.00	0.92544
506.00	0.92035
507.00	0.91526
508.00	0.91017
509.00	0.90275
510.00	0.89468
511.00	0.88661
512.00	0.87854
513.00	0.87008
514.00	0.85650
515.00	0.84293
516.00	0.82935
517.00	0.81594
518.00	0.80465
519.00	0.79336
520.00	0.78206
521.00	0.77077
522.00	0.75948
523.00	0.74896
524.00	0.73884
525.00	0.72873
526.00	0.71861
527.00	0.70849
528.00	0.69837
529.00	0.68759
530.00	0.67446
531.00	0.66133
532.00	0.64820
533.00	0.63507
534.00	0.62194
535.00	0.60873
536.00	0.59494
537.00	0.58114
538.00	0.56735
539.00	0.55355
540.00	0.53976
541.00	0.52596
542.00	0.51305
543.00	0.50192
544.00	0.49079
545.00	0.47966
546.00	0.46853
547.00	0.45741
548.00	0.44628
549.00	0.43517
550.00	0.42585
551.00	0.41653
552.00	0.40722
553.00	0.39790
554.00	0.38858
555.00	0.37927
556.00	0.36995
557.00	0.36086
558.00	0.35180
559.00	0.34273
560.00	0.33367
561.00	0.32461
562.00	0.31555
563.00	0.30649
564.00	0.29784
565.00	0.28985
566.00	0.28186
567.00	0.27388
568.00	0.26589
569.00	0.25791
570.00	0.24992
571.00	0.24259
572.00	0.23619
573.00	0.22979
574.00	0.22339
575.00	0.21699
576.00	0.21059
577.00	0.20419
578.00	0.19874
579.00	0.19387
580.00	0.18901
581.00	0.18414
582.00	0.17927
583.00	0.17440
584.00	0.16953
585.00	0.16459
586.00	0.15961
587.00	0.15463
588.00	0.14965
589.00	0.14467
590.00	0.13969
591.00	0.13512
592.00	0.13123
593.00	0.12733
594.00	0.12344
595.00	0.11954
596.00	0.11565
597.00	0.11175
598.00	0.10794
599.00	0.10543
600.00	0.10291
601.00	0.10040
602.00	0.097884
603.00	0.095371
604.00	0.092857
605.00	0.090343
606.00	0.087830
607.00	0.085316
608.00	0.082802
609.00	0.080402
610.00	0.078324
611.00	0.076246
612.00	0.074168
613.00	0.072091
614.00	0.070013
615.00	0.067935
616.00	0.065857
617.00	0.063801
618.00	0.061775
619.00	0.059749
620.00	0.057722
621.00	0.055696
622.00	0.053670
623.00	0.051644
624.00	0.049618
625.00	0.047592
626.00	0.046119
627.00	0.044872
628.00	0.043625
629.00	0.042378
630.00	0.041131
631.00	0.039884
632.00	0.038637
633.00	0.037390
634.00	0.036143
635.00	0.035126
636.00	0.034109
637.00	0.033092
638.00	0.032076
639.00	0.031059
640.00	0.030042
641.00	0.029025
642.00	0.028008
643.00	0.027342
644.00	0.026679
645.00	0.026016
646.00	0.025353
647.00	0.024690
648.00	0.024027
649.00	0.023364
650.00	0.022701
651.00	0.022235
652.00	0.021819
653.00	0.021402
654.00	0.020986
655.00	0.020569
656.00	0.020153
657.00	0.019737
658.00	0.019282
659.00	0.018786
660.00	0.018290
661.00	0.017794
662.00	0.017298
663.00	0.016803
664.00	0.016307
665.00	0.015811
666.00	0.015378
667.00	0.015017
668.00	0.014656
669.00	0.014294
670.00	0.013933
671.00	0.013571
672.00	0.013210
673.00	0.012849
674.00	0.012487
675.00	0.012126
676.00	0.011765
677.00	0.011353
678.00	0.010931
679.00	0.010509
680.00	0.010087
681.00	0.0096652
682.00	0.0092433
683.00	0.0088215
684.00	0.0083996
685.00	0.0079777
686.00	0.0076636
687.00	0.0074183
688.00	0.0071730
689.00	0.0069277
690.00	0.0066824
691.00	0.0064371
692.00	0.0061919
693.00	0.0059466
694.00	0.0057013
695.00	0.0055047
696.00	0.0053878
697.00	0.0052708
698.00	0.0051538
699.00	0.0050368
700.00	0.0049198
