Wavelength (nm)	B10 abs e
200.00	33465
201.00	32642
202.00	31412
203.00	29534
204.00	27560
205.00	25149
206.00	22786
207.00	20576
208.00	18382
209.00	16371
210.00	14646
211.00	13463
212.00	12743
213.00	12449
214.00	12446
215.00	12660
216.00	12999
217.00	13389
218.00	13807
219.00	14203
220.00	14588
221.00	14949
222.00	15253
223.00	15518
224.00	15754
225.00	15934
226.00	16092
227.00	16234
228.00	16362
229.00	16442
230.00	16444
231.00	16365
232.00	16249
233.00	16095
234.00	15815
235.00	15317
236.00	14607
237.00	13798
238.00	13045
239.00	12536
240.00	12301
241.00	12113
242.00	11527
243.00	10227
244.00	8440.4
245.00	6703.2
246.00	5458.7
247.00	4699.9
248.00	4215.9
249.00	3845.4
250.00	3630.3
251.00	3585.0
252.00	3664.8
253.00	3821.3
254.00	4007.7
255.00	4216.5
256.00	4442.4
257.00	4656.4
258.00	4878.9
259.00	5105.4
260.00	5320.5
261.00	5535.6
262.00	5732.8
263.00	5918.1
264.00	6087.8
265.00	6239.3
266.00	6384.4
267.00	6535.2
268.00	6686.6
269.00	6842.6
270.00	7004.9
271.00	7157.4
272.00	7301.4
273.00	7424.7
274.00	7542.8
275.00	7651.8
276.00	7759.6
277.00	7878.9
278.00	8013.1
279.00	8168.6
280.00	8334.9
281.00	8516.1
282.00	8674.4
283.00	8837.8
284.00	8993.3
285.00	9081.0
286.00	9122.3
287.00	9148.1
288.00	9175.6
289.00	9203.7
290.00	9271.4
291.00	9334.5
292.00	9426.3
293.00	9494.5
294.00	9570.8
295.00	9631.0
296.00	9680.3
297.00	9699.8
298.00	9731.4
299.00	9778.4
300.00	9793.9
301.00	9811.1
302.00	9850.1
303.00	9899.4
304.00	9935.5
305.00	9975.1
306.00	10129
307.00	10412
308.00	10833
309.00	11348
310.00	11947
311.00	12583
312.00	13170
313.00	13667
314.00	14135
315.00	14655
316.00	15285
317.00	16011
318.00	16841
319.00	17747
320.00	18702
321.00	19733
322.00	20751
323.00	21775
324.00	22751
325.00	23669
326.00	24540
327.00	25376
328.00	26184
329.00	27012
330.00	27874
331.00	28765
332.00	29695
333.00	30732
334.00	31851
335.00	33065
336.00	34348
337.00	35681
338.00	36988
339.00	38211
340.00	39228
341.00	39980
342.00	40467
343.00	40656
344.00	40641
345.00	40548
346.00	40456
347.00	40424
348.00	40468
349.00	40619
350.00	40926
351.00	41364
352.00	41970
353.00	42782
354.00	43734
355.00	44772
356.00	45726
357.00	46515
358.00	46905
359.00	47000
360.00	46678
361.00	45616
362.00	43850
363.00	41515
364.00	38903
365.00	36555
366.00	34474
367.00	32843
368.00	31494
369.00	30412
370.00	29578
371.00	28964
372.00	28652
373.00	28507
374.00	28580
375.00	28803
376.00	29102
377.00	29328
378.00	29371
379.00	29128
380.00	28381
381.00	27061
382.00	25104
383.00	22650
384.00	19611
385.00	16336
386.00	12985
387.00	9760.6
388.00	7068.6
389.00	4953.4
390.00	3321.4
391.00	2117.2
392.00	1335.3
393.00	859.81
394.00	547.07
395.00	338.37
396.00	211.63
397.00	161.90
398.00	151.58
399.00	134.32
400.00	67.141
401.00	65.467
402.00	65.346
403.00	64.463
404.00	65.036
405.00	66.367
406.00	65.937
407.00	80.177
408.00	100.94
409.00	96.866
410.00	96.981
411.00	59.244
412.00	80.487
413.00	62.530
414.00	62.473
415.00	59.123
416.00	65.633
417.00	82.701
418.00	68.248
419.00	28.102
420.00	35.443
421.00	44.505
422.00	74.041
423.00	22.826
424.00	32.174
425.00	23.916
426.00	87.249
427.00	27.987
428.00	63.350
429.00	63.138
430.00	88.665
431.00	84.823
432.00	82.127
433.00	88.321
434.00	42.497
435.00	45.250
436.00	73.565
437.00	48.003
438.00	44.963
439.00	77.367
440.00	67.847
441.00	76.335
442.00	71.243
443.00	79.523
444.00	81.330
445.00	79.741
446.00	81.101
447.00	81.531
448.00	80.269
449.00	131.78
450.00	79.759
