Wavelength (nm)	Dalton 2015_10116, Pd-3 abs [Z]
280.00	0.52524
281.00	0.50108
282.00	0.48501
283.00	0.47965
284.00	0.47428
285.00	0.47218
286.00	0.47086
287.00	0.47180
288.00	0.47385
289.00	0.47657
290.00	0.48042
291.00	0.48426
292.00	0.48926
293.00	0.49587
294.00	0.50248
295.00	0.51018
296.00	0.51854
297.00	0.52690
298.00	0.53657
299.00	0.54869
300.00	0.56080
301.00	0.57359
302.00	0.58865
303.00	0.60371
304.00	0.61938
305.00	0.63665
306.00	0.65391
307.00	0.67118
308.00	0.68845
309.00	0.70635
310.00	0.72426
311.00	0.74216
312.00	0.76006
313.00	0.77797
314.00	0.79587
315.00	0.81349
316.00	0.83037
317.00	0.84726
318.00	0.86414
319.00	0.88103
320.00	0.89619
321.00	0.91058
322.00	0.92496
323.00	0.93825
324.00	0.95024
325.00	0.95756
326.00	0.96488
327.00	0.96962
328.00	0.97426
329.00	0.97890
330.00	0.98321
331.00	0.98607
332.00	0.98862
333.00	0.98494
334.00	0.97951
335.00	0.96906
336.00	0.96066
337.00	0.95145
338.00	0.94035
339.00	0.92926
340.00	0.91346
341.00	0.89671
342.00	0.87995
343.00	0.86207
344.00	0.84019
345.00	0.81831
346.00	0.79650
347.00	0.77525
348.00	0.75400
349.00	0.73275
350.00	0.71190
351.00	0.69188
352.00	0.67187
353.00	0.65398
354.00	0.63696
355.00	0.61994
356.00	0.60332
357.00	0.59023
358.00	0.57714
359.00	0.56462
360.00	0.55558
361.00	0.54655
362.00	0.53752
363.00	0.53047
364.00	0.52520
365.00	0.51992
366.00	0.51464
367.00	0.51105
368.00	0.50863
369.00	0.50621
370.00	0.50379
371.00	0.50196
372.00	0.50074
373.00	0.49952
374.00	0.49830
375.00	0.49658
376.00	0.49319
377.00	0.48981
378.00	0.48578
379.00	0.48092
380.00	0.47607
381.00	0.46253
382.00	0.44695
383.00	0.43144
384.00	0.41926
385.00	0.40709
386.00	0.39492
387.00	0.38274
388.00	0.36829
389.00	0.35307
390.00	0.33786
391.00	0.32265
392.00	0.30848
393.00	0.29488
394.00	0.28128
395.00	0.26815
396.00	0.25680
397.00	0.24544
398.00	0.23456
399.00	0.22853
400.00	0.22251
401.00	0.21648
402.00	0.21157
403.00	0.20729
404.00	0.20301
405.00	0.19873
406.00	0.19445
407.00	0.19017
408.00	0.18702
409.00	0.18400
410.00	0.18099
411.00	0.17797
412.00	0.17495
413.00	0.17193
414.00	0.16892
415.00	0.16714
416.00	0.16536
417.00	0.16358
418.00	0.16180
419.00	0.16002
420.00	0.15823
421.00	0.15645
422.00	0.15467
423.00	0.15289
424.00	0.15111
425.00	0.14980
426.00	0.14872
427.00	0.14763
428.00	0.14655
429.00	0.14547
430.00	0.14439
431.00	0.14331
432.00	0.14223
433.00	0.14115
434.00	0.13995
435.00	0.13862
436.00	0.13730
437.00	0.13597
438.00	0.13464
439.00	0.13331
440.00	0.13198
441.00	0.13066
442.00	0.12933
443.00	0.12800
444.00	0.12667
445.00	0.12550
446.00	0.12437
447.00	0.12324
448.00	0.12211
449.00	0.12097
450.00	0.11984
451.00	0.11871
452.00	0.11758
453.00	0.11645
454.00	0.11531
455.00	0.11418
456.00	0.11305
457.00	0.11192
458.00	0.11079
459.00	0.10983
460.00	0.10887
461.00	0.10791
462.00	0.10695
463.00	0.10599
464.00	0.10503
465.00	0.10407
466.00	0.10340
467.00	0.10290
468.00	0.10240
469.00	0.10190
470.00	0.10139
471.00	0.10089
472.00	0.10042
473.00	0.10035
474.00	0.10028
475.00	0.10021
476.00	0.10013
477.00	0.10006
478.00	0.099989
479.00	0.10013
480.00	0.10046
481.00	0.10079
482.00	0.10112
483.00	0.10146
484.00	0.10179
485.00	0.10212
486.00	0.10245
487.00	0.10279
488.00	0.10333
489.00	0.10388
490.00	0.10442
491.00	0.10497
492.00	0.10552
493.00	0.10606
494.00	0.10661
495.00	0.10715
496.00	0.10770
497.00	0.10850
498.00	0.10958
499.00	0.11066
500.00	0.11173
501.00	0.11281
502.00	0.11389
503.00	0.11497
504.00	0.11624
505.00	0.11752
506.00	0.11881
507.00	0.12010
508.00	0.12138
509.00	0.12267
510.00	0.12396
511.00	0.12527
512.00	0.12667
513.00	0.12808
514.00	0.12949
515.00	0.13090
516.00	0.13230
