Wavelength (nm)	Q05 abs e
407.75	3.4099e+05
408.00	3.5006e+05
408.25	3.6243e+05
408.50	3.7290e+05
408.75	3.8262e+05
409.00	3.9087e+05
409.25	3.9455e+05
409.50	4.0059e+05
409.75	4.0800e+05
410.00	4.0458e+05
410.25	4.0439e+05
410.50	4.0069e+05
410.75	3.9934e+05
411.00	3.9050e+05
411.25	3.8383e+05
411.50	3.7420e+05
411.75	3.6290e+05
412.00	3.5071e+05
412.25	3.3829e+05
412.50	3.2552e+05
412.75	3.1001e+05
413.00	2.9500e+05
413.25	2.8200e+05
413.50	2.6740e+05
413.75	2.5416e+05
414.00	2.4086e+05
414.25	2.2810e+05
414.50	2.2029e+05
414.75	2.1479e+05
415.00	2.0482e+05
415.25	1.9313e+05
415.50	1.8106e+05
415.75	1.6823e+05
416.00	1.5744e+05
416.25	1.4737e+05
416.50	1.3730e+05
416.75	1.2613e+05
417.00	1.1932e+05
417.25	1.1021e+05
417.50	1.0280e+05
417.75	93704
418.00	86617
418.25	80994
418.50	73916
418.75	69415
419.00	62474
419.25	57038
419.50	53723
419.75	49107
420.00	44542
420.25	43202
420.50	38550
420.75	36876
421.00	32649
421.25	31353
421.50	28663
421.75	25288
422.00	24590
422.25	22634
422.50	23017
422.75	21270
423.00	17882
423.25	18260
423.50	16933
423.75	15962
424.00	14575
424.25	14926
424.50	15009
424.75	13490
425.00	13736
425.25	12801
425.50	12856
425.75	12231
426.00	12450
426.25	10480
426.50	9878.0
426.75	10726
427.00	10015
427.25	10015
427.50	10717
427.75	9795.9
428.00	9203.1
428.25	9266.9
428.50	9116.4
428.75	8537.2
429.00	8487.1
429.25	8468.8
429.50	8482.5
429.75	9157.5
430.00	7830.4
430.25	8067.5
430.50	8519.0
430.75	7976.3
431.00	7374.3
431.25	7825.8
431.50	7620.6
431.75	7155.4
432.00	8309.2
432.25	7971.7
432.50	7274.0
432.75	7118.9
433.00	5910.4
433.25	5928.6
433.50	5271.9
433.75	5869.4
434.00	4601.5
434.25	6526.1
434.50	5983.4
434.75	4952.7
435.00	6653.8
435.25	5513.6
435.50	6143.0
435.75	5185.3
436.00	5267.4
436.25	3675.8
436.50	5249.1
436.75	5568.4
