Wavelength (nm)	C03 abs e
275.00	85711
276.00	1.0556e+05
277.00	1.4047e+05
278.00	1.8415e+05
279.00	2.1235e+05
280.00	2.1572e+05
281.00	1.9944e+05
282.00	1.7426e+05
283.00	1.5044e+05
284.00	1.3044e+05
285.00	1.1147e+05
286.00	91575
287.00	71562
288.00	53545
289.00	39449
290.00	29735
291.00	24141
292.00	21859
293.00	21992
294.00	23765
295.00	26431
296.00	28176
297.00	27436
298.00	24277
299.00	19885
300.00	15333
301.00	11268
302.00	8149.4
303.00	5893.5
304.00	4405.5
305.00	3333.6
306.00	2525.1
307.00	1975.0
308.00	1619.5
309.00	1386.3
310.00	1176.8
311.00	990.27
312.00	860.69
313.00	765.86
314.00	702.96
315.00	645.89
316.00	589.01
317.00	569.21
318.00	517.96
319.00	500.88
320.00	526.31
321.00	436.14
322.00	466.61
323.00	447.98
324.00	398.57
325.00	376.54
326.00	380.13
327.00	370.23
328.00	337.71
329.00	339.27
330.00	348.39
331.00	305.20
332.00	314.81
333.00	312.28
334.00	310.24
335.00	316.94
336.00	347.03
337.00	353.44
338.00	354.89
339.00	337.23
340.00	379.35
341.00	347.22
342.00	349.36
343.00	337.32
344.00	341.11
345.00	362.95
346.00	337.81
347.00	377.51
348.00	391.49
349.00	402.45
350.00	378.29
351.00	392.84
352.00	409.15
353.00	460.79
354.00	502.43
355.00	513.11
356.00	535.24
357.00	537.57
358.00	573.58
359.00	531.06
360.00	489.71
361.00	483.11
362.00	510.49
363.00	545.82
364.00	541.64
365.00	555.91
366.00	671.22
367.00	683.75
368.00	693.74
369.00	761.98
370.00	803.43
371.00	798.48
372.00	882.34
373.00	955.53
374.00	1038.5
375.00	1088.1
376.00	1115.2
377.00	1157.4
378.00	1021.0
379.00	933.98
380.00	915.15
381.00	836.14
382.00	824.00
383.00	848.95
384.00	858.36
385.00	917.86
386.00	937.67
387.00	1014.1
388.00	1147.9
389.00	1268.2
390.00	1389.0
391.00	1588.2
392.00	1739.1
393.00	1873.1
394.00	2005.8
395.00	2187.9
396.00	2365.0
397.00	2380.0
398.00	2182.6
399.00	2013.1
400.00	1821.7
401.00	1685.7
402.00	1511.9
403.00	1453.7
404.00	1429.3
405.00	1408.4
406.00	1358.1
407.00	1409.8
408.00	1549.5
409.00	1694.6
410.00	1864.5
411.00	2097.8
412.00	2456.4
413.00	2749.1
414.00	3098.9
415.00	3604.1
416.00	4021.3
417.00	4404.6
418.00	4636.4
419.00	4688.6
420.00	4654.9
421.00	4475.4
422.00	4168.9
423.00	3804.6
424.00	3454.8
425.00	3068.8
426.00	2807.6
427.00	2472.7
428.00	2272.1
429.00	2120.0
430.00	2047.8
431.00	2021.5
432.00	2103.6
433.00	2285.6
434.00	2461.6
435.00	2736.7
436.00	3129.5
437.00	3560.7
438.00	4080.7
439.00	4709.6
440.00	5511.8
441.00	6372.2
442.00	7215.3
443.00	8143.0
444.00	8753.0
445.00	8972.3
446.00	8853.3
447.00	8306.2
448.00	7562.7
449.00	6727.3
450.00	5829.2
451.00	4958.2
452.00	4166.4
453.00	3459.1
454.00	2827.5
455.00	2404.4
456.00	2029.1
457.00	1906.2
458.00	1837.3
459.00	1781.4
460.00	1861.6
461.00	1813.4
462.00	1972.0
463.00	2145.8
464.00	2336.0
465.00	2702.4
466.00	3080.4
467.00	3612.9
468.00	4104.7
469.00	4510.3
470.00	5205.9
471.00	6128.6
472.00	7366.7
473.00	8544.6
474.00	9480.0
475.00	10000.0
476.00	9793.5
477.00	8803.5
478.00	7569.2
479.00	6093.6
480.00	4757.9
481.00	3648.4
482.00	2750.4
483.00	2076.0
484.00	1508.5
485.00	1226.5
486.00	812.36
487.00	649.48
488.00	598.52
489.00	460.21
490.00	366.93
491.00	340.62
492.00	277.24
493.00	231.43
494.00	271.81
495.00	247.44
496.00	183.38
497.00	143.97
498.00	283.55
499.00	228.42
500.00	184.16
501.00	143.00
502.00	161.25
503.00	187.85
504.00	182.22
505.00	88.646
506.00	178.33
507.00	199.98
508.00	185.61
509.00	160.28
510.00	195.03
511.00	149.60
512.00	230.36
513.00	249.48
514.00	191.53
515.00	164.06
516.00	189.98
517.00	199.88
518.00	224.15
519.00	174.35
520.00	233.47
521.00	109.61
522.00	155.23
523.00	179.40
524.00	206.48
525.00	221.43
526.00	209.39
527.00	108.84
528.00	118.06
529.00	138.73
530.00	86.899
531.00	189.98
532.00	237.35
533.00	120.19
534.00	131.26
535.00	176.00
536.00	169.02
537.00	52.732
538.00	133.59
539.00	214.15
540.00	116.21
541.00	186.49
542.00	214.34
543.00	193.96
544.00	205.51
545.00	187.85
546.00	148.05
547.00	128.25
548.00	162.80
549.00	197.45
550.00	93.111
551.00	154.26
552.00	111.65
553.00	115.44
554.00	162.41
555.00	109.51
556.00	63.409
557.00	119.42
558.00	166.01
559.00	118.35
560.00	126.70
561.00	104.76
562.00	188.33
563.00	64.283
564.00	99.323
565.00	113.30
566.00	109.90
567.00	111.84
568.00	102.53
569.00	124.07
570.00	113.30
571.00	113.69
572.00	73.116
573.00	116.21
574.00	108.45
575.00	101.56
576.00	105.05
577.00	113.59
578.00	90.975
579.00	111.36
580.00	121.16
581.00	113.59
582.00	68.554
583.00	103.50
584.00	143.97
585.00	107.28
586.00	82.822
587.00	133.10
588.00	90.199
589.00	114.08
590.00	125.92
591.00	102.91
592.00	118.74
593.00	111.55
594.00	122.52
595.00	108.64
596.00	89.714
597.00	98.546
598.00	104.86
599.00	98.546
600.00	125.92
601.00	97.576
602.00	104.08
603.00	86.316
604.00	107.09
605.00	106.70
606.00	99.420
607.00	118.44
608.00	101.56
609.00	98.838
610.00	115.44
611.00	91.073
612.00	73.019
613.00	92.626
614.00	110.68
615.00	130.87
616.00	70.980
617.00	81.366
618.00	94.761
619.00	62.536
620.00	104.95
621.00	61.565
622.00	95.829
623.00	80.298
624.00	75.736
625.00	71.271
626.00	97.382
627.00	114.37
628.00	115.05
629.00	114.27
630.00	75.445
631.00	103.40
632.00	126.02
633.00	99.905
634.00	70.107
635.00	112.14
636.00	78.940
637.00	93.208
638.00	81.269
639.00	128.15
640.00	109.61
641.00	170.08
642.00	203.57
643.00	134.46
644.00	165.23
645.00	148.44
646.00	149.51
647.00	125.43
648.00	130.97
649.00	138.73
650.00	162.61
651.00	162.51
652.00	121.07
653.00	101.56
654.00	92.334
655.00	300.05
656.00	66.904
657.00	153.10
658.00	159.02
659.00	105.83
660.00	59.430
661.00	93.208
662.00	102.43
663.00	55.450
664.00	141.74
665.00	138.05
666.00	217.94
667.00	170.28
668.00	122.23
669.00	119.32
670.00	48.558
671.00	84.666
672.00	63.215
673.00	77.095
674.00	100.20
675.00	76.610
676.00	39.046
677.00	93.596
678.00	105.54
679.00	91.170
680.00	77.872
681.00	79.522
682.00	120.48
683.00	46.423
684.00	93.305
685.00	96.120
686.00	91.461
687.00	78.066
688.00	106.41
689.00	126.21
690.00	109.61
691.00	25.651
692.00	95.537
693.00	74.960
694.00	39.726
695.00	63.312
696.00	60.206
697.00	102.43
698.00	89.520
699.00	60.983
700.00	82.046
