Wavelength (nm)	FL095 [11] 21967-41-9, Baicalin [M]
210.00	28403
211.00	28817
212.00	29382
213.00	29833
214.00	30158
215.00	30301
216.00	30187
217.00	29705
218.00	28846
219.00	27602
220.00	26023
221.00	24175
222.00	22319
223.00	20435
224.00	18690
225.00	17062
226.00	15602
227.00	14331
228.00	13211
229.00	12289
230.00	11494
231.00	10860
232.00	10409
233.00	10077
234.00	9867.6
235.00	9767.4
236.00	9735.3
237.00	9770.8
238.00	9846.1
239.00	9945.4
240.00	10063
241.00	10194
242.00	10328
243.00	10447
244.00	10544
245.00	10608
246.00	10624
247.00	10590
248.00	10528
249.00	10455
250.00	10385
251.00	10355
252.00	10381
253.00	10510
254.00	10754
255.00	11099
256.00	11604
257.00	12231
258.00	12948
259.00	13759
260.00	14625
261.00	15537
262.00	16492
263.00	17448
264.00	18420
265.00	19413
266.00	20378
267.00	21295
268.00	22178
269.00	23019
270.00	23737
271.00	24442
272.00	24969
273.00	25494
274.00	25948
275.00	26318
276.00	26587
277.00	26705
278.00	26780
279.00	26705
280.00	26412
281.00	25999
282.00	25493
283.00	24923
284.00	24295
285.00	23606
286.00	22902
287.00	22183
288.00	21427
289.00	20651
290.00	19874
291.00	19077
292.00	18278
293.00	17488
294.00	16759
295.00	16123
296.00	15544
297.00	15091
298.00	14721
299.00	14451
300.00	14282
301.00	14153
302.00	14086
303.00	14091
304.00	14163
305.00	14222
306.00	14290
307.00	14420
308.00	14558
309.00	14686
310.00	14803
311.00	14907
312.00	14989
313.00	15047
314.00	15062
315.00	15041
316.00	14979
317.00	14877
318.00	14729
319.00	14540
320.00	14297
321.00	14059
322.00	13751
323.00	13436
324.00	13081
325.00	12689
326.00	12297
327.00	11893
328.00	11444
329.00	11003
330.00	10555
331.00	10101
332.00	9657.8
333.00	9218.8
334.00	8780.1
335.00	8361.7
336.00	7949.4
337.00	7567.4
338.00	7194.2
339.00	6840.9
340.00	6511.5
341.00	6209.4
342.00	5922.7
343.00	5655.4
344.00	5413.6
345.00	5191.4
346.00	4981.4
347.00	4789.8
348.00	4604.1
349.00	4456.0
350.00	4303.9
351.00	4167.7
352.00	4052.6
353.00	3923.6
354.00	3812.1
355.00	3705.9
356.00	3613.6
357.00	3537.4
358.00	3456.8
359.00	3370.4
360.00	3281.2
361.00	3202.7
362.00	3109.9
363.00	3032.7
364.00	2955.7
365.00	2865.6
366.00	2801.1
367.00	2735.3
368.00	2652.4
369.00	2568.4
370.00	2521.0
371.00	2447.8
372.00	2364.7
373.00	2310.8
374.00	2236.9
375.00	2172.5
376.00	2100.6
377.00	2034.3
378.00	1954.7
379.00	1895.9
380.00	1840.7
381.00	1794.7
382.00	1726.1
383.00	1651.6
384.00	1593.1
385.00	1551.9
386.00	1495.3
387.00	1437.5
388.00	1374.4
389.00	1320.3
390.00	1274.7
391.00	1216.2
392.00	1164.1
393.00	1112.9
394.00	1071.7
395.00	1033.0
396.00	972.21
397.00	926.41
398.00	885.67
399.00	845.38
400.00	806.11
401.00	775.33
402.00	732.89
403.00	698.89
404.00	679.44
405.00	642.29
406.00	608.29
407.00	574.83
408.00	545.23
409.00	512.89
410.00	496.18
411.00	484.90
412.00	441.78
413.00	416.84
414.00	391.95
415.00	384.34
416.00	370.41
417.00	346.29
418.00	322.82
419.00	302.53
420.00	279.60
421.00	271.50
422.00	262.18
423.00	245.63
424.00	223.00
425.00	217.05
426.00	206.22
427.00	197.78
428.00	184.29
429.00	171.49
430.00	170.75
431.00	147.90
432.00	141.92
433.00	130.31
434.00	129.18
435.00	133.02
436.00	127.49
437.00	121.25
438.00	108.69
439.00	106.63
440.00	97.928
441.00	92.751
442.00	84.679
443.00	68.358
444.00	78.645
445.00	77.205
446.00	74.745
447.00	75.520
448.00	69.717
449.00	72.313
450.00	64.281
451.00	73.780
452.00	66.320
453.00	59.267
454.00	58.166
455.00	54.266
456.00	54.578
457.00	54.021
458.00	53.885
459.00	60.245
460.00	61.509
461.00	51.765
462.00	55.312
463.00	49.877
464.00	44.319
465.00	43.911
466.00	31.517
467.00	41.601
468.00	52.730
469.00	37.306
470.00	56.250
471.00	64.934
472.00	63.194
473.00	53.328
474.00	27.577
475.00	54.198
476.00	41.016
477.00	38.856
478.00	46.996
479.00	60.870
480.00	60.232
481.00	51.711
482.00	57.541
483.00	22.739
484.00	8.8097
485.00	16.678
486.00	25.959
487.00	24.261
488.00	42.892
489.00	32.700
490.00	19.899
491.00	37.103
492.00	41.152
493.00	53.654
494.00	32.876
495.00	48.830
496.00	56.440
497.00	42.348
498.00	21.094
499.00	14.585
500.00	10.019
