Wavelength (nm)	A09 abs1 e
245.00	48.149
246.00	47.183
247.00	47.820
248.00	50.225
249.00	54.972
250.00	60.431
251.00	65.099
252.00	70.491
253.00	78.044
254.00	85.580
255.00	90.970
256.00	97.390
257.00	107.49
258.00	118.26
259.00	126.20
260.00	134.19
261.00	146.37
262.00	156.83
263.00	160.47
264.00	162.45
265.00	171.24
266.00	183.11
267.00	190.03
268.00	194.74
269.00	203.40
270.00	212.98
271.00	214.00
272.00	202.03
273.00	185.75
274.00	180.32
275.00	180.44
276.00	168.37
277.00	148.54
278.00	138.52
279.00	137.65
280.00	128.63
281.00	107.79
282.00	84.046
283.00	63.261
284.00	47.407
285.00	36.708
286.00	29.233
287.00	22.552
288.00	16.420
289.00	11.311
290.00	7.7226
291.00	5.2586
292.00	3.6485
293.00	2.5080
294.00	1.7177
295.00	1.2246
296.00	0.88241
297.00	0.56980
298.00	0.40057
299.00	0.27720
300.00	0.14877
