Wavelength (nm)	A38 abs e
215.00	6297.7
216.00	6282.1
217.00	6348.5
218.00	6463.9
219.00	6590.3
220.00	6744.8
221.00	6874.5
222.00	6987.6
223.00	7070.4
224.00	7108.6
225.00	7110.3
226.00	7071.7
227.00	6998.9
228.00	6896.4
229.00	6766.8
230.00	6595.9
231.00	6396.2
232.00	6174.3
233.00	5934.8
234.00	5691.3
235.00	5441.5
236.00	5184.7
237.00	4911.3
238.00	4589.0
239.00	4236.2
240.00	3859.7
241.00	3481.7
242.00	3135.8
243.00	2817.8
244.00	2528.8
245.00	2278.5
246.00	2054.9
247.00	1859.6
248.00	1696.2
249.00	1551.8
250.00	1418.3
251.00	1303.8
252.00	1207.6
253.00	1122.4
254.00	1059.8
255.00	996.80
256.00	937.98
257.00	890.33
258.00	853.07
259.00	825.14
260.00	810.85
261.00	802.77
262.00	794.81
263.00	794.86
264.00	805.61
265.00	822.53
266.00	841.86
267.00	864.32
268.00	887.84
269.00	913.53
270.00	942.81
271.00	976.39
272.00	1012.1
273.00	1042.3
274.00	1063.8
275.00	1068.3
276.00	1054.1
277.00	1028.2
278.00	1001.7
279.00	980.86
280.00	967.79
281.00	956.80
282.00	934.64
283.00	887.96
284.00	806.70
285.00	700.20
286.00	585.88
287.00	473.46
288.00	371.91
289.00	285.45
290.00	211.86
291.00	155.84
292.00	113.35
293.00	81.841
294.00	58.363
295.00	41.899
296.00	29.751
297.00	21.807
298.00	17.058
299.00	11.520
300.00	9.6254
