Wavelength (nm)	JPP 2016_388, Zn(YCC-Me)2 ems [Z]
490.00	0.021873
491.00	0.024183
492.00	0.026493
493.00	0.028803
494.00	0.032775
495.00	0.039702
496.00	0.046630
497.00	0.053557
498.00	0.062856
499.00	0.072675
500.00	0.082494
501.00	0.092313
502.00	0.10601
503.00	0.12218
504.00	0.13834
505.00	0.15451
506.00	0.17284
507.00	0.20036
508.00	0.22788
509.00	0.25540
510.00	0.28293
511.00	0.31194
512.00	0.34142
513.00	0.37091
514.00	0.40039
515.00	0.43174
516.00	0.46669
517.00	0.50165
518.00	0.53661
519.00	0.57156
520.00	0.60548
521.00	0.63893
522.00	0.67238
523.00	0.70582
524.00	0.73958
525.00	0.77415
526.00	0.80872
527.00	0.83789
528.00	0.86707
529.00	0.89624
530.00	0.91556
531.00	0.93437
532.00	0.95317
533.00	0.97197
534.00	0.97944
535.00	0.98692
536.00	0.99439
537.00	0.99720
538.00	1.0000
539.00	0.99720
540.00	0.99439
541.00	0.98383
542.00	0.97327
543.00	0.96271
544.00	0.95215
545.00	0.94159
546.00	0.92922
547.00	0.91364
548.00	0.89806
549.00	0.88247
550.00	0.86689
551.00	0.85131
552.00	0.83579
553.00	0.82035
554.00	0.80492
555.00	0.78949
556.00	0.77405
557.00	0.75862
558.00	0.74319
559.00	0.72776
560.00	0.71232
561.00	0.69689
562.00	0.68164
563.00	0.66710
564.00	0.65255
565.00	0.63800
566.00	0.62345
567.00	0.60890
568.00	0.59435
569.00	0.57980
570.00	0.56525
571.00	0.55070
572.00	0.53615
573.00	0.52160
574.00	0.50850
575.00	0.49602
576.00	0.48353
577.00	0.47105
578.00	0.45856
579.00	0.44608
580.00	0.43360
581.00	0.42111
582.00	0.40863
583.00	0.39614
584.00	0.38366
585.00	0.37117
586.00	0.35998
587.00	0.34883
588.00	0.33769
589.00	0.32654
590.00	0.31539
591.00	0.30424
592.00	0.29309
593.00	0.28194
594.00	0.27079
595.00	0.26036
596.00	0.25237
597.00	0.24437
598.00	0.23638
599.00	0.22838
600.00	0.22039
601.00	0.21239
602.00	0.20440
603.00	0.19640
604.00	0.18841
605.00	0.18226
606.00	0.17622
607.00	0.17018
608.00	0.16415
609.00	0.15811
610.00	0.15207
611.00	0.14604
612.00	0.14087
613.00	0.13585
614.00	0.13083
615.00	0.12581
616.00	0.12079
617.00	0.11577
618.00	0.11129
619.00	0.10751
620.00	0.10372
621.00	0.099938
622.00	0.096153
623.00	0.092368
624.00	0.088582
625.00	0.084797
626.00	0.081012
627.00	0.077730
628.00	0.075304
629.00	0.072879
630.00	0.070453
631.00	0.068028
632.00	0.065603
633.00	0.063177
634.00	0.060752
635.00	0.058327
636.00	0.055901
637.00	0.053476
638.00	0.051744
639.00	0.050033
640.00	0.048323
641.00	0.046612
642.00	0.044902
643.00	0.043191
644.00	0.041481
645.00	0.039770
646.00	0.038060
647.00	0.036349
648.00	0.034639
649.00	0.033213
650.00	0.031814
651.00	0.030416
652.00	0.029018
653.00	0.027619
654.00	0.026221
655.00	0.024823
656.00	0.023424
657.00	0.022026
658.00	0.020805
659.00	0.019860
660.00	0.018915
661.00	0.017971
662.00	0.017026
663.00	0.016082
664.00	0.015137
665.00	0.014192
666.00	0.013248
667.00	0.012303
668.00	0.011359
669.00	0.010414
670.00	0.0094694
671.00	0.0089820
672.00	0.0086236
673.00	0.0082652
674.00	0.0079069
675.00	0.0075485
676.00	0.0071901
677.00	0.0068317
678.00	0.0064733
679.00	0.0061149
680.00	0.0057565
681.00	0.0053981
682.00	0.0050497
683.00	0.0048913
684.00	0.0047330
685.00	0.0045747
686.00	0.0044163
687.00	0.0042580
688.00	0.0040996
689.00	0.0039413
690.00	0.0037830
691.00	0.0036258
692.00	0.0034735
693.00	0.0033212
694.00	0.0031689
695.00	0.0030165
696.00	0.0028642
697.00	0.0027119
698.00	0.0025596
699.00	0.0024072
700.00	0.0022549
