Wavelength (nm)	Angew 2016_15760, Z1-Me (Tol) ems [Z]
500.00	0.0024601
501.00	0.0024601
502.00	0.0024601
503.00	0.0024601
504.00	0.0024601
505.00	0.0024601
506.00	0.0024601
507.00	0.0024601
508.00	0.0024601
509.00	0.0024601
510.00	0.0024601
511.00	0.0024601
512.00	0.0024601
513.00	0.0024601
514.00	0.0024601
515.00	0.0024601
516.00	0.0024601
517.00	0.0024601
518.00	0.0024601
519.00	0.0024601
520.00	0.0024601
521.00	0.0024601
522.00	0.0024601
523.00	0.0024601
524.00	0.0024601
525.00	0.0024601
526.00	0.0024601
527.00	0.0024601
528.00	0.0024601
529.00	0.0026527
530.00	0.0030028
531.00	0.0033529
532.00	0.0037030
533.00	0.0040531
534.00	0.0044032
535.00	0.0047533
536.00	0.0051034
537.00	0.0054535
538.00	0.0058036
539.00	0.0061537
540.00	0.0066299
541.00	0.0071901
542.00	0.0077503
543.00	0.0083105
544.00	0.0088707
545.00	0.0094309
546.00	0.0099911
547.00	0.010551
548.00	0.011112
549.00	0.011672
550.00	0.012232
551.00	0.013574
552.00	0.015336
553.00	0.017099
554.00	0.018862
555.00	0.020624
556.00	0.022387
557.00	0.024150
558.00	0.027486
559.00	0.031529
560.00	0.035572
561.00	0.039615
562.00	0.043658
563.00	0.048919
564.00	0.056166
565.00	0.063414
566.00	0.070661
567.00	0.077908
568.00	0.085155
569.00	0.092403
570.00	0.099899
571.00	0.11026
572.00	0.12062
573.00	0.13098
574.00	0.14135
575.00	0.15171
576.00	0.16207
577.00	0.17243
578.00	0.18279
579.00	0.19315
580.00	0.20442
581.00	0.21675
582.00	0.22908
583.00	0.24141
584.00	0.25374
585.00	0.26607
586.00	0.27840
587.00	0.29073
588.00	0.30306
589.00	0.31539
590.00	0.32883
591.00	0.34333
592.00	0.35784
593.00	0.37234
594.00	0.38685
595.00	0.40135
596.00	0.41585
597.00	0.43036
598.00	0.44486
599.00	0.45937
600.00	0.47387
601.00	0.48838
602.00	0.50288
603.00	0.51738
604.00	0.53189
605.00	0.54340
606.00	0.55464
607.00	0.56589
608.00	0.57714
609.00	0.58838
610.00	0.59963
611.00	0.61088
612.00	0.62212
613.00	0.63337
614.00	0.64461
615.00	0.65586
616.00	0.66711
617.00	0.67835
618.00	0.68960
619.00	0.70085
620.00	0.71141
621.00	0.72197
622.00	0.73252
623.00	0.74308
624.00	0.75364
625.00	0.76419
626.00	0.77475
627.00	0.78530
628.00	0.79586
629.00	0.80642
630.00	0.81697
631.00	0.82753
632.00	0.83808
633.00	0.84864
634.00	0.85862
635.00	0.86771
636.00	0.87680
637.00	0.88589
638.00	0.89498
639.00	0.90206
640.00	0.90846
641.00	0.91487
642.00	0.92128
643.00	0.92768
644.00	0.93409
645.00	0.94050
646.00	0.94605
647.00	0.95056
648.00	0.95507
649.00	0.95958
650.00	0.96410
651.00	0.96861
652.00	0.97312
653.00	0.97643
654.00	0.97947
655.00	0.98252
656.00	0.98556
657.00	0.98861
658.00	0.99165
659.00	0.99470
660.00	0.99652
661.00	0.99722
662.00	0.99791
663.00	0.99861
664.00	0.99930
665.00	1.0000
666.00	0.99861
667.00	0.99721
668.00	0.99582
669.00	0.99442
670.00	0.99303
671.00	0.98926
672.00	0.98313
673.00	0.97699
674.00	0.97086
675.00	0.96472
676.00	0.95859
677.00	0.95142
678.00	0.94424
679.00	0.93707
680.00	0.92990
681.00	0.92273
682.00	0.91555
683.00	0.90838
684.00	0.90121
685.00	0.89404
686.00	0.88686
687.00	0.87969
688.00	0.86990
689.00	0.86008
690.00	0.85026
691.00	0.84044
692.00	0.83062
693.00	0.82080
694.00	0.81098
695.00	0.80116
696.00	0.79135
697.00	0.78153
698.00	0.77201
699.00	0.76300
700.00	0.75400
701.00	0.74499
702.00	0.73598
703.00	0.72698
704.00	0.71797
705.00	0.70896
706.00	0.69996
707.00	0.69095
708.00	0.68194
709.00	0.67294
710.00	0.66393
711.00	0.65493
712.00	0.64592
713.00	0.63691
714.00	0.62882
715.00	0.62184
716.00	0.61486
717.00	0.60788
718.00	0.60090
719.00	0.59392
720.00	0.58694
721.00	0.57997
722.00	0.57299
723.00	0.56601
724.00	0.55903
725.00	0.55205
726.00	0.54507
727.00	0.53809
728.00	0.53111
729.00	0.52413
730.00	0.51705
731.00	0.50951
732.00	0.50196
733.00	0.49442
734.00	0.48688
735.00	0.47934
736.00	0.47180
737.00	0.46426
738.00	0.45671
739.00	0.44917
740.00	0.44163
741.00	0.43409
742.00	0.42655
743.00	0.41901
744.00	0.41146
745.00	0.40392
746.00	0.39738
747.00	0.39090
748.00	0.38441
749.00	0.37793
750.00	0.37145
751.00	0.36497
752.00	0.35849
753.00	0.35201
754.00	0.34552
755.00	0.33904
756.00	0.33256
757.00	0.32608
758.00	0.31960
759.00	0.31312
760.00	0.30663
761.00	0.30118
762.00	0.29620
763.00	0.29123
764.00	0.28625
765.00	0.28128
766.00	0.27631
767.00	0.27133
768.00	0.26636
769.00	0.26138
770.00	0.25641
771.00	0.25143
772.00	0.24646
773.00	0.24148
774.00	0.23651
775.00	0.23154
776.00	0.22729
777.00	0.22405
778.00	0.22082
779.00	0.21758
780.00	0.21435
781.00	0.21111
782.00	0.20787
783.00	0.20464
784.00	0.20140
785.00	0.19817
786.00	0.19483
787.00	0.19139
788.00	0.18794
789.00	0.18450
790.00	0.18105
791.00	0.17761
792.00	0.17416
793.00	0.17072
794.00	0.16728
795.00	0.16383
796.00	0.16039
797.00	0.15694
798.00	0.15350
799.00	0.15005
800.00	0.14661
