Wavelength (nm)	Angew 2016_15760, Z1-Me (Tol) abs [Z]
300.00	0.59893
301.00	0.61049
302.00	0.62294
303.00	0.63628
304.00	0.64962
305.00	0.66297
306.00	0.67976
307.00	0.69694
308.00	0.71412
309.00	0.73357
310.00	0.75805
311.00	0.78252
312.00	0.80700
313.00	0.83148
314.00	0.85091
315.00	0.86973
316.00	0.88854
317.00	0.90736
318.00	0.92639
319.00	0.94515
320.00	0.96094
321.00	0.97672
322.00	0.98868
323.00	0.99253
324.00	0.99399
325.00	0.99546
326.00	0.99311
327.00	0.99045
328.00	0.98279
329.00	0.97388
330.00	0.96316
331.00	0.95245
332.00	0.94174
333.00	0.92804
334.00	0.91179
335.00	0.89555
336.00	0.87930
337.00	0.86306
338.00	0.84047
339.00	0.81291
340.00	0.78535
341.00	0.75778
342.00	0.72346
343.00	0.68609
344.00	0.64872
345.00	0.59464
346.00	0.53931
347.00	0.48397
348.00	0.43598
349.00	0.40288
350.00	0.36978
351.00	0.33669
352.00	0.29631
353.00	0.25516
354.00	0.23464
355.00	0.21412
356.00	0.19666
357.00	0.18568
358.00	0.17471
359.00	0.16374
360.00	0.15644
361.00	0.15365
362.00	0.15085
363.00	0.14805
364.00	0.14526
365.00	0.14331
366.00	0.14165
367.00	0.13998
368.00	0.14128
369.00	0.14379
370.00	0.14630
371.00	0.14881
372.00	0.15234
373.00	0.15850
374.00	0.16465
375.00	0.17114
376.00	0.17868
377.00	0.18621
378.00	0.19375
379.00	0.20129
380.00	0.20882
381.00	0.21636
382.00	0.22598
383.00	0.23982
384.00	0.25366
385.00	0.26750
386.00	0.28133
387.00	0.29506
388.00	0.30877
389.00	0.32248
390.00	0.33619
391.00	0.34991
392.00	0.36362
393.00	0.37733
394.00	0.39393
395.00	0.41165
396.00	0.42937
397.00	0.44709
398.00	0.46481
399.00	0.48406
400.00	0.50503
401.00	0.52600
402.00	0.54697
403.00	0.56794
404.00	0.58891
405.00	0.60846
406.00	0.62729
407.00	0.64612
408.00	0.66494
409.00	0.68377
410.00	0.70544
411.00	0.72723
412.00	0.74902
413.00	0.77081
414.00	0.79259
415.00	0.81623
416.00	0.84108
417.00	0.86594
418.00	0.89080
419.00	0.91102
420.00	0.93125
421.00	0.95147
422.00	0.97014
423.00	0.98881
424.00	0.99727
425.00	0.99864
426.00	1.0000
427.00	0.99644
