Wavelength (nm)	G05 abs e
240.00	8608.3
241.00	7354.7
242.00	7023.9
243.00	7322.1
244.00	7721.2
245.00	8327.2
246.00	9088.7
247.00	9976.7
248.00	10948
249.00	11921
250.00	12906
251.00	13827
252.00	14695
253.00	15559
254.00	16489
255.00	17549
256.00	18768
257.00	20113
258.00	21493
259.00	22791
260.00	23790
261.00	24423
262.00	24578
263.00	24450
264.00	24108
265.00	23795
266.00	23661
267.00	23788
268.00	24105
269.00	24428
270.00	24500
271.00	24141
272.00	23139
273.00	21404
274.00	18986
275.00	16107
276.00	13079
277.00	10172
278.00	7631.4
279.00	5544.0
280.00	3935.6
281.00	2751.9
282.00	1917.6
283.00	1349.5
284.00	968.05
285.00	718.91
286.00	554.75
287.00	452.67
288.00	382.37
289.00	334.21
290.00	297.41
291.00	273.63
292.00	258.88
293.00	247.56
294.00	229.82
295.00	222.46
296.00	211.60
297.00	202.30
298.00	200.22
299.00	197.37
300.00	193.16
301.00	193.33
302.00	190.81
303.00	186.32
304.00	185.51
305.00	192.72
306.00	194.42
307.00	200.20
308.00	201.78
309.00	205.29
310.00	206.27
311.00	209.74
312.00	210.05
313.00	213.38
314.00	222.52
315.00	225.60
316.00	229.45
317.00	233.93
318.00	238.14
319.00	240.16
320.00	246.57
321.00	248.14
322.00	260.31
323.00	264.38
324.00	264.60
325.00	266.83
326.00	275.56
327.00	271.32
328.00	277.36
329.00	282.54
330.00	283.76
331.00	285.34
332.00	287.70
333.00	291.80
334.00	296.67
335.00	300.10
336.00	299.09
337.00	299.41
338.00	299.07
339.00	299.21
340.00	303.27
341.00	302.52
342.00	302.21
343.00	300.30
344.00	296.87
345.00	301.45
346.00	300.41
347.00	294.57
348.00	292.70
349.00	290.69
350.00	288.57
351.00	281.82
352.00	283.62
353.00	283.48
354.00	274.57
355.00	269.64
356.00	266.38
357.00	257.02
358.00	254.35
359.00	252.42
360.00	254.22
361.00	250.45
362.00	235.54
363.00	230.64
364.00	231.32
365.00	221.78
366.00	216.06
367.00	211.67
368.00	204.58
369.00	202.64
370.00	192.64
371.00	184.80
372.00	174.84
373.00	170.36
374.00	167.26
375.00	161.87
376.00	159.45
377.00	162.67
378.00	150.89
379.00	155.07
380.00	148.62
381.00	138.58
382.00	126.92
383.00	131.29
384.00	128.40
385.00	122.40
386.00	108.58
387.00	103.15
388.00	110.35
389.00	104.85
390.00	103.86
391.00	112.89
392.00	111.80
393.00	99.299
394.00	90.641
395.00	86.702
396.00	82.508
397.00	75.777
398.00	87.056
399.00	85.313
400.00	72.829
401.00	72.730
402.00	79.674
403.00	78.087
404.00	78.852
405.00	84.676
406.00	79.064
407.00	73.495
408.00	76.060
409.00	73.283
410.00	67.913
411.00	67.728
412.00	66.113
413.00	68.550
414.00	59.878
415.00	58.730
416.00	56.378
417.00	54.281
418.00	52.000
419.00	46.077
420.00	50.937
421.00	55.486
422.00	51.773
423.00	50.243
424.00	47.465
425.00	36.172
426.00	45.822
427.00	39.431
428.00	58.830
429.00	45.212
430.00	51.830
431.00	43.852
432.00	33.111
433.00	24.468
434.00	41.755
435.00	40.692
436.00	40.097
437.00	40.253
438.00	32.644
439.00	26.933
440.00	32.955
441.00	39.884
442.00	35.775
443.00	27.217
444.00	20.996
445.00	30.079
446.00	17.723
447.00	15.966
448.00	22.399
449.00	26.097
450.00	23.235
451.00	17.468
452.00	11.006
453.00	9.4759
454.00	10.014
455.00	21.095
456.00	12.140
457.00	8.3848
458.00	16.377
459.00	21.945
460.00	12.792
461.00	12.948
462.00	5.2533
463.00	18.498
464.00	7.3504
465.00	9.2492
466.00	11.332
467.00	7.0812
468.00	13.684
469.00	15.908
470.00	9.3853
471.00	11.984
472.00	12.494
473.00	20.514
474.00	18.587
475.00	8.9658
476.00	16.802
477.00	11.020
478.00	27.735
479.00	25.261
480.00	19.026
481.00	9.1642
482.00	8.8241
483.00	14.053
484.00	16.901
485.00	29.152
486.00	22.781
487.00	4.7290
488.00	12.008
489.00	6.8071
490.00	15.059
491.00	8.7957
492.00	11.176
493.00	15.328
494.00	15.144
495.00	3.8646
496.00	8.5123
497.00	9.7735
498.00	9.9010
499.00	19.494
500.00	16.345
