Wavelength (nm)	Fe(II) UroP I (in 0.1 M MOPS).abs
645.00	0.0026284
646.00	0.0026854
647.00	0.0024332
648.00	0.0023884
649.00	0.0022789
650.00	0.0022020
651.00	0.0021884
652.00	0.0021221
653.00	0.0021223
654.00	0.0018531
655.00	0.0024399
656.00	0.0025172
657.00	0.0023984
658.00	0.0019383
659.00	0.0019326
660.00	0.0020845
661.00	0.0020151
662.00	0.0020640
663.00	0.0019581
664.00	0.0019352
665.00	0.0019053
666.00	0.0018355
667.00	0.0020127
668.00	0.0018937
669.00	0.0019431
670.00	0.0018697
671.00	0.0018956
672.00	0.0018711
673.00	0.0018898
674.00	0.0017646
675.00	0.0017866
676.00	0.0018417
677.00	0.0018437
678.00	0.0019008
679.00	0.0017611
680.00	0.0018427
681.00	0.0018891
682.00	0.0018160
683.00	0.0019688
684.00	0.0018043
685.00	0.0018998
686.00	0.0018498
687.00	0.0017871
688.00	0.0018155
689.00	0.0018520
690.00	0.0018172
691.00	0.0017460
692.00	0.0019053
693.00	0.0019194
694.00	0.0017416
695.00	0.0017357
696.00	0.0017885
697.00	0.0018410
698.00	0.0018478
699.00	0.0017542
700.00	0.0016953
