Wavelength (nm)	19, Cj-PrB, CJPRB
220.00	0.20990
221.00	0.23986
222.00	0.26982
223.00	0.29017
224.00	0.31051
225.00	0.32364
226.00	0.33676
227.00	0.34274
228.00	0.34872
229.00	0.35096
230.00	0.35319
231.00	0.35144
232.00	0.34968
233.00	0.34517
234.00	0.34066
235.00	0.33542
236.00	0.33017
237.00	0.32445
238.00	0.31872
239.00	0.31325
240.00	0.30778
241.00	0.30289
242.00	0.29799
243.00	0.29369
244.00	0.28939
245.00	0.28664
246.00	0.28388
247.00	0.28205
248.00	0.28021
249.00	0.27950
250.00	0.27879
251.00	0.27941
252.00	0.28003
253.00	0.28195
254.00	0.28386
255.00	0.28604
256.00	0.28822
257.00	0.29081
258.00	0.29340
259.00	0.29672
260.00	0.30003
261.00	0.30291
262.00	0.30578
263.00	0.30849
264.00	0.31121
265.00	0.31468
266.00	0.31815
267.00	0.32073
268.00	0.32332
269.00	0.32572
270.00	0.32813
271.00	0.33050
272.00	0.33287
273.00	0.33512
274.00	0.33738
275.00	0.34055
276.00	0.34372
277.00	0.34700
278.00	0.35027
279.00	0.35411
280.00	0.35796
281.00	0.36267
282.00	0.36737
283.00	0.37302
284.00	0.37867
285.00	0.38543
286.00	0.39220
287.00	0.40006
288.00	0.40793
289.00	0.41725
290.00	0.42658
291.00	0.43722
292.00	0.44786
293.00	0.46065
294.00	0.47344
295.00	0.48728
296.00	0.50113
297.00	0.51571
298.00	0.53030
299.00	0.54498
300.00	0.55965
301.00	0.57452
302.00	0.58939
303.00	0.60412
304.00	0.61885
305.00	0.63161
306.00	0.64436
307.00	0.65616
308.00	0.66796
309.00	0.67714
310.00	0.68632
311.00	0.69188
312.00	0.69744
313.00	0.69958
314.00	0.70172
315.00	0.69970
316.00	0.69769
317.00	0.69207
318.00	0.68646
319.00	0.67713
320.00	0.66779
321.00	0.65684
322.00	0.64588
323.00	0.63267
324.00	0.61947
325.00	0.60459
326.00	0.58972
327.00	0.57407
328.00	0.55842
329.00	0.54314
330.00	0.52786
331.00	0.51277
332.00	0.49768
333.00	0.48373
334.00	0.46977
335.00	0.45601
336.00	0.44224
337.00	0.42891
338.00	0.41559
339.00	0.40469
340.00	0.39379
341.00	0.38111
342.00	0.36843
343.00	0.35744
344.00	0.34644
345.00	0.33661
346.00	0.32677
347.00	0.31742
348.00	0.30807
349.00	0.29899
350.00	0.28991
351.00	0.28034
352.00	0.27077
353.00	0.26020
354.00	0.24962
355.00	0.23780
356.00	0.22597
357.00	0.21391
358.00	0.20185
359.00	0.19053
360.00	0.17920
361.00	0.16788
362.00	0.15655
363.00	0.14610
364.00	0.13565
365.00	0.12631
366.00	0.11696
367.00	0.10959
368.00	0.10222
369.00	0.096299
370.00	0.090373
371.00	0.086268
372.00	0.082162
373.00	0.078479
374.00	0.074796
375.00	0.072597
376.00	0.070398
377.00	0.068583
378.00	0.066768
379.00	0.066388
380.00	0.066008
381.00	0.065059
382.00	0.064110
383.00	0.063911
384.00	0.063712
385.00	0.063428
386.00	0.063145
387.00	0.063648
388.00	0.064150
389.00	0.064602
390.00	0.065053
391.00	0.065609
392.00	0.066165
393.00	0.067159
394.00	0.068153
395.00	0.069321
396.00	0.070489
397.00	0.071371
398.00	0.072251
399.00	0.073299
400.00	0.074346
401.00	0.076307
402.00	0.078269
403.00	0.079972
404.00	0.081676
405.00	0.083723
406.00	0.085770
407.00	0.087986
408.00	0.090201
409.00	0.092740
410.00	0.095279
411.00	0.098010
412.00	0.10074
413.00	0.10366
414.00	0.10658
415.00	0.11011
416.00	0.11363
417.00	0.11731
418.00	0.12099
419.00	0.12441
420.00	0.12784
421.00	0.13213
422.00	0.13641
423.00	0.14111
424.00	0.14581
425.00	0.14994
426.00	0.15406
427.00	0.15949
428.00	0.16492
429.00	0.17032
430.00	0.17572
431.00	0.18098
432.00	0.18623
433.00	0.19216
434.00	0.19808
435.00	0.20434
436.00	0.21060
437.00	0.21734
438.00	0.22408
439.00	0.23153
440.00	0.23898
441.00	0.24690
442.00	0.25483
443.00	0.26294
444.00	0.27105
445.00	0.27936
446.00	0.28766
447.00	0.29753
448.00	0.30739
449.00	0.31757
450.00	0.32774
451.00	0.33734
452.00	0.34694
453.00	0.35724
454.00	0.36754
455.00	0.37778
456.00	0.38801
457.00	0.39798
458.00	0.40796
459.00	0.41810
460.00	0.42824
461.00	0.43853
462.00	0.44881
463.00	0.45937
464.00	0.46992
465.00	0.48082
466.00	0.49172
467.00	0.50261
468.00	0.51350
469.00	0.52590
470.00	0.53829
471.00	0.55183
472.00	0.56536
473.00	0.57932
474.00	0.59327
475.00	0.60792
476.00	0.62257
477.00	0.63760
478.00	0.65264
479.00	0.66788
480.00	0.68312
481.00	0.69935
482.00	0.71557
483.00	0.73207
484.00	0.74857
485.00	0.76058
486.00	0.77259
487.00	0.78382
488.00	0.79506
489.00	0.80685
490.00	0.81864
491.00	0.82908
492.00	0.83953
493.00	0.84686
494.00	0.85419
495.00	0.86004
496.00	0.86589
497.00	0.87059
498.00	0.87529
499.00	0.87921
500.00	0.88314
501.00	0.88638
502.00	0.88961
503.00	0.89330
504.00	0.89698
505.00	0.90121
506.00	0.90543
507.00	0.91015
508.00	0.91487
509.00	0.92077
510.00	0.92667
511.00	0.93292
512.00	0.93917
513.00	0.94600
514.00	0.95284
515.00	0.95988
516.00	0.96691
517.00	0.97361
518.00	0.98031
519.00	0.98611
520.00	0.99192
521.00	0.99503
522.00	0.99815
523.00	0.99908
524.00	1.0000
525.00	0.99812
526.00	0.99624
527.00	0.99042
528.00	0.98460
529.00	0.97579
530.00	0.96698
531.00	0.95437
532.00	0.94176
533.00	0.92587
534.00	0.90997
535.00	0.89262
536.00	0.87527
537.00	0.85497
538.00	0.83467
539.00	0.81258
540.00	0.79049
541.00	0.76777
542.00	0.74505
543.00	0.72172
544.00	0.69840
545.00	0.67451
546.00	0.65061
547.00	0.62778
548.00	0.60495
549.00	0.58162
550.00	0.55830
551.00	0.53589
552.00	0.51348
553.00	0.49169
554.00	0.46991
555.00	0.44930
556.00	0.42870
557.00	0.40864
558.00	0.38858
559.00	0.36902
560.00	0.34945
561.00	0.33196
562.00	0.31448
563.00	0.29756
564.00	0.28064
565.00	0.26442
566.00	0.24819
567.00	0.23155
568.00	0.21490
569.00	0.20058
570.00	0.18626
571.00	0.17399
572.00	0.16172
573.00	0.15074
574.00	0.13976
575.00	0.12946
576.00	0.11916
577.00	0.11111
578.00	0.10307
579.00	0.094297
580.00	0.085525
581.00	0.080554
582.00	0.075582
583.00	0.069868
584.00	0.064154
585.00	0.059537
586.00	0.054920
587.00	0.051496
588.00	0.048073
589.00	0.044910
590.00	0.041748
591.00	0.037860
592.00	0.033973
593.00	0.031264
594.00	0.028555
595.00	0.026709
596.00	0.024862
597.00	0.022735
598.00	0.020607
599.00	0.018904
600.00	0.017200
601.00	0.015593
602.00	0.013987
603.00	0.013182
604.00	0.012378
605.00	0.011799
606.00	0.011219
607.00	0.010565
608.00	0.0099106
609.00	0.0091667
610.00	0.0084227
611.00	0.0080370
612.00	0.0076514
613.00	0.0071377
614.00	0.0066241
615.00	0.0067301
616.00	0.0068361
617.00	0.0071505
618.00	0.0074649
619.00	0.0078597
620.00	0.0082546
621.00	0.0079639
622.00	0.0076733
623.00	0.0075179
624.00	0.0073626
625.00	0.0069769
626.00	0.0065912
627.00	0.0067027
628.00	0.0068142
629.00	0.0067466
630.00	0.0066789
631.00	0.0066936
632.00	0.0067082
633.00	0.0070080
634.00	0.0073077
635.00	0.0067795
636.00	0.0062512
637.00	0.0061160
638.00	0.0059807
639.00	0.0064029
640.00	0.0068252
641.00	0.0071780
642.00	0.0075307
643.00	0.0074960
644.00	0.0074613
645.00	0.0074686
646.00	0.0074759
647.00	0.0069842
648.00	0.0064925
649.00	0.0060684
650.00	0.0056444
651.00	0.0057943
652.00	0.0059441
653.00	0.0062130
654.00	0.0079225
655.00	0.0065503
656.00	0.0082447
657.00	0.0033766
658.00	0.0061747
659.00	0.0040287
660.00	0.0053994
661.00	0.0069915
662.00	0.0039836
