Wavelength (nm)	O10 abs e
250.83	9960.8
252.20	9828.0
253.85	9562.4
255.63	9193.5
257.00	8780.3
259.34	8249.1
261.26	7747.3
263.32	7216.1
265.37	6758.6
267.30	6374.9
268.94	6050.3
271.00	5769.9
272.92	5460.0
274.57	5356.7
276.49	5194.4
278.00	5017.3
280.33	5017.3
281.71	4973.0
283.08	4810.7
284.45	4648.4
285.96	4574.6
286.65	4368.0
288.16	4338.5
288.84	4176.2
290.21	4058.1
291.17	3940.1
292.68	3954.8
293.37	3763.0
294.06	3556.4
295.57	3556.4
296.66	3467.9
297.76	3305.5
298.88	3067.0
300.03	2907.1
301.17	2993.2
301.74	2833.3
303.23	2870.2
303.57	2661.1
305.06	2538.2
306.20	2452.1
307.57	2329.1
308.95	2353.7
309.52	2206.1
309.98	2095.5
311.12	2157.0
312.15	2193.8
313.29	2095.5
314.44	1997.1
315.12	1874.1
315.58	1763.4
316.72	1935.6
318.21	1911.0
319.58	1960.2
320.73	2058.6
321.41	1935.6
322.21	1911.0
323.01	2034.0
324.04	2132.4
324.61	1997.1
324.84	1923.3
325.64	2046.3
326.33	2193.8
327.25	2095.5
327.82	2255.3
328.96	2132.4
329.88	2083.2
330.79	2255.3
332.16	2427.5
333.76	2562.8
334.56	2673.4
335.48	2550.5
337.08	2784.1
337.42	3030.1
338.00	3300.6
339.25	3226.8
340.74	3288.3
342.00	3300.6
343.03	3546.6
343.60	3841.7
343.83	4149.1
344.86	4370.5
345.20	4198.3
345.66	4050.7
346.00	3952.4
346.80	4161.4
347.14	4259.8
348.06	4161.4
348.17	4468.9
348.52	4825.5
348.75	5169.8
349.89	5071.4
350.35	4948.5
351.49	5108.3
352.63	4985.3
353.55	4899.3
354.92	5219.0
355.95	5514.1
356.98	5440.3
357.89	5846.2
358.92	5710.9
359.61	6165.9
360.53	6768.5
360.87	6977.5
362.01	6854.5
363.27	7002.1
364.07	7346.4
364.76	7629.3
365.79	7924.4
366.13	8219.5
366.93	8490.1
367.73	8219.5
368.76	8674.5
369.56	9031.2
370.47	9510.8
370.70	9744.4
372.19	10052
372.19	9732.1
373.68	10298
374.71	10704
375.39	11134
377.11	11564
378.25	12044
379.74	12511
381.00	12979
382.71	13630
383.86	14208
385.46	14688
386.94	15278
387.97	15856
389.46	16410
390.49	16938
391.98	17590
393.81	18328
395.06	18881
395.75	19324
397.58	19853
398.84	20320
399.75	20824
400.90	21292
402.84	21894
403.98	22435
405.70	23038
406.61	23481
407.87	23874
409.36	24243
410.27	24637
410.85	24882
411.99	25128
413.48	25448
414.96	25829
416.79	26223
418.74	26555
420.34	26752
421.48	26899
422.51	26955
424.00	27000
424.57	26973
425.37	26996
426.86	26924
428.23	26801
429.37	26629
430.86	26420
432.12	26149
433.38	25866
434.52	25485
436.35	25018
438.41	24243
440.01	23640
442.18	22755
443.55	22066
445.73	21033
447.44	20209
449.04	19484
450.76	18525
452.59	17233
453.62	16643
455.22	15487
456.82	14590
458.65	13507
460.14	12462
461.62	11466
462.65	10741
463.80	9830.5
465.51	8908.2
466.88	7985.9
468.71	6952.9
469.97	6239.7
472.03	5342.0
473.75	4432.0
475.00	3952.4
476.60	3558.9
478.21	3054.7
479.12	2857.9
481.06	2538.2
482.89	2169.3
485.07	1800.3
487.13	1542.1
488.84	1259.2
490.79	1099.4
492.16	914.92
494.45	804.25
496.96	668.98
499.59	509.11
502.22	361.54
504.97	336.95
507.37	312.35
509.77	250.87
512.29	201.68
514.23	177.08
516.40	177.08
518.35	201.68
520.86	140.19
524.07	152.49
527.04	164.78
529.78	140.19
532.87	127.89
535.85	115.60
538.59	91.000
541.91	127.89
544.54	91.000
548.20	91.000
551.28	78.703
554.37	71.493
557.92	44.521
561.92	66.406
565.81	47.053
568.44	47.053
571.76	54.108
575.07	48.283
577.93	47.053
579.99	78.703
582.39	48.283
585.36	54.108
589.02	48.283
592.68	54.108
596.12	54.108
598.97	54.108
600.00	56.009
