Wavelength (nm)	13, (Z)-Ep-PxB-3, ZEPPXB3, F
200.00	0.57122
201.00	0.66836
202.00	0.76551
203.00	0.82357
204.00	0.88162
205.00	0.90504
206.00	0.92846
207.00	0.93534
208.00	0.94223
209.00	0.94224
210.00	0.94226
211.00	0.93680
212.00	0.93135
213.00	0.92193
214.00	0.91251
215.00	0.89963
216.00	0.88675
217.00	0.87031
218.00	0.85387
219.00	0.83431
220.00	0.81474
221.00	0.79331
222.00	0.77187
223.00	0.75116
224.00	0.73046
225.00	0.71462
226.00	0.69879
227.00	0.68926
228.00	0.67974
229.00	0.67666
230.00	0.67359
231.00	0.67561
232.00	0.67764
233.00	0.68314
234.00	0.68865
235.00	0.69551
236.00	0.70237
237.00	0.70901
238.00	0.71565
239.00	0.72091
240.00	0.72617
241.00	0.72897
242.00	0.73176
243.00	0.73013
244.00	0.72849
245.00	0.72123
246.00	0.71396
247.00	0.70109
248.00	0.68822
249.00	0.67204
250.00	0.65585
251.00	0.63859
252.00	0.62134
253.00	0.60454
254.00	0.58774
255.00	0.57275
256.00	0.55776
257.00	0.54632
258.00	0.53488
259.00	0.52727
260.00	0.51967
261.00	0.51602
262.00	0.51237
263.00	0.51202
264.00	0.51167
265.00	0.51366
266.00	0.51566
267.00	0.51870
268.00	0.52175
269.00	0.52444
270.00	0.52713
271.00	0.52945
272.00	0.53177
273.00	0.53351
274.00	0.53526
275.00	0.53667
276.00	0.53809
277.00	0.53934
278.00	0.54059
279.00	0.54190
280.00	0.54322
281.00	0.54466
282.00	0.54611
283.00	0.54824
284.00	0.55037
285.00	0.55365
286.00	0.55693
287.00	0.56153
288.00	0.56612
289.00	0.57189
290.00	0.57765
291.00	0.58549
292.00	0.59332
293.00	0.60302
294.00	0.61273
295.00	0.62431
296.00	0.63589
297.00	0.64845
298.00	0.66101
299.00	0.67450
300.00	0.68800
301.00	0.70156
302.00	0.71512
303.00	0.72858
304.00	0.74203
305.00	0.75431
306.00	0.76658
307.00	0.77728
308.00	0.78798
309.00	0.79626
310.00	0.80454
311.00	0.80933
312.00	0.81412
313.00	0.81522
314.00	0.81633
315.00	0.81306
316.00	0.80980
317.00	0.80221
318.00	0.79461
319.00	0.78221
320.00	0.76981
321.00	0.75324
322.00	0.73666
323.00	0.71662
324.00	0.69657
325.00	0.67253
326.00	0.64849
327.00	0.62155
328.00	0.59461
329.00	0.56671
330.00	0.53881
331.00	0.50997
332.00	0.48113
333.00	0.45338
334.00	0.42563
335.00	0.40029
336.00	0.37494
337.00	0.35323
338.00	0.33152
339.00	0.31451
340.00	0.29750
341.00	0.28467
342.00	0.27183
343.00	0.26341
344.00	0.25498
345.00	0.25043
346.00	0.24587
347.00	0.24474
348.00	0.24362
349.00	0.24526
350.00	0.24689
351.00	0.25101
352.00	0.25512
353.00	0.26091
354.00	0.26670
355.00	0.27404
356.00	0.28138
357.00	0.29021
358.00	0.29903
359.00	0.30836
360.00	0.31769
361.00	0.32817
362.00	0.33864
363.00	0.35014
364.00	0.36164
365.00	0.37465
366.00	0.38766
367.00	0.40106
368.00	0.41447
369.00	0.42845
370.00	0.44242
371.00	0.45736
372.00	0.47230
373.00	0.48801
374.00	0.50372
375.00	0.51958
376.00	0.53545
377.00	0.55195
378.00	0.56845
379.00	0.58468
380.00	0.60090
381.00	0.61776
382.00	0.63462
383.00	0.65176
384.00	0.66889
385.00	0.68649
386.00	0.70408
387.00	0.72111
388.00	0.73814
389.00	0.75453
390.00	0.77092
391.00	0.78805
