Wavelength (nm)	O01 abs e
275.00	2512.2
275.25	2417.6
275.50	2341.2
275.75	2251.1
276.00	2164.7
276.25	2093.1
276.50	2027.4
276.75	1970.4
277.00	1918.5
277.25	1870.1
277.50	1822.9
277.75	1788.7
278.00	1740.7
278.25	1699.2
278.50	1665.6
278.75	1645.6
279.00	1599.7
279.25	1573.5
279.50	1547.5
279.75	1520.5
280.00	1499.2
280.25	1476.7
280.50	1468.3
280.75	1446.8
281.00	1429.1
281.25	1409.2
281.50	1404.0
281.75	1385.3
282.00	1368.3
282.25	1356.9
282.50	1361.0
282.75	1344.7
283.00	1334.4
283.25	1328.2
283.50	1317.1
283.75	1314.8
284.00	1298.7
284.25	1298.4
284.50	1295.7
284.75	1296.4
285.00	1297.5
285.25	1300.8
285.50	1297.7
285.75	1297.2
286.00	1293.8
286.25	1298.0
286.50	1288.4
286.75	1286.1
287.00	1296.4
287.25	1306.0
287.50	1302.6
287.75	1303.4
288.00	1312.8
288.25	1315.4
288.50	1322.8
288.75	1334.7
289.00	1339.3
289.25	1341.3
289.50	1350.6
289.75	1358.9
290.00	1379.2
290.25	1386.1
290.50	1391.7
290.75	1397.0
291.00	1412.1
291.25	1418.0
291.50	1433.6
291.75	1450.0
292.00	1454.7
292.25	1474.3
292.50	1482.8
292.75	1492.4
293.00	1506.5
293.25	1528.1
293.50	1534.4
293.75	1561.8
294.00	1568.2
294.25	1576.9
294.50	1598.5
294.75	1598.3
295.00	1607.2
295.25	1618.3
295.50	1634.8
295.75	1653.1
296.00	1662.5
296.25	1681.3
296.50	1700.3
296.75	1723.9
297.00	1734.6
297.25	1750.4
297.50	1777.3
297.75	1785.2
298.00	1810.4
298.25	1816.4
298.50	1835.5
298.75	1853.8
299.00	1876.2
299.25	1892.5
299.50	1908.0
299.75	1930.4
300.00	1943.2
300.25	1957.9
300.50	1993.0
300.75	2001.7
301.00	2024.7
301.25	2047.9
301.50	2062.9
301.75	2089.7
302.00	2117.2
302.25	2125.4
302.50	2145.2
302.75	2178.8
303.00	2183.2
303.25	2214.3
303.50	2242.6
303.75	2247.8
304.00	2276.9
304.25	2296.0
304.50	2312.3
304.75	2337.0
305.00	2349.4
305.25	2379.6
305.50	2409.6
305.75	2432.4
306.00	2460.7
306.25	2486.2
306.50	2488.3
306.75	2523.5
307.00	2547.0
307.25	2547.0
307.50	2578.2
307.75	2603.2
308.00	2628.2
308.25	2643.9
308.50	2662.6
308.75	2688.7
309.00	2714.3
309.25	2727.8
309.50	2743.7
309.75	2706.0
310.00	2752.3
310.25	2733.6
310.50	2745.9
310.75	2804.8
311.00	2806.1
311.25	2816.7
311.50	2876.6
311.75	2797.9
312.00	2850.8
312.25	2944.8
312.50	2942.6
312.75	2955.6
313.00	2975.2
313.25	2969.8
313.50	3027.0
313.75	3038.3
314.00	3053.2
314.25	3067.9
314.50	3069.4
314.75	3118.3
315.00	3102.9
315.25	3112.4
315.50	3160.7
315.75	3189.9
316.00	3195.0
316.25	3248.5
316.50	3249.6
316.75	3216.8
317.00	3277.5
317.25	3339.1
317.50	3312.1
317.75	3310.0
318.00	3344.5
318.25	3379.5
318.50	3402.1
318.75	3419.0
319.00	3415.3
319.25	3431.5
319.50	3450.7
319.75	3472.1
320.00	3463.0
320.25	3476.2
320.50	3520.3
320.75	3543.1
321.00	3539.3
321.25	3598.3
321.50	3585.2
321.75	3602.5
322.00	3620.3
322.25	3666.3
322.50	3660.6
322.75	3690.8
323.00	3718.9
323.25	3737.0
323.50	3711.7
323.75	3723.2
324.00	3764.8
324.25	3781.7
324.50	3816.2
324.75	3809.0
325.00	3786.2
325.25	3828.0
325.50	3877.3
325.75	3866.5
326.00	3895.4
326.25	3898.6
326.50	3904.0
326.75	3964.3
327.00	3967.8
327.25	3936.1
327.50	3963.3
327.75	3998.1
328.00	3965.5
328.25	4045.8
328.50	4072.2
328.75	4066.3
329.00	4093.4
329.25	4064.6
329.50	4086.5
329.75	4103.6
330.00	4168.2
330.25	4144.8
330.50	4170.7
330.75	4197.5
331.00	4210.3
331.25	4182.6
331.50	4213.9
331.75	4177.2
332.00	4198.1
332.25	4213.3
332.50	4244.9
332.75	4205.2
333.00	4240.5
333.25	4241.2
333.50	4214.2
333.75	4224.1
334.00	4286.4
334.25	4296.2
334.50	4288.0
334.75	4268.8
335.00	4233.8
335.25	4285.8
335.50	4253.7
335.75	4291.5
336.00	4270.6
336.25	4288.2
336.50	4282.7
336.75	4276.9
337.00	4280.0
337.25	4277.1
337.50	4285.2
337.75	4283.8
338.00	4250.0
338.25	4292.9
338.50	4300.0
338.75	4282.3
339.00	4248.5
339.25	4260.7
339.50	4252.7
339.75	4215.7
340.00	4223.8
340.25	4262.5
340.50	4230.6
340.75	4228.2
341.00	4210.2
341.25	4192.2
341.50	4216.8
341.75	4208.7
342.00	4195.7
342.25	4179.8
342.50	4171.8
342.75	4178.1
343.00	4186.5
343.25	4137.2
343.50	4126.7
343.75	4123.1
344.00	4121.0
344.25	4072.7
344.50	4060.7
344.75	4053.0
345.00	4041.5
345.25	4063.0
345.50	4038.2
345.75	4030.4
346.00	4006.1
346.25	4006.8
346.50	3969.1
346.75	3987.3
347.00	3925.8
347.25	3955.0
347.50	3927.4
347.75	3911.0
348.00	3899.9
348.25	3858.7
348.50	3866.4
348.75	3854.3
349.00	3847.8
349.25	3826.1
349.50	3758.4
349.75	3765.0
350.00	3746.9
350.25	3723.0
350.50	3678.6
350.75	3667.4
351.00	3671.9
351.25	3669.6
351.50	3606.7
351.75	3613.7
352.00	3582.4
352.25	3583.8
352.50	3563.4
352.75	3534.1
353.00	3518.3
353.25	3503.3
353.50	3469.0
353.75	3442.8
354.00	3430.6
354.25	3424.5
354.50	3384.4
354.75	3372.0
355.00	3358.9
355.25	3325.9
355.50	3294.1
355.75	3248.1
356.00	3230.7
356.25	3188.8
356.50	3169.4
356.75	3144.9
357.00	3137.6
357.25	3094.8
357.50	3084.2
357.75	3057.0
358.00	3012.4
358.25	3013.3
358.50	2990.7
358.75	2956.0
359.00	2930.8
359.25	2922.9
359.50	2888.1
359.75	2861.1
360.00	2844.8
360.25	2823.7
360.50	2784.3
360.75	2793.6
361.00	2741.1
361.25	2740.2
361.50	2698.4
361.75	2674.8
362.00	2656.4
362.25	2620.8
362.50	2606.3
362.75	2573.6
363.00	2553.7
363.25	2519.4
363.50	2509.0
363.75	2485.0
364.00	2448.5
364.25	2444.7
364.50	2418.6
364.75	2378.3
365.00	2350.7
365.25	2327.2
365.50	2305.6
365.75	2280.1
366.00	2263.3
366.25	2225.0
366.50	2220.9
366.75	2189.3
367.00	2170.5
367.25	2135.1
367.50	2118.8
367.75	2095.9
368.00	2068.5
368.25	2046.4
368.50	2028.5
368.75	1995.3
369.00	1986.9
369.25	1947.8
369.50	1933.1
369.75	1901.3
370.00	1881.1
370.25	1862.1
370.50	1845.6
370.75	1810.8
371.00	1782.6
371.25	1768.8
371.50	1741.7
371.75	1720.6
372.00	1697.3
372.25	1672.9
372.50	1651.2
372.75	1622.0
373.00	1632.9
373.25	1591.3
373.50	1578.2
373.75	1559.3
374.00	1541.8
374.25	1523.7
374.50	1488.6
374.75	1488.4
375.00	1474.7
375.25	1467.1
375.50	1444.5
375.75	1429.6
376.00	1389.5
376.25	1351.1
376.50	1336.8
376.75	1329.0
377.00	1308.1
377.25	1282.0
377.50	1255.3
377.75	1242.9
378.00	1209.6
378.25	1201.2
378.50	1188.5
378.75	1175.7
379.00	1148.5
379.25	1133.4
379.50	1108.0
379.75	1104.3
