Wavelength (nm)	T15 abs e
350.00	9548.0
351.00	9482.0
352.00	9403.2
353.00	9329.6
354.00	9356.5
355.00	9285.7
356.00	9279.3
357.00	9307.5
358.00	9373.4
359.00	9325.6
360.00	9462.7
361.00	9584.6
362.00	9900.7
363.00	10257
364.00	10582
365.00	10734
366.00	10539
367.00	10482
368.00	10669
369.00	10971
370.00	11414
371.00	11705
372.00	11895
373.00	12167
374.00	12430
375.00	12624
376.00	12925
377.00	13131
378.00	13381
379.00	13690
380.00	13988
381.00	14427
382.00	14554
383.00	14860
384.00	15259
385.00	15655
386.00	16076
387.00	16578
388.00	17169
389.00	17900
390.00	19079
391.00	20692
392.00	22480
393.00	24276
394.00	26744
395.00	29438
396.00	32324
397.00	35101
398.00	37491
399.00	39238
400.00	40666
401.00	41563
402.00	41826
403.00	41594
404.00	40994
405.00	40361
406.00	39896
407.00	40023
408.00	40706
409.00	42308
410.00	45027
411.00	49272
412.00	55631
413.00	63649
414.00	73922
415.00	87225
416.00	1.0331e+05
417.00	1.2189e+05
418.00	1.4239e+05
419.00	1.6298e+05
420.00	1.8248e+05
421.00	1.9832e+05
422.00	2.0752e+05
423.00	2.0900e+05
424.00	2.0333e+05
425.00	1.9091e+05
426.00	1.7350e+05
427.00	1.5224e+05
428.00	1.3068e+05
429.00	1.0891e+05
430.00	88795
431.00	72100
432.00	57594
433.00	44484
434.00	34051
435.00	26481
436.00	20167
437.00	15330
438.00	11667
439.00	9023.1
440.00	7122.8
441.00	5660.8
442.00	4650.1
443.00	3983.6
444.00	3422.2
445.00	3031.7
446.00	2732.4
447.00	2473.0
448.00	2347.9
449.00	2220.8
450.00	2077.3
451.00	2013.7
452.00	1974.3
453.00	1903.1
454.00	1883.4
455.00	1848.4
456.00	1745.5
457.00	1697.2
458.00	1709.3
459.00	1632.4
460.00	1601.9
461.00	1583.0
462.00	1509.8
463.00	1585.0
464.00	1623.6
465.00	1545.6
466.00	1460.7
467.00	1453.1
468.00	1455.5
469.00	1432.1
470.00	1445.8
471.00	1486.4
472.00	1396.8
473.00	1424.1
474.00	1481.6
475.00	1479.6
476.00	1473.2
477.00	1430.5
478.00	1465.1
479.00	1488.1
480.00	1496.9
481.00	1447.8
482.00	1426.9
483.00	1467.9
484.00	1456.7
485.00	1531.1
486.00	1433.8
487.00	1283.3
488.00	1499.3
489.00	1418.9
490.00	1361.8
491.00	1356.1
492.00	1334.8
493.00	1297.4
494.00	1373.0
495.00	1376.6
496.00	1407.2
497.00	1307.9
498.00	1398.8
499.00	1453.1
500.00	1540.7
501.00	1611.9
502.00	1599.9
503.00	1681.1
504.00	1728.2
505.00	1860.5
506.00	1959.8
507.00	2016.5
508.00	2087.7
509.00	2259.9
510.00	2319.0
511.00	2403.4
512.00	2437.2
513.00	2502.0
514.00	2570.3
515.00	2670.9
516.00	2795.2
517.00	2815.7
518.00	2857.9
519.00	2921.5
520.00	2996.3
521.00	3022.4
522.00	3002.3
523.00	2944.8
524.00	2867.6
525.00	2797.2
526.00	2751.3
527.00	2648.4
528.00	2578.4
529.00	2489.1
530.00	2499.2
531.00	2562.3
532.00	2533.7
533.00	2624.2
534.00	2645.6
535.00	2697.4
536.00	2806.8
537.00	2851.9
538.00	2861.9
539.00	2934.7
540.00	3007.1
541.00	3027.6
542.00	3084.3
543.00	3170.0
544.00	3153.1
545.00	3158.8
546.00	3143.9
547.00	3199.8
548.00	3208.6
549.00	3223.5
550.00	3293.5
551.00	3407.3
552.00	3683.6
553.00	3846.1
554.00	4151.4
