Wavelength (nm)	FL034 [8] 520-26-3, Hesperidin [PCAD]
210.00	31001
211.00	30254
212.00	29640
213.00	29012
214.00	28308
215.00	27552
216.00	26757
217.00	26017
218.00	25357
219.00	24834
220.00	24414
221.00	24118
222.00	23893
223.00	23721
224.00	23593
225.00	23502
226.00	23394
227.00	23169
228.00	22709
229.00	21980
230.00	20937
231.00	19648
232.00	18195
233.00	16512
234.00	14556
235.00	12342
236.00	10212
237.00	8353.6
238.00	6878.4
239.00	5755.6
240.00	4872.5
241.00	4189.5
242.00	3670.6
243.00	3269.5
244.00	2974.0
245.00	2770.0
246.00	2637.1
247.00	2565.7
248.00	2543.1
249.00	2563.0
250.00	2619.9
251.00	2710.4
252.00	2829.8
253.00	2981.0
254.00	3166.7
255.00	3382.0
256.00	3631.7
257.00	3908.0
258.00	4223.4
259.00	4575.9
260.00	4963.4
261.00	5391.7
262.00	5851.7
263.00	6356.2
264.00	6898.6
265.00	7477.1
266.00	8093.8
267.00	8733.7
268.00	9400.9
269.00	10093
270.00	10806
271.00	11518
272.00	12246
273.00	12978
274.00	13698
275.00	14390
276.00	15049
277.00	15650
278.00	16182
279.00	16642
280.00	17019
281.00	17307
282.00	17510
283.00	17620
284.00	17647
285.00	17588
286.00	17416
287.00	17088
288.00	16588
289.00	15908
290.00	15061
291.00	14112
292.00	13102
293.00	12076
294.00	11067
295.00	10103
296.00	9203.3
297.00	8378.6
298.00	7628.3
299.00	6969.3
300.00	6384.2
301.00	5874.1
302.00	5431.5
303.00	5041.4
304.00	4712.8
305.00	4437.5
306.00	4209.4
307.00	4022.4
308.00	3877.8
309.00	3764.1
310.00	3677.4
311.00	3617.3
312.00	3577.1
313.00	3549.4
314.00	3533.6
315.00	3529.4
316.00	3532.1
317.00	3542.1
318.00	3559.1
319.00	3575.9
320.00	3603.2
321.00	3629.5
322.00	3654.0
323.00	3676.6
324.00	3694.2
325.00	3710.0
326.00	3718.9
327.00	3723.6
328.00	3722.5
329.00	3714.8
330.00	3702.7
331.00	3687.9
332.00	3668.4
333.00	3645.4
334.00	3616.7
335.00	3579.2
336.00	3537.9
337.00	3488.5
338.00	3426.7
339.00	3361.5
340.00	3285.5
341.00	3199.2
342.00	3104.8
343.00	3007.1
344.00	2901.2
345.00	2790.5
346.00	2678.4
347.00	2556.7
348.00	2438.0
349.00	2318.4
350.00	2197.9
351.00	2081.9
352.00	1966.1
353.00	1852.0
354.00	1741.2
355.00	1629.1
356.00	1527.5
357.00	1431.7
358.00	1340.4
359.00	1254.7
360.00	1170.5
361.00	1090.6
362.00	1009.3
363.00	938.51
364.00	870.58
365.00	810.56
366.00	752.53
367.00	697.51
368.00	648.35
369.00	605.44
370.00	562.54
371.00	524.60
372.00	490.74
373.00	463.73
374.00	430.14
375.00	407.17
376.00	383.59
377.00	358.99
378.00	338.51
379.00	322.30
380.00	301.31
381.00	284.12
382.00	272.90
383.00	258.81
384.00	246.80
385.00	236.20
386.00	227.13
387.00	212.16
388.00	205.67
389.00	194.93
390.00	186.24
391.00	180.40
392.00	173.75
393.00	162.19
394.00	160.17
395.00	152.46
396.00	150.67
397.00	144.80
398.00	138.48
399.00	134.04
400.00	125.39
401.00	123.11
402.00	118.13
403.00	112.25
404.00	112.70
405.00	105.44
406.00	102.24
407.00	102.02
408.00	94.123
409.00	94.789
410.00	89.946
411.00	90.664
412.00	86.822
413.00	82.609
414.00	83.242
415.00	77.082
416.00	77.873
417.00	76.257
418.00	72.592
419.00	73.119
420.00	69.049
421.00	66.837
422.00	69.203
423.00	67.661
424.00	66.362
425.00	65.924
426.00	63.433
427.00	60.500
428.00	64.081
429.00	59.290
430.00	55.783
431.00	57.836
432.00	53.325
433.00	53.604
434.00	55.290
435.00	52.957
436.00	49.851
437.00	49.641
438.00	47.253
439.00	46.778
440.00	47.393
441.00	45.781
442.00	43.919
443.00	45.288
444.00	46.009
445.00	41.674
446.00	44.324
447.00	41.428
448.00	39.058
449.00	38.797
450.00	41.464
451.00	38.075
452.00	39.499
453.00	37.604
454.00	33.286
455.00	35.059
456.00	35.760
457.00	32.883
458.00	30.567
459.00	34.971
460.00	30.058
461.00	31.321
462.00	31.479
463.00	28.724
464.00	29.549
465.00	32.251
466.00	31.567
467.00	25.706
468.00	24.197
469.00	26.250
470.00	26.654
471.00	24.548
472.00	21.706
473.00	23.530
474.00	26.268
475.00	23.513
476.00	22.934
477.00	24.355
478.00	23.320
479.00	21.881
480.00	21.056
481.00	20.951
482.00	20.196
483.00	17.582
484.00	18.196
485.00	19.267
486.00	21.056
487.00	20.319
488.00	17.336
489.00	12.528
490.00	18.564
491.00	16.143
492.00	14.915
493.00	15.704
494.00	16.196
495.00	16.073
496.00	15.055
497.00	14.529
498.00	14.827
499.00	15.722
500.00	13.897
