Wavelength (nm)	N08 abs e
321.75	8540.9
322.00	7853.8
322.25	8447.7
322.50	7994.1
322.75	7723.0
323.00	8316.9
323.25	8298.4
323.50	8760.7
323.75	8366.4
324.00	7984.3
324.25	8054.8
324.50	8155.8
324.75	7611.7
325.00	8153.0
325.25	8045.6
325.50	7742.6
325.75	7556.0
326.00	7847.9
326.25	7919.9
326.50	7734.8
326.75	7899.7
327.00	7923.0
327.25	8063.5
327.50	7959.1
327.75	7790.7
328.00	7624.7
328.25	7843.5
328.50	7574.0
328.75	7311.3
329.00	7076.1
329.25	7119.2
329.50	7455.9
329.75	7677.8
330.00	7357.4
330.25	7091.7
330.50	7286.9
330.75	7333.9
331.00	6598.0
331.25	6828.3
331.50	6711.7
331.75	6889.5
332.00	6981.3
332.25	6889.8
332.50	6580.7
332.75	6729.6
333.00	6428.1
333.25	6571.6
333.50	6475.6
333.75	6698.2
334.00	6078.0
334.25	6127.3
334.50	6420.7
334.75	6801.5
335.00	5810.1
335.25	6026.7
335.50	5413.4
335.75	5934.2
336.00	6347.8
336.25	5706.3
336.50	5859.0
336.75	5925.7
337.00	5660.7
337.25	5429.2
337.50	5373.5
337.75	5153.4
338.00	5500.8
338.25	5461.0
338.50	5016.6
338.75	5019.4
339.00	5408.6
339.25	5400.0
339.50	5088.7
339.75	4977.4
340.00	4971.1
340.25	4675.7
340.50	4568.2
340.75	4708.7
341.00	4421.0
341.25	4643.6
341.50	4662.4
341.75	4470.5
342.00	4665.0
342.25	4146.0
342.50	4532.2
342.75	4287.8
343.00	4166.6
343.25	4013.5
343.50	4112.1
343.75	3962.0
344.00	3896.4
344.25	3817.8
344.50	4100.6
344.75	4008.3
345.00	3614.0
345.25	3767.5
345.50	3901.1
345.75	3729.0
346.00	3640.5
346.25	3652.4
346.50	3945.1
346.75	3618.5
347.00	3451.7
347.25	3603.6
347.50	3397.2
347.75	3654.1
348.00	3386.1
348.25	3388.9
348.50	3652.7
348.75	3425.8
349.00	3490.9
349.25	3365.2
349.50	3356.6
349.75	3418.0
350.00	3375.9
350.25	3360.5
350.50	3177.7
350.75	3414.8
351.00	3390.2
351.25	3202.1
351.50	3223.9
351.75	3021.4
352.00	3123.8
352.25	2993.5
352.50	3089.9
352.75	2997.6
353.00	3027.1
353.25	3317.4
353.50	3372.0
353.75	2819.5
354.00	3026.2
354.25	2810.7
354.50	3239.5
354.75	3037.6
355.00	2984.9
355.25	2796.8
355.50	2646.0
355.75	2505.0
356.00	2528.4
356.25	2656.7
356.50	2727.2
356.75	2606.0
357.00	2618.0
357.25	2763.8
357.50	2717.2
357.75	2698.7
358.00	2727.4
358.25	2548.4
358.50	2580.1
358.75	2557.0
359.00	2581.9
359.25	2154.2
359.50	2450.6
359.75	2300.5
360.00	2104.1
360.25	2237.7
360.50	2177.4
360.75	1987.8
361.00	2116.1
361.25	2332.6
361.50	1943.7
361.75	2206.7
362.00	1954.7
362.25	1966.6
362.50	1961.0
362.75	1722.7
363.00	1673.1
363.25	1852.3
363.50	1767.7
363.75	1511.1
364.00	1652.4
364.25	1776.9
364.50	1623.8
364.75	1536.1
365.00	1110.6
365.25	1302.1
365.50	1462.3
365.75	1365.5
366.00	1426.1
366.25	1661.7
366.50	1370.9
366.75	1217.8
367.00	1198.5
367.25	1237.9
367.50	880.11
367.75	1033.5
368.00	1026.5
368.25	1032.3
368.50	984.18
368.75	1149.0
369.00	1044.6
369.25	879.28
369.50	1201.6
369.75	849.15
370.00	907.50
370.25	979.54
370.50	1057.7
370.75	664.16
371.00	742.28
371.25	882.02
371.50	703.03
371.75	639.66
372.00	724.63
372.25	868.93
372.50	628.33
372.75	646.36
373.00	666.67
373.25	532.56
373.50	554.39
373.75	867.56
374.00	590.45
374.25	363.53
374.50	424.92
374.75	530.43
375.00	400.88
375.25	576.37
375.50	452.91
375.75	523.43
376.00	631.98
376.25	459.84
376.50	308.23
376.75	422.87
377.00	357.98
377.25	543.36
377.50	176.48
377.75	447.06
378.00	153.96
378.25	435.95
378.50	29.515
378.75	456.03
379.00	335.62
379.25	298.87
379.50	402.10
379.75	388.18
380.00	508.90
380.25	359.58
380.50	516.05
380.75	335.54
381.00	333.03
