Wavelength (nm)	Toly B+C (2017)
300.00	0.052375
301.00	0.051148
302.00	0.049402
303.00	0.047733
304.00	0.045652
305.00	0.043087
306.00	0.040329
307.00	0.036650
308.00	0.033128
309.00	0.030572
310.00	0.027513
311.00	0.024373
312.00	0.021953
313.00	0.019711
314.00	0.018413
315.00	0.016876
316.00	0.016297
317.00	0.015628
318.00	0.015400
319.00	0.015751
320.00	0.015841
321.00	0.016404
322.00	0.016611
323.00	0.017064
324.00	0.017642
325.00	0.018273
326.00	0.018904
327.00	0.019604
328.00	0.019854
329.00	0.020489
330.00	0.020997
331.00	0.021718
332.00	0.022422
333.00	0.022957
334.00	0.023606
335.00	0.024102
336.00	0.024982
337.00	0.026338
338.00	0.027188
339.00	0.027867
340.00	0.029337
341.00	0.030855
342.00	0.032629
343.00	0.033983
344.00	0.035408
345.00	0.037265
346.00	0.039387
347.00	0.041638
348.00	0.044398
349.00	0.046440
350.00	0.049065
351.00	0.051907
352.00	0.055640
353.00	0.058791
354.00	0.061522
355.00	0.064753
356.00	0.068395
357.00	0.073284
358.00	0.077970
359.00	0.081620
360.00	0.087136
361.00	0.093054
362.00	0.10041
363.00	0.10739
364.00	0.11444
365.00	0.12483
366.00	0.13498
367.00	0.14775
368.00	0.16042
369.00	0.17417
370.00	0.18683
371.00	0.19986
372.00	0.21433
373.00	0.22901
374.00	0.24177
375.00	0.25409
376.00	0.26653
377.00	0.28121
378.00	0.29546
379.00	0.30888
380.00	0.32261
381.00	0.33830
382.00	0.35682
383.00	0.37634
384.00	0.39658
385.00	0.41727
386.00	0.44370
387.00	0.47359
388.00	0.51345
389.00	0.55001
390.00	0.58472
391.00	0.62273
392.00	0.65898
393.00	0.69158
394.00	0.72892
395.00	0.75941
396.00	0.79449
397.00	0.83493
398.00	0.88046
399.00	0.92834
400.00	0.96792
401.00	0.99084
402.00	1.0000
403.00	0.99121
404.00	0.95443
405.00	0.90484
406.00	0.84389
407.00	0.75857
408.00	0.67137
409.00	0.56756
410.00	0.47594
411.00	0.41073
412.00	0.33922
413.00	0.28370
414.00	0.23460
415.00	0.19817
416.00	0.17082
417.00	0.14820
418.00	0.13041
419.00	0.11135
420.00	0.095130
421.00	0.082228
422.00	0.070170
423.00	0.059849
424.00	0.048620
425.00	0.038318
426.00	0.030706
427.00	0.024668
428.00	0.020128
429.00	0.015682
430.00	0.011938
431.00	0.0088555
432.00	0.0068686
433.00	0.0055428
434.00	0.0042479
435.00	0.0030939
436.00	0.0021644
437.00	0.0017735
438.00	0.0012441
439.00	0.0010118
440.00	0.00090948
441.00	0.00069378
442.00	0.00064429
443.00	0.00072927
444.00	0.00058488
445.00	0.00070375
446.00	0.00089303
447.00	0.0011276
448.00	0.0011632
449.00	0.0013303
450.00	0.0015353
451.00	0.0015694
452.00	0.0019008
453.00	0.0021563
454.00	0.0023729
455.00	0.0027538
456.00	0.0030623
457.00	0.0032463
458.00	0.0036823
459.00	0.0041400
460.00	0.0045398
461.00	0.0049322
462.00	0.0053092
463.00	0.0059930
464.00	0.0068847
465.00	0.0073713
466.00	0.0082044
467.00	0.0089431
468.00	0.010082
469.00	0.011125
470.00	0.012035
471.00	0.012786
472.00	0.013590
473.00	0.014445
474.00	0.015194
475.00	0.015835
476.00	0.016424
477.00	0.016827
478.00	0.017031
479.00	0.017450
480.00	0.017581
481.00	0.017710
482.00	0.017649
483.00	0.017485
484.00	0.017512
485.00	0.017505
486.00	0.017388
487.00	0.017231
488.00	0.017186
489.00	0.017626
490.00	0.018169
491.00	0.018883
492.00	0.019679
493.00	0.020379
494.00	0.021543
495.00	0.023020
496.00	0.024141
497.00	0.025440
498.00	0.026541
499.00	0.027558
500.00	0.028554
501.00	0.029348
502.00	0.030038
503.00	0.030367
504.00	0.030330
505.00	0.030052
506.00	0.029478
507.00	0.028885
508.00	0.027859
509.00	0.026760
510.00	0.025471
511.00	0.023980
512.00	0.022455
513.00	0.020983
514.00	0.019571
515.00	0.018300
516.00	0.017105
517.00	0.015813
518.00	0.014738
519.00	0.013756
520.00	0.013002
521.00	0.012166
522.00	0.011770
523.00	0.011200
524.00	0.011053
525.00	0.010728
526.00	0.010744
527.00	0.010841
528.00	0.011259
529.00	0.011725
530.00	0.012271
531.00	0.013312
532.00	0.014490
533.00	0.015485
534.00	0.016838
535.00	0.018050
536.00	0.019747
537.00	0.021310
538.00	0.022632
539.00	0.024069
540.00	0.025115
541.00	0.026332
542.00	0.027485
543.00	0.028468
544.00	0.029074
545.00	0.029495
546.00	0.029661
547.00	0.029528
548.00	0.029091
549.00	0.028518
550.00	0.027797
551.00	0.026997
552.00	0.025917
553.00	0.024115
554.00	0.022496
555.00	0.020631
556.00	0.018897
557.00	0.017514
558.00	0.016581
559.00	0.015671
560.00	0.014668
561.00	0.013788
562.00	0.012938
563.00	0.012404
564.00	0.011958
565.00	0.011787
566.00	0.011930
567.00	0.012076
568.00	0.011789
569.00	0.011241
570.00	0.010475
571.00	0.010142
572.00	0.0093335
573.00	0.0092026
574.00	0.0088625
575.00	0.0084194
576.00	0.0080934
577.00	0.0078659
578.00	0.0070403
579.00	0.0067003
580.00	0.0063908
581.00	0.0060231
582.00	0.0055216
583.00	0.0058199
584.00	0.0055928
585.00	0.0059074
586.00	0.0057770
587.00	0.0057046
588.00	0.0053676
589.00	0.0054120
590.00	0.0051935
591.00	0.0052700
592.00	0.0050608
593.00	0.0046971
594.00	0.0048376
595.00	0.0043736
596.00	0.0043741
597.00	0.0043239
598.00	0.0042278
599.00	0.0047751
600.00	0.0041380
601.00	0.0041762
602.00	0.0045805
603.00	0.0045200
604.00	0.0051983
605.00	0.0057631
606.00	0.0065677
607.00	0.0074088
608.00	0.0087241
609.00	0.011301
610.00	0.014544
611.00	0.018328
612.00	0.022316
613.00	0.024924
614.00	0.025489
615.00	0.025431
616.00	0.023811
617.00	0.022857
618.00	0.022862
619.00	0.023806
620.00	0.024679
621.00	0.025001
622.00	0.024096
623.00	0.023059
624.00	0.021933
625.00	0.020797
626.00	0.020092
627.00	0.019082
628.00	0.017739
629.00	0.016403
630.00	0.015134
631.00	0.013684
632.00	0.013201
633.00	0.012906
634.00	0.012201
635.00	0.012408
636.00	0.012240
637.00	0.012812
638.00	0.013834
639.00	0.014805
640.00	0.016601
641.00	0.019228
642.00	0.022175
643.00	0.024457
644.00	0.026277
645.00	0.026956
646.00	0.025831
647.00	0.023523
648.00	0.020699
649.00	0.018421
650.00	0.015858
651.00	0.012706
652.00	0.011456
653.00	0.010222
654.00	0.0092273
655.00	0.0091280
656.00	0.0092221
657.00	0.0091438
658.00	0.0094719
659.00	0.010177
660.00	0.011417
661.00	0.012280
662.00	0.014109
663.00	0.015941
664.00	0.018906
665.00	0.022552
666.00	0.027586
667.00	0.033172
668.00	0.040606
669.00	0.053306
670.00	0.069939
671.00	0.096302
672.00	0.13411
673.00	0.18994
674.00	0.25838
675.00	0.33415
676.00	0.39812
677.00	0.43520
678.00	0.43107
679.00	0.38635
680.00	0.31734
681.00	0.25715
682.00	0.20571
683.00	0.16186
684.00	0.12158
685.00	0.091273
686.00	0.069937
687.00	0.052701
688.00	0.038427
689.00	0.030132
690.00	0.024083
691.00	0.018902
692.00	0.014901
693.00	0.011815
694.00	0.0094108
695.00	0.0075363
696.00	0.0065230
697.00	0.0053647
698.00	0.0047191
699.00	0.0043381
700.00	0.0037410
701.00	0.0031609
702.00	0.0027229
703.00	0.0025064
704.00	0.0024633
705.00	0.0023286
706.00	0.0020983
