Wavelength (nm)	FL158 [13] 446-72-0, Genistein [M]
210.00	29203
211.00	28679
212.00	27933
213.00	26955
214.00	25685
215.00	24172
216.00	22627
217.00	21100
218.00	19784
219.00	18633
220.00	17661
221.00	16815
222.00	16054
223.00	15314
224.00	14633
225.00	14055
226.00	13553
227.00	13190
228.00	12956
229.00	12810
230.00	12787
231.00	12823
232.00	12958
233.00	13140
234.00	13383
235.00	13702
236.00	14107
237.00	14573
238.00	15126
239.00	15770
240.00	16499
241.00	17287
242.00	18129
243.00	19021
244.00	19951
245.00	20928
246.00	21984
247.00	23136
248.00	24393
249.00	25696
250.00	27055
251.00	28458
252.00	29803
253.00	31134
254.00	32459
255.00	33729
256.00	35036
257.00	36308
258.00	37404
259.00	38356
260.00	38966
261.00	39341
262.00	39307
263.00	38823
264.00	37945
265.00	36737
266.00	35171
267.00	33376
268.00	31526
269.00	29615
270.00	27658
271.00	25873
272.00	24103
273.00	22497
274.00	21046
275.00	19800
276.00	18673
277.00	17725
278.00	16907
279.00	16210
280.00	15591
281.00	15070
282.00	14597
283.00	14176
284.00	13787
285.00	13453
286.00	13148
287.00	12868
288.00	12608
289.00	12314
290.00	12014
291.00	11711
292.00	11396
293.00	11077
294.00	10756
295.00	10454
296.00	10128
297.00	9830.4
298.00	9520.4
299.00	9224.6
300.00	8931.3
301.00	8629.5
302.00	8325.8
303.00	8031.1
304.00	7743.0
305.00	7484.4
306.00	7201.7
307.00	6944.6
308.00	6695.8
309.00	6457.7
310.00	6232.1
311.00	6020.5
312.00	5814.3
313.00	5635.0
314.00	5465.0
315.00	5328.6
316.00	5212.2
317.00	5092.7
318.00	5009.0
319.00	4939.2
320.00	4885.2
321.00	4832.7
322.00	4791.0
323.00	4751.5
324.00	4720.1
325.00	4688.7
326.00	4642.6
327.00	4608.7
328.00	4557.7
329.00	4511.8
330.00	4453.8
331.00	4400.4
332.00	4328.7
333.00	4260.3
334.00	4179.2
335.00	4090.3
336.00	3999.2
337.00	3908.0
338.00	3794.6
339.00	3693.3
340.00	3578.8
341.00	3463.5
342.00	3344.2
343.00	3222.9
344.00	3103.5
345.00	2970.7
346.00	2848.7
347.00	2720.2
348.00	2598.3
349.00	2467.5
350.00	2338.7
351.00	2216.5
352.00	2106.5
353.00	1985.5
354.00	1873.5
355.00	1772.1
356.00	1658.5
357.00	1559.8
358.00	1468.6
359.00	1376.2
360.00	1285.7
361.00	1193.8
362.00	1110.0
363.00	1013.5
364.00	932.79
365.00	881.61
366.00	810.92
367.00	737.36
368.00	674.67
369.00	616.17
370.00	578.86
371.00	536.54
372.00	486.40
373.00	442.69
374.00	408.57
375.00	365.71
376.00	350.57
377.00	325.90
378.00	299.74
379.00	266.62
380.00	251.51
381.00	242.59
382.00	218.21
383.00	202.14
384.00	189.00
385.00	183.05
386.00	165.41
387.00	146.74
388.00	137.35
389.00	126.57
390.00	136.04
391.00	119.46
392.00	96.633
393.00	80.921
394.00	91.315
395.00	85.657
396.00	82.990
397.00	77.122
398.00	88.066
399.00	73.372
400.00	73.663
401.00	76.557
402.00	66.454
403.00	67.100
404.00	63.398
405.00	66.712
406.00	56.836
407.00	65.823
408.00	63.706
409.00	54.476
410.00	67.553
411.00	63.463
412.00	62.736
413.00	58.743
414.00	54.621
415.00	53.894
416.00	42.093
417.00	49.109
418.00	52.212
419.00	38.068
420.00	48.495
421.00	52.455
422.00	48.058
423.00	38.553
424.00	44.276
425.00	47.347
426.00	43.791
427.00	35.708
428.00	41.818
429.00	49.739
430.00	49.173
431.00	40.832
432.00	46.733
433.00	51.437
434.00	51.986
435.00	52.568
436.00	39.685
437.00	53.037
438.00	45.666
439.00	41.511
440.00	48.996
441.00	45.763
442.00	46.636
443.00	39.604
444.00	39.216
445.00	44.906
446.00	39.701
447.00	37.050
448.00	45.035
449.00	40.348
450.00	40.913
451.00	52.633
452.00	46.684
453.00	49.966
454.00	45.262
455.00	42.109
456.00	40.913
457.00	38.699
458.00	37.050
459.00	45.876
460.00	42.255
461.00	27.690
462.00	52.002
463.00	38.036
464.00	44.437
465.00	48.333
466.00	36.145
467.00	21.613
468.00	42.320
469.00	46.021
470.00	58.517
471.00	30.455
472.00	41.544
473.00	54.233
474.00	22.437
475.00	36.678
476.00	79.191
477.00	53.134
478.00	48.107
479.00	61.022
480.00	68.684
481.00	52.002
482.00	45.472
483.00	33.300
484.00	38.779
485.00	58.614
486.00	26.349
487.00	44.179
488.00	10.103
489.00	51.485
490.00	34.965
491.00	3.9556
492.00	16.844
493.00	14.581
494.00	7.8240
495.00	36.307
496.00	11.235
497.00	7.0804
498.00	38.941
499.00	29.194
500.00	31.263
