Wavelength (nm)	FL143 [12] 4494-27-3, Isokanugin [D]
220.00	23862
221.00	23312
222.00	22776
223.00	22274
224.00	21810
225.00	21419
226.00	21108
227.00	20925
228.00	20793
229.00	20723
230.00	20698
231.00	20707
232.00	20753
233.00	20816
234.00	20894
235.00	20982
236.00	21069
237.00	21154
238.00	21237
239.00	21320
240.00	21410
241.00	21519
242.00	21629
243.00	21742
244.00	21887
245.00	22017
246.00	22108
247.00	22205
248.00	22310
249.00	22367
250.00	22400
251.00	22102
252.00	21733
253.00	21280
254.00	20719
255.00	19955
256.00	19114
257.00	18290
258.00	17593
259.00	17127
260.00	16825
261.00	16565
262.00	16382
263.00	16220
264.00	16060
265.00	15880
266.00	15628
267.00	15218
268.00	14711
269.00	14106
270.00	13489
271.00	12700
272.00	11918
273.00	11173
274.00	10081
275.00	9282.2
276.00	8866.0
277.00	8681.3
278.00	8628.1
279.00	8591.7
280.00	8580.3
281.00	8586.1
282.00	8604.0
283.00	8634.8
284.00	8699.1
285.00	8763.4
286.00	8841.2
287.00	8944.0
288.00	9046.8
289.00	9151.8
290.00	9260.8
291.00	9369.8
292.00	9478.8
293.00	9587.7
294.00	9696.9
295.00	9806.2
296.00	9915.5
297.00	10025
298.00	10133
299.00	10239
300.00	10346
301.00	10453
302.00	10558
303.00	10663
304.00	10769
305.00	10882
306.00	11025
307.00	11167
308.00	11331
309.00	11524
310.00	11726
311.00	11975
312.00	12223
313.00	12509
314.00	12853
315.00	13197
316.00	13548
317.00	13947
318.00	14346
319.00	14746
320.00	15128
321.00	15500
322.00	15871
323.00	16243
324.00	16613
325.00	16971
326.00	17329
327.00	17687
328.00	18044
329.00	18402
330.00	18765
331.00	19129
332.00	19492
333.00	19839
334.00	20163
335.00	20463
336.00	20648
337.00	20770
338.00	20881
339.00	20924
340.00	20959
341.00	20873
342.00	20788
343.00	20694
344.00	20599
345.00	20503
346.00	20350
347.00	20192
348.00	19922
349.00	19634
350.00	19290
351.00	18928
352.00	18481
353.00	18034
354.00	17550
355.00	17048
356.00	16503
357.00	15860
358.00	15217
359.00	14514
360.00	13777
361.00	13070
362.00	12405
363.00	11764
364.00	11174
365.00	10555
366.00	9831.4
367.00	9156.2
368.00	8329.7
