Wavelength (nm)	FL041 [8] 83924-52-1, 5,7-Dimethylflavanone [D]
215.00	26001
216.00	26598
217.00	27214
218.00	27768
219.00	28249
220.00	28730
221.00	28794
222.00	28859
223.00	28594
224.00	28329
225.00	27326
226.00	26236
227.00	24371
228.00	22315
229.00	20105
230.00	17894
231.00	15684
232.00	13238
233.00	10792
234.00	8864.4
235.00	7159.6
236.00	5595.3
237.00	4100.1
238.00	3611.3
239.00	3111.2
240.00	2935.2
241.00	2901.8
242.00	2957.3
243.00	3113.1
244.00	3268.9
245.00	3535.0
246.00	3830.5
247.00	4125.9
248.00	4458.6
249.00	5040.5
250.00	5622.4
251.00	6204.2
252.00	6830.1
253.00	7505.7
254.00	8181.3
255.00	8856.9
256.00	9532.5
257.00	10026
258.00	10520
259.00	11014
260.00	11407
261.00	11799
262.00	12099
263.00	12399
264.00	12499
265.00	12600
266.00	12494
267.00	12269
268.00	12025
269.00	11570
270.00	11114
271.00	10437
272.00	9760.8
273.00	9084.1
274.00	8368.6
275.00	7641.4
276.00	6914.3
277.00	6210.0
278.00	5541.3
279.00	4872.7
280.00	4204.0
281.00	3539.1
282.00	2993.7
283.00	2448.3
284.00	1965.4
285.00	1717.7
286.00	1469.9
287.00	1316.8
288.00	1247.8
289.00	1213.5
290.00	1185.9
291.00	1185.6
292.00	1195.6
293.00	1205.5
294.00	1234.4
295.00	1274.5
296.00	1314.6
297.00	1367.7
298.00	1459.6
299.00	1551.6
300.00	1643.5
301.00	1735.5
302.00	1827.4
303.00	1936.6
304.00	2051.2
305.00	2165.8
306.00	2280.5
307.00	2395.1
308.00	2509.7
309.00	2624.0
310.00	2738.1
311.00	2852.2
312.00	2966.3
313.00	3062.2
314.00	3137.5
315.00	3212.8
316.00	3288.1
317.00	3359.6
318.00	3400.2
319.00	3440.8
320.00	3481.5
321.00	3514.1
322.00	3528.2
323.00	3542.2
324.00	3554.3
325.00	3535.6
326.00	3505.0
327.00	3434.4
328.00	3363.9
329.00	3279.6
330.00	3176.4
331.00	3073.1
332.00	2933.4
333.00	2780.8
334.00	2628.2
335.00	2475.6
336.00	2323.0
337.00	2170.1
338.00	2017.0
339.00	1863.8
340.00	1710.7
341.00	1557.6
342.00	1404.4
343.00	1280.0
344.00	1187.9
345.00	1095.7
346.00	1003.6
347.00	911.48
348.00	820.67
349.00	730.48
350.00	640.29
