Wavelength (nm)	FL174 [15] 604-59-1, alpha-Naphthoflavone [C]
210.00	21747
211.00	22049
212.00	22370
213.00	22766
214.00	23262
215.00	23873
216.00	24530
217.00	25171
218.00	25764
219.00	26262
220.00	26704
221.00	27101
222.00	27356
223.00	27408
224.00	27177
225.00	26661
226.00	25933
227.00	25068
228.00	24085
229.00	23045
230.00	21926
231.00	20688
232.00	19255
233.00	17515
234.00	15606
235.00	13724
236.00	12081
237.00	10817
238.00	9919.7
239.00	9277.6
240.00	8817.8
241.00	8469.9
242.00	8166.7
243.00	7899.6
244.00	7682.0
245.00	7522.7
246.00	7441.6
247.00	7443.6
248.00	7532.0
249.00	7680.8
250.00	7883.0
251.00	8133.3
252.00	8427.7
253.00	8759.6
254.00	9123.4
255.00	9520.1
256.00	9962.2
257.00	10444
258.00	10957
259.00	11485
260.00	12024
261.00	12582
262.00	13135
263.00	13732
264.00	14322
265.00	14952
266.00	15633
267.00	16323
268.00	17019
269.00	17697
270.00	18305
271.00	18811
272.00	19260
273.00	19666
274.00	20027
275.00	20384
276.00	20737
277.00	21088
278.00	21432
279.00	21713
280.00	21875
281.00	21900
282.00	21757
283.00	21453
284.00	21047
285.00	20566
286.00	20035
287.00	19516
288.00	18969
289.00	18395
290.00	17799
291.00	17164
292.00	16557
293.00	15934
294.00	15344
295.00	14747
296.00	14157
297.00	13549
298.00	12924
299.00	12249
300.00	11550
301.00	10817
302.00	10094
303.00	9395.6
304.00	8818.2
305.00	8347.1
306.00	7962.0
307.00	7662.5
308.00	7439.3
309.00	7248.5
310.00	7085.1
311.00	6931.0
312.00	6768.8
313.00	6589.6
314.00	6406.5
315.00	6206.8
316.00	6010.2
317.00	5808.5
318.00	5614.4
319.00	5425.7
320.00	5217.9
321.00	5020.5
322.00	4838.0
323.00	4654.7
324.00	4486.2
325.00	4319.6
326.00	4173.5
327.00	4038.0
328.00	3923.5
329.00	3814.6
330.00	3722.2
331.00	3644.4
332.00	3570.4
333.00	3500.1
334.00	3428.6
335.00	3363.1
336.00	3302.9
337.00	3256.4
338.00	3220.1
339.00	3211.5
340.00	3222.1
341.00	3246.6
342.00	3281.0
343.00	3323.6
344.00	3366.2
345.00	3400.6
346.00	3425.0
347.00	3419.4
348.00	3385.3
349.00	3321.5
350.00	3211.4
351.00	3065.4
352.00	2898.5
353.00	2706.7
354.00	2498.4
355.00	2290.3
356.00	2091.5
357.00	1884.5
358.00	1677.6
359.00	1475.7
360.00	1293.1
361.00	1122.9
362.00	959.03
363.00	823.05
364.00	713.56
365.00	605.09
366.00	517.87
367.00	433.15
368.00	357.53
369.00	303.15
370.00	256.82
371.00	204.56
372.00	178.47
373.00	146.79
374.00	127.76
375.00	95.800
376.00	90.487
377.00	74.338
378.00	68.404
379.00	55.262
380.00	45.923
381.00	37.443
382.00	35.471
383.00	41.150
384.00	37.571
385.00	25.941
386.00	15.042
387.00	13.595
388.00	6.2124
389.00	11.415
390.00	9.8716
391.00	12.719
392.00	20.929
393.00	15.010
394.00	7.7556
395.00	19.449
396.00	6.4669
397.00	10.954
398.00	16.013
399.00	18.702
400.00	10.731
401.00	10.603
402.00	7.9147
403.00	9.5216
404.00	10.285
405.00	12.369
406.00	9.0284
407.00	6.3556
408.00	6.2283
409.00	17.333
410.00	8.8375
411.00	15.854
412.00	10.572
413.00	16.983
414.00	10.715
415.00	8.3443
416.00	10.906
417.00	17.015
418.00	27.866
419.00	22.759
420.00	15.154
421.00	13.181
422.00	16.363
423.00	14.915
424.00	21.374
425.00	18.527
426.00	20.658
427.00	20.006
428.00	28.597
429.00	21.947
430.00	23.729
431.00	19.545
432.00	19.863
433.00	26.116
434.00	28.391
435.00	20.706
436.00	24.700
437.00	23.347
438.00	26.863
439.00	25.193
440.00	34.755
441.00	37.809
442.00	33.832
443.00	25.495
444.00	28.152
445.00	29.457
446.00	30.077
447.00	32.082
448.00	33.768
449.00	29.361
450.00	26.100
451.00	32.448
452.00	36.346
453.00	40.689
454.00	32.829
455.00	34.293
456.00	36.616
457.00	37.475
458.00	34.373
459.00	28.486
460.00	33.132
461.00	41.930
462.00	28.884
463.00	39.241
464.00	33.848
465.00	30.745
466.00	32.861
467.00	30.204
468.00	44.650
469.00	37.682
470.00	29.488
471.00	36.011
472.00	41.214
473.00	39.162
474.00	43.903
475.00	41.087
476.00	35.455
477.00	43.107
478.00	37.523
479.00	38.430
480.00	31.827
481.00	36.330
482.00	30.523
483.00	29.313
484.00	32.814
485.00	36.505
486.00	36.043
487.00	24.906
488.00	27.665
489.00	32.941
490.00	34.707
491.00	46.003
492.00	43.791
493.00	34.070
494.00	28.820
495.00	34.293
496.00	39.814
497.00	35.248
498.00	31.270
499.00	33.514
500.00	38.843
