Wavelength (nm)	B06 abs e
200.00	41947
201.00	50668
202.00	55950
203.00	61476
204.00	64723
205.00	66841
206.00	67539
207.00	66160
208.00	63088
209.00	59302
210.00	54201
211.00	48506
212.00	42704
213.00	37153
214.00	32282
215.00	28144
216.00	24603
217.00	21775
218.00	19428
219.00	17555
220.00	16006
221.00	14728
222.00	13632
223.00	12696
224.00	11818
225.00	11051
226.00	10316
227.00	9646.6
228.00	9043.0
229.00	8510.8
230.00	8032.1
231.00	7608.3
232.00	7233.1
233.00	6902.6
234.00	6633.6
235.00	6399.0
236.00	6197.5
237.00	6038.0
238.00	5920.6
239.00	5840.9
240.00	5809.6
241.00	5813.6
242.00	5866.7
243.00	5976.5
244.00	6141.7
245.00	6359.2
246.00	6642.0
247.00	6984.7
248.00	7397.1
249.00	7871.4
250.00	8418.4
251.00	9030.5
252.00	9701.9
253.00	10455
254.00	11265
255.00	12147
256.00	13093
257.00	14087
258.00	15151
259.00	16255
260.00	17425
261.00	18646
262.00	19871
263.00	21149
264.00	22446
265.00	23781
266.00	25088
267.00	26405
268.00	27731
269.00	29042
270.00	30314
271.00	31481
272.00	32683
273.00	33833
274.00	34933
275.00	35886
276.00	36780
277.00	37640
278.00	38391
279.00	39083
280.00	39602
281.00	40015
282.00	40302
283.00	40491
284.00	40638
285.00	40700
286.00	40636
287.00	40503
288.00	40331
289.00	40028
290.00	39680
291.00	39235
292.00	38753
293.00	38260
294.00	37625
295.00	36927
296.00	36200
297.00	35357
298.00	34424
299.00	33457
300.00	32382
301.00	31283
302.00	30089
303.00	28844
304.00	27580
305.00	26286
306.00	24950
307.00	23576
308.00	22225
309.00	20848
310.00	19498
311.00	18154
312.00	16868
313.00	15624
314.00	14407
315.00	13220
316.00	12099
317.00	11070
318.00	10035
319.00	9094.1
320.00	8223.0
321.00	7384.0
322.00	6629.9
323.00	5907.9
324.00	5270.1
325.00	4695.6
326.00	4163.1
327.00	3678.0
328.00	3230.1
329.00	2847.8
330.00	2487.9
331.00	2175.7
332.00	1895.0
333.00	1650.9
334.00	1434.8
335.00	1248.9
336.00	1079.1
337.00	921.84
338.00	797.37
339.00	689.07
340.00	583.64
341.00	508.58
342.00	434.60
343.00	370.89
344.00	314.68
345.00	278.27
346.00	235.82
347.00	202.11
348.00	176.72
349.00	149.39
350.00	137.78
351.00	111.23
352.00	106.02
353.00	100.40
354.00	98.217
355.00	82.581
356.00	77.828
357.00	69.585
358.00	58.656
359.00	60.539
360.00	61.917
361.00	56.544
362.00	47.016
363.00	45.454
364.00	49.587
365.00	43.985
366.00	49.840
367.00	52.411
368.00	44.536
369.00	34.640
370.00	44.766
371.00	30.599
372.00	33.194
373.00	36.959
374.00	24.492
375.00	36.270
376.00	47.130
377.00	32.138
378.00	44.972
379.00	40.334
380.00	46.602
381.00	40.380
382.00	47.773
383.00	42.745
384.00	43.663
385.00	42.286
386.00	59.575
387.00	43.112
388.00	42.125
389.00	36.867
390.00	39.439
391.00	53.674
392.00	52.847
393.00	38.888
394.00	40.725
395.00	54.730
396.00	49.932
397.00	31.380
398.00	28.946
399.00	39.645
400.00	41.138
