Wavelength (nm)	FL038 [8] 529-39-5, Sakuranin [D]
247.00	2685.5
248.00	2733.7
249.00	2798.6
250.00	2863.4
251.00	2928.2
252.00	3039.2
253.00	3159.0
254.00	3278.8
255.00	3449.1
256.00	3619.4
257.00	3851.8
258.00	4097.7
259.00	4420.2
260.00	4785.9
261.00	5163.2
262.00	5619.2
263.00	6075.1
264.00	6587.5
265.00	7134.5
266.00	7681.6
267.00	8158.3
268.00	8635.1
269.00	9111.9
270.00	9600.9
271.00	10121
272.00	10642
273.00	11162
274.00	11673
275.00	12126
276.00	12579
277.00	12966
278.00	13276
279.00	13438
280.00	13541
281.00	13600
282.00	13546
283.00	13461
284.00	13301
285.00	12759
286.00	12159
287.00	11541
288.00	10920
289.00	10300
290.00	9680.0
291.00	9070.9
292.00	8463.3
293.00	7855.8
294.00	7248.3
295.00	6707.4
296.00	6209.0
297.00	5758.4
298.00	5487.4
299.00	5252.1
300.00	5058.8
301.00	4868.9
302.00	4731.8
303.00	4594.7
304.00	4457.6
305.00	4367.9
306.00	4283.5
307.00	4199.0
308.00	4114.6
309.00	4047.7
310.00	3986.7
311.00	3925.8
312.00	3864.4
313.00	3792.2
314.00	3719.9
315.00	3647.7
316.00	3573.4
317.00	3494.6
318.00	3415.9
319.00	3326.2
320.00	3231.8
321.00	3137.4
322.00	2992.5
323.00	2839.4
324.00	2684.6
325.00	2528.5
326.00	2373.7
327.00	2240.0
328.00	2106.2
329.00	1977.9
330.00	1856.6
331.00	1735.2
332.00	1620.0
333.00	1514.8
334.00	1409.6
335.00	1313.5
336.00	1228.9
337.00	1144.4
338.00	1063.9
339.00	994.40
340.00	924.92
341.00	855.44
342.00	793.18
343.00	736.59
344.00	680.01
345.00	626.86
346.00	582.54
347.00	538.23
348.00	493.91
349.00	460.97
350.00	431.04
351.00	401.11
352.00	371.18
