Wavelngth (nm)	FL130 [12] 7085-55-4, Troxerutin [C]
210.00	46520
211.00	45026
212.00	43159
213.00	40852
214.00	38337
215.00	35636
216.00	33107
217.00	30801
218.00	28874
219.00	27306
220.00	26018
221.00	24946
222.00	24023
223.00	23187
224.00	22453
225.00	21742
226.00	21080
227.00	20467
228.00	19893
229.00	19369
230.00	18922
231.00	18517
232.00	18190
233.00	17916
234.00	17699
235.00	17592
236.00	17557
237.00	17611
238.00	17758
239.00	17968
240.00	18231
241.00	18546
242.00	18935
243.00	19397
244.00	19922
245.00	20519
246.00	21178
247.00	21884
248.00	22594
249.00	23314
250.00	24011
251.00	24663
252.00	25226
253.00	25682
254.00	25983
255.00	26100
256.00	26001
257.00	25709
258.00	25263
259.00	24736
260.00	24203
261.00	23686
262.00	23249
263.00	22909
264.00	22695
265.00	22539
266.00	22477
267.00	22364
268.00	22244
269.00	21989
270.00	21502
271.00	20803
272.00	19824
273.00	18627
274.00	17236
275.00	15810
276.00	14442
277.00	13248
278.00	12261
279.00	11523
280.00	11007
281.00	10678
282.00	10488
283.00	10400
284.00	10385
285.00	10422
286.00	10482
287.00	10571
288.00	10659
289.00	10759
290.00	10865
291.00	10925
292.00	11011
293.00	11092
294.00	11162
295.00	11222
296.00	11281
297.00	11356
298.00	11440
299.00	11509
300.00	11580
301.00	11632
302.00	11703
303.00	11764
304.00	11843
305.00	11911
306.00	11949
307.00	12004
308.00	12068
309.00	12138
310.00	12198
311.00	12269
312.00	12370
313.00	12468
314.00	12587
315.00	12734
316.00	12884
317.00	13037
318.00	13207
319.00	13422
320.00	13638
321.00	13852
322.00	14070
323.00	14322
324.00	14574
325.00	14838
326.00	15111
327.00	15371
328.00	15640
329.00	15900
330.00	16176
331.00	16454
332.00	16705
333.00	16996
334.00	17255
335.00	17522
336.00	17798
337.00	18028
338.00	18275
339.00	18516
340.00	18740
341.00	18955
342.00	19180
343.00	19383
344.00	19543
345.00	19702
346.00	19887
347.00	20012
348.00	20136
349.00	20233
350.00	20280
351.00	20351
352.00	20357
353.00	20356
354.00	20346
355.00	20280
356.00	20175
357.00	20021
358.00	19853
359.00	19670
360.00	19506
361.00	19284
362.00	19002
363.00	18669
364.00	18323
365.00	17952
366.00	17572
367.00	17137
368.00	16677
369.00	16238
370.00	15701
371.00	15166
372.00	14672
373.00	14096
374.00	13543
375.00	13006
376.00	12432
377.00	11810
378.00	11259
379.00	10692
380.00	10126
381.00	9567.7
382.00	9026.1
383.00	8467.2
384.00	7928.6
385.00	7383.0
386.00	6894.5
387.00	6411.1
388.00	5955.6
389.00	5527.0
390.00	5074.9
391.00	4659.2
392.00	4270.0
393.00	3908.5
394.00	3555.9
395.00	3252.5
396.00	2939.1
397.00	2682.0
398.00	2420.5
399.00	2191.7
400.00	1970.8
401.00	1780.8
402.00	1595.7
403.00	1441.2
404.00	1320.8
405.00	1173.0
406.00	1038.1
407.00	931.81
408.00	862.03
409.00	788.12
410.00	684.56
411.00	624.52
412.00	588.59
413.00	531.96
414.00	479.62
415.00	423.94
416.00	393.29
417.00	386.75
418.00	327.91
419.00	307.13
420.00	305.91
421.00	305.85
422.00	284.02
423.00	261.92
424.00	220.78
425.00	196.17
426.00	187.95
427.00	181.38
428.00	224.81
429.00	177.25
430.00	223.45
431.00	178.28
432.00	141.29
433.00	151.56
434.00	165.36
435.00	119.72
436.00	130.32
437.00	136.01
438.00	137.29
439.00	148.95
440.00	132.60
441.00	157.24
442.00	137.16
443.00	124.98
444.00	140.66
445.00	118.87
446.00	109.98
447.00	105.95
448.00	122.10
449.00	115.50
450.00	123.59
451.00	124.78
452.00	108.00
453.00	117.71
454.00	90.796
455.00	81.054
456.00	102.78
457.00	114.37
458.00	123.29
459.00	135.94
460.00	117.25
461.00	100.01
462.00	104.43
463.00	84.917
464.00	118.93
465.00	130.72
466.00	111.20
467.00	82.011
468.00	83.828
469.00	82.408
470.00	67.415
471.00	95.782
472.00	125.24
473.00	113.19
474.00	112.23
475.00	102.72
476.00	85.974
477.00	85.347
478.00	93.074
479.00	84.818
480.00	92.579
481.00	91.588
482.00	71.675
483.00	88.814
484.00	89.871
485.00	82.474
486.00	169.42
487.00	27.522
488.00	22.838
489.00	33.797
490.00	80.558
491.00	64.344
492.00	83.002
493.00	99.514
494.00	82.441
495.00	70.981
496.00	92.051
497.00	82.143
498.00	53.413
499.00	69.429
500.00	53.050
