Wavelength (nm)	A10 abs e
230.00	203.49
230.25	189.01
230.50	175.96
230.75	160.59
231.00	153.89
231.25	142.98
231.50	134.79
231.75	128.04
232.00	118.58
232.25	113.08
232.50	105.83
232.75	100.37
233.00	101.37
233.25	94.428
233.50	93.356
233.75	89.119
234.00	83.486
234.25	85.409
234.50	79.997
234.75	78.857
235.00	74.058
235.25	71.710
235.50	72.289
235.75	71.012
236.00	72.544
236.25	72.442
236.50	71.080
236.75	73.429
237.00	74.331
237.25	74.909
237.50	76.288
237.75	76.713
238.00	79.861
238.25	77.002
238.50	80.031
238.75	78.364
239.00	80.848
239.25	80.168
239.50	82.635
239.75	84.626
240.00	86.090
240.25	91.314
240.50	89.238
240.75	93.033
241.00	97.185
241.25	100.45
241.50	101.83
241.75	104.72
242.00	107.34
242.25	109.98
242.50	111.31
242.75	117.84
243.00	119.12
243.25	127.83
243.50	133.30
243.75	134.79
244.00	140.32
244.25	148.24
244.50	154.18
244.75	156.18
245.00	159.35
245.25	162.00
245.50	167.02
245.75	168.72
246.00	175.79
246.25	180.09
246.50	187.31
246.75	192.48
247.00	197.94
247.25	203.56
247.50	213.39
247.75	218.84
248.00	226.36
248.25	234.97
248.50	246.17
248.75	259.09
249.00	269.93
249.25	279.73
249.50	293.49
249.75	305.90
250.00	310.44
250.25	319.12
250.50	327.38
250.75	339.92
251.00	345.86
251.25	356.51
251.50	366.48
251.75	376.06
252.00	385.51
252.25	397.11
252.50	407.19
252.75	420.29
253.00	426.98
253.25	438.91
253.50	447.18
253.75	462.05
254.00	476.65
254.25	498.58
254.50	520.09
254.75	547.37
255.00	568.64
255.25	578.45
255.50	589.46
255.75	609.42
256.00	628.49
256.25	648.27
256.50	663.94
256.75	680.85
257.00	698.21
257.25	720.91
257.50	746.00
257.75	769.67
258.00	793.05
258.25	812.96
258.50	835.27
258.75	843.04
259.00	850.65
259.25	851.35
259.50	849.36
259.75	860.37
260.00	870.66
260.25	895.13
260.50	922.45
260.75	953.40
261.00	991.54
261.25	1023.9
261.50	1055.2
261.75	1083.6
262.00	1108.0
262.25	1141.2
262.50	1186.2
262.75	1235.3
263.00	1289.5
263.25	1350.7
263.50	1414.6
263.75	1474.6
264.00	1520.2
264.25	1545.1
264.50	1555.3
264.75	1531.4
265.00	1488.6
265.25	1446.6
265.50	1395.3
265.75	1352.9
266.00	1324.2
266.25	1314.4
266.50	1309.6
266.75	1320.7
267.00	1344.9
267.25	1366.9
267.50	1393.2
267.75	1408.2
268.00	1420.8
268.25	1427.3
268.50	1450.8
268.75	1498.6
269.00	1581.5
269.25	1700.6
269.50	1855.9
269.75	2018.0
270.00	2169.3
270.25	2289.8
270.50	2339.8
270.75	2340.0
271.00	2284.4
271.25	2163.3
271.50	2010.7
271.75	1840.2
272.00	1665.3
272.25	1522.1
272.50	1403.9
272.75	1315.4
273.00	1245.7
273.25	1194.6
273.50	1143.8
273.75	1100.9
274.00	1054.2
274.25	1014.2
274.50	978.50
274.75	962.66
275.00	960.92
275.25	997.17
275.50	1074.3
275.75	1208.1
276.00	1409.2
276.25	1650.8
276.50	1910.7
276.75	2101.7
277.00	2195.9
277.25	2143.0
277.50	1999.6
277.75	1804.8
278.00	1597.7
278.25	1397.3
278.50	1220.3
278.75	1051.3
279.00	908.08
279.25	782.29
279.50	669.79
279.75	573.63
280.00	496.44
280.25	434.02
280.50	379.57
280.75	335.31
281.00	293.53
281.25	263.14
281.50	227.89
281.75	197.70
282.00	174.83
282.25	150.11
282.50	130.50
282.75	117.91
283.00	103.79
283.25	93.322
283.50	81.869
283.75	75.267
284.00	63.423
284.25	60.955
284.50	58.233
284.75	53.076
285.00	46.848
285.25	41.913
285.50	39.599
285.75	33.081
286.00	29.116
286.25	28.708
286.50	23.467
286.75	23.364
287.00	18.378
287.25	17.562
287.50	17.681
287.75	19.400
288.00	14.039
288.25	15.128
288.50	13.920
288.75	11.844
289.00	11.606
289.25	11.623
289.50	9.8019
289.75	10.193
290.00	7.9640
290.25	7.2663
290.50	6.9260
290.75	3.1482
291.00	7.9980
291.25	5.8539
291.50	4.9179
291.75	5.7007
292.00	7.3854
292.25	6.6537
292.50	8.1342
292.75	8.7808
293.00	7.9810
293.25	4.8499
293.50	1.9740
293.75	2.7227
294.00	3.9480
294.25	6.1432
294.50	5.2413
294.75	3.6587
295.00	3.9650
295.25	2.7227
295.50	2.4164
295.75	5.8879
296.00	7.1812
296.25	9.5806
296.50	8.8319
296.75	4.6457
297.00	7.6917
297.25	6.1942
297.50	8.6787
297.75	6.3474
298.00	7.1812
298.25	5.5306
298.50	5.2583
298.75	5.3774
299.00	2.8929
299.25	4.2202
299.50	4.1862
299.75	6.9430
300.00	5.6497
300.25	4.2032
300.50	10.585
300.75	7.4024
301.00	5.1902
301.25	2.7908
301.50	6.3304
301.75	4.3053
302.00	5.5986
302.25	5.5306
302.50	3.1652
302.75	6.5005
303.00	5.4965
303.25	7.7598
303.50	5.7178
303.75	9.1382
304.00	8.5936
304.25	3.7778
304.50	3.0290
304.75	6.7218
305.00	7.8959
305.25	7.9130
305.50	9.4615
305.75	3.7438
306.00	2.9440
306.25	4.5436
306.50	6.3133
306.75	8.1342
307.00	8.9680
307.25	8.4065
307.50	5.8199
307.75	7.1642
308.00	5.4965
308.25	7.7768
308.50	5.9900
308.75	7.2323
309.00	2.7398
309.25	6.2793
309.50	4.2883
309.75	11.980
310.00	7.0111
310.25	5.7178
310.50	10.346
310.75	17.221
311.00	11.640
311.25	7.6577
311.50	2.1612
311.75	3.0290
312.00	-7.0111
312.25	13.409
312.50	12.371
312.75	-0.69770
313.00	14.056
313.25	-4.4415
313.50	8.5596
313.75	1.3954
314.00	16.336
314.25	5.7858
314.50	12.218
314.75	10.159
315.00	5.7518
315.25	-0.59560
315.50	15.435
315.75	10.295
316.00	13.682
316.25	5.9049
316.50	4.3734
316.75	9.3424
317.00	2.7738
317.25	11.606
317.50	4.5776
317.75	6.3644
318.00	6.4495
318.25	4.1011
318.50	16.830
318.75	10.789
319.00	6.2283
319.25	-7.4024
319.50	14.056
319.75	9.7848
320.00	20.301
320.25	18.991
320.50	12.150
320.75	10.040
321.00	10.295
321.25	12.729
321.50	8.5086
321.75	4.9520
322.00	6.4665
322.25	1.4465
322.50	6.5005
322.75	-4.5095
323.00	14.618
323.25	2.3994
323.50	4.9009
323.75	3.9310
324.00	1.6166
324.25	-5.2583
324.50	15.247
324.75	11.555
325.00	2.8759
325.25	8.9850
325.50	14.107
325.75	4.1522
326.00	9.9210
326.25	-1.4805
326.50	11.197
326.75	1.8549
327.00	6.3644
327.25	5.6667
327.50	7.4875
327.75	8.7468
328.00	11.589
328.25	5.3264
328.50	1.4294
328.75	9.2233
329.00	9.7168
329.25	11.929
329.50	14.107
329.75	11.980
330.00	15.486
330.25	5.3944
330.50	9.1722
330.75	13.069
331.00	0.57858
331.25	8.3044
331.50	-4.2373
331.75	13.801
332.00	0.61262
332.25	10.057
332.50	6.0411
332.75	7.7938
333.00	6.7978
333.25	11.521
333.50	8.7978
333.75	6.4155
334.00	15.026
334.25	5.9220
334.50	9.2743
334.75	7.9470
335.00	8.4235
335.25	6.8919
335.50	12.491
335.75	6.9770
336.00	10.857
336.25	10.125
336.50	2.7738
336.75	9.5466
337.00	3.8459
337.25	2.5866
337.50	7.4535
337.75	4.8839
338.00	14.124
338.25	-0.90191
338.50	6.8239
338.75	7.1982
339.00	3.7948
339.25	-5.8709
339.50	9.8869
339.75	9.5126
340.00	8.8489
340.25	2.6377
340.50	4.3564
340.75	17.562
341.00	9.0701
341.25	10.329
341.50	1.6166
341.75	7.1642
342.00	2.4845
342.25	12.014
342.50	10.210
342.75	5.8709
343.00	11.487
343.25	3.1141
343.50	6.2283
343.75	8.4575
344.00	8.0661
344.25	3.4715
344.50	4.8499
344.75	3.0461
345.00	9.9380
345.25	10.108
345.50	8.3554
345.75	4.3734
346.00	13.018
346.25	5.4625
346.50	-0.13614
346.75	9.0021
347.00	11.061
347.25	7.2493
347.50	1.3784
347.75	5.9390
348.00	7.7938
348.25	6.6026
348.50	6.3304
348.75	5.8369
349.00	-0.59560
349.25	6.9940
349.50	4.9520
349.75	3.7948
350.00	5.1562
350.25	1.9570
350.50	2.5355
350.75	8.5256
351.00	11.572
351.25	9.0021
351.50	11.810
351.75	8.0321
352.00	13.069
352.25	11.742
352.50	9.3424
352.75	6.8239
353.00	11.316
353.25	4.6287
353.50	6.8239
353.75	6.9430
354.00	8.7808
354.25	2.7057
354.50	11.078
354.75	2.8759
355.00	8.9170
355.25	4.6287
355.50	6.1432
355.75	8.1001
356.00	6.2793
356.25	4.7137
356.50	7.6407
356.75	8.0831
357.00	10.568
357.25	7.1812
357.50	11.282
357.75	0.23824
358.00	4.8499
358.25	11.657
358.50	7.1642
358.75	8.5256
359.00	2.8589
359.25	9.3084
359.50	6.3474
359.75	7.7258
360.00	6.6877
360.25	2.5185
360.50	0.47648
360.75	7.8789
361.00	7.4535
361.25	5.2923
361.50	3.2843
361.75	5.9390
362.00	5.0711
362.25	4.8158
362.50	11.708
362.75	8.5256
363.00	2.3484
363.25	6.0070
363.50	4.9009
363.75	10.006
364.00	7.2153
364.25	8.3554
364.50	6.8239
364.75	7.8959
365.00	5.9049
365.25	6.8579
365.50	11.146
365.75	6.8919
366.00	6.9260
366.25	3.4885
366.50	9.8189
366.75	9.6657
367.00	8.3554
367.25	6.7047
367.50	5.6156
367.75	6.3984
368.00	10.346
368.25	11.810
368.50	11.504
368.75	7.8109
369.00	12.388
369.25	9.7168
369.50	0.47648
369.75	6.1942
370.00	5.4285
370.25	3.2843
370.50	11.844
370.75	5.1222
371.00	4.2202
371.25	6.0070
371.50	7.6577
371.75	17.187
372.00	5.2583
372.25	5.5816
372.50	9.8189
372.75	11.044
373.00	6.6197
373.25	7.0111
373.50	9.9550
373.75	5.1732
374.00	7.3514
374.25	5.3264
374.50	7.0111
374.75	0.83384
375.00	6.4325
375.25	4.3564
375.50	6.6197
375.75	2.1442
376.00	3.4204
376.25	7.3684
376.50	8.1172
376.75	12.780
377.00	7.1132
377.25	8.3724
377.50	9.6657
377.75	11.384
378.00	4.0501
378.25	7.0451
