Wavelength (nm)	D02 abs e
240.00	6219.6
241.00	5742.7
242.00	5432.1
243.00	5282.7
244.00	5266.3
245.00	5354.1
246.00	5518.2
247.00	5737.9
248.00	5989.2
249.00	6266.5
250.00	6541.6
251.00	6810.6
252.00	7058.3
253.00	7278.9
254.00	7494.9
255.00	7699.9
256.00	7909.0
257.00	8112.4
258.00	8326.5
259.00	8543.6
260.00	8748.7
261.00	8934.8
262.00	9092.0
263.00	9218.4
264.00	9329.2
265.00	9436.1
266.00	9539.0
267.00	9638.7
268.00	9732.5
269.00	9828.8
270.00	9911.0
271.00	9979.9
272.00	10049
273.00	10108
274.00	10154
275.00	10188
276.00	10200
277.00	10199
278.00	10195
279.00	10168
280.00	10126
281.00	10078
282.00	9993.7
283.00	9909.5
284.00	9807.7
285.00	9676.2
286.00	9534.4
287.00	9376.8
288.00	9198.7
289.00	9017.2
290.00	8819.5
291.00	8608.2
292.00	8385.6
293.00	8145.6
294.00	7894.2
295.00	7638.0
296.00	7367.6
297.00	7089.3
298.00	6810.5
299.00	6532.9
300.00	6249.0
301.00	5969.8
302.00	5691.6
303.00	5424.3
304.00	5159.3
305.00	4904.0
306.00	4649.5
307.00	4405.8
308.00	4160.2
309.00	3910.1
310.00	3661.5
311.00	3413.4
312.00	3170.0
313.00	2937.9
314.00	2714.8
315.00	2500.9
316.00	2304.1
317.00	2119.3
318.00	1948.9
319.00	1789.8
320.00	1642.1
321.00	1501.2
322.00	1365.8
323.00	1231.1
324.00	1096.6
325.00	968.16
326.00	843.15
327.00	726.72
328.00	623.58
329.00	531.14
330.00	451.73
331.00	387.57
332.00	331.92
333.00	285.58
334.00	243.91
335.00	212.35
336.00	182.86
337.00	159.92
338.00	138.99
339.00	124.11
340.00	107.10
341.00	95.622
342.00	83.888
343.00	76.400
344.00	69.514
345.00	64.200
346.00	58.099
347.00	52.969
348.00	50.489
349.00	47.384
350.00	44.610
351.00	43.701
352.00	41.897
353.00	39.430
354.00	38.399
355.00	38.227
356.00	35.944
357.00	36.852
358.00	34.815
359.00	37.233
360.00	47.629
361.00	64.936
362.00	89.804
363.00	125.79
364.00	160.64
365.00	161.57
366.00	113.83
367.00	35.134
368.00	32.253
369.00	49.952
370.00	31.847
371.00	1.5895
372.00	21.043
373.00	24.934
374.00	22.835
375.00	21.656
376.00	14.906
377.00	17.115
378.00	20.576
379.00	22.847
380.00	18.195
381.00	19.914
382.00	13.531
383.00	19.054
384.00	17.459
385.00	18.367
386.00	14.611
387.00	18.625
388.00	18.232
389.00	15.016
390.00	11.236
391.00	17.839
392.00	19.852
393.00	18.932
394.00	10.720
395.00	8.0564
396.00	12.978
397.00	18.637
398.00	18.195
399.00	12.880
400.00	5.9698
