Wavelength (nm)	EtioP I (in 1-propanol).abs
300.00	0.064176
301.00	0.064917
302.00	0.066108
303.00	0.067160
304.00	0.067821
305.00	0.070063
306.00	0.070621
307.00	0.071753
308.00	0.073227
309.00	0.074670
310.00	0.075704
311.00	0.077084
312.00	0.078666
313.00	0.079340
314.00	0.081308
315.00	0.084374
316.00	0.086500
317.00	0.087718
318.00	0.090648
319.00	0.092293
320.00	0.093673
321.00	0.096149
322.00	0.098473
323.00	0.10060
324.00	0.10197
325.00	0.10419
326.00	0.10580
327.00	0.10722
328.00	0.10789
329.00	0.11035
330.00	0.11194
331.00	0.11360
332.00	0.11625
333.00	0.11908
334.00	0.12114
335.00	0.12495
336.00	0.12802
337.00	0.13195
338.00	0.13655
339.00	0.14126
340.00	0.14713
341.00	0.15303
342.00	0.15980
343.00	0.16657
344.00	0.17407
345.00	0.18164
346.00	0.18882
347.00	0.19653
348.00	0.20310
349.00	0.20975
350.00	0.21517
351.00	0.22248
352.00	0.22972
353.00	0.23752
354.00	0.24980
355.00	0.25968
356.00	0.27102
357.00	0.28349
358.00	0.29594
359.00	0.31126
360.00	0.32804
361.00	0.34607
362.00	0.36519
363.00	0.38482
364.00	0.40510
365.00	0.42709
366.00	0.44984
367.00	0.47333
368.00	0.49504
369.00	0.51542
370.00	0.53227
371.00	0.54874
372.00	0.56317
373.00	0.57513
374.00	0.58554
375.00	0.59583
376.00	0.60603
377.00	0.61679
378.00	0.63164
379.00	0.64837
380.00	0.66306
381.00	0.68337
382.00	0.70738
383.00	0.73246
384.00	0.75754
385.00	0.78412
386.00	0.81125
387.00	0.84284
388.00	0.87507
389.00	0.89882
390.00	0.92412
391.00	0.94735
392.00	0.97440
393.00	0.99586
394.00	0.99825
395.00	1.0000
396.00	0.99458
397.00	0.98379
398.00	0.96990
399.00	0.94031
400.00	0.90067
401.00	0.85504
402.00	0.80748
403.00	0.75888
404.00	0.70896
405.00	0.66178
406.00	0.61028
407.00	0.55612
408.00	0.50740
409.00	0.46144
410.00	0.41867
411.00	0.37949
412.00	0.34525
413.00	0.31391
414.00	0.28178
415.00	0.25020
416.00	0.22466
417.00	0.20226
418.00	0.18183
419.00	0.16441
420.00	0.14980
421.00	0.14171
422.00	0.13059
423.00	0.11601
424.00	0.10260
425.00	0.091169
426.00	0.079686
427.00	0.076270
428.00	0.071407
429.00	0.069641
430.00	0.065510
431.00	0.063209
432.00	0.050683
433.00	0.047025
434.00	0.037654
435.00	0.037474
436.00	0.037640
437.00	0.036872
438.00	0.035375
439.00	0.032791
440.00	0.032000
441.00	0.031613
442.00	0.026310
443.00	0.027460
444.00	0.026422
445.00	0.024242
446.00	0.024175
447.00	0.022211
448.00	0.022584
449.00	0.021325
450.00	0.020188
451.00	0.017792
452.00	0.017433
