Wavelenghth (nm)	EtioP I (in 1-propanol).ems
570.00	0.0025204
571.00	0.0030061
572.00	0.0029198
573.00	0.0031619
574.00	0.0034056
575.00	0.0035123
576.00	0.0037249
577.00	0.0037176
578.00	0.0040792
579.00	0.0039871
580.00	0.0040078
581.00	0.0042978
582.00	0.0041320
583.00	0.0040552
584.00	0.0043101
585.00	0.0044405
586.00	0.0045788
587.00	0.0052568
588.00	0.0054741
589.00	0.0066149
590.00	0.0070796
591.00	0.0079200
592.00	0.0088658
593.00	0.0098382
594.00	0.010889
595.00	0.011541
596.00	0.012553
597.00	0.013243
598.00	0.014536
599.00	0.016438
600.00	0.018241
601.00	0.021791
602.00	0.025765
603.00	0.031639
604.00	0.038792
605.00	0.050494
606.00	0.063441
607.00	0.079598
608.00	0.10036
609.00	0.12659
610.00	0.16116
611.00	0.20424
612.00	0.26083
613.00	0.32976
614.00	0.42085
615.00	0.53034
616.00	0.64375
617.00	0.76176
618.00	0.84920
619.00	0.92594
620.00	0.97327
621.00	1.0000
622.00	0.97328
623.00	0.91010
624.00	0.78202
625.00	0.65454
626.00	0.52961
627.00	0.42772
628.00	0.35906
629.00	0.30281
630.00	0.26397
631.00	0.23393
632.00	0.21022
633.00	0.18502
634.00	0.16043
635.00	0.14190
636.00	0.12622
637.00	0.11070
638.00	0.098778
639.00	0.091474
640.00	0.088561
641.00	0.086187
642.00	0.086833
643.00	0.087881
644.00	0.093126
645.00	0.096468
646.00	0.10218
647.00	0.10949
648.00	0.11532
649.00	0.11968
650.00	0.12232
651.00	0.12679
652.00	0.12838
653.00	0.12850
654.00	0.12560
655.00	0.12641
656.00	0.12417
657.00	0.12368
658.00	0.12443
659.00	0.12747
660.00	0.12857
661.00	0.13448
662.00	0.14414
663.00	0.15069
664.00	0.15732
665.00	0.16700
666.00	0.17188
667.00	0.18180
668.00	0.19031
669.00	0.19774
670.00	0.20354
671.00	0.21220
672.00	0.20959
673.00	0.21946
674.00	0.21988
675.00	0.22578
676.00	0.23104
677.00	0.23477
678.00	0.25038
679.00	0.25565
680.00	0.26796
681.00	0.29046
682.00	0.30233
683.00	0.32276
684.00	0.33620
685.00	0.34626
686.00	0.35126
687.00	0.34812
688.00	0.34519
689.00	0.33431
690.00	0.31974
691.00	0.29915
692.00	0.27101
693.00	0.24170
694.00	0.20815
695.00	0.17959
696.00	0.15359
697.00	0.13323
698.00	0.11810
699.00	0.10572
700.00	0.092567
701.00	0.086907
702.00	0.076516
703.00	0.069388
704.00	0.064736
705.00	0.058153
706.00	0.054266
707.00	0.047138
708.00	0.044254
709.00	0.041141
710.00	0.037369
711.00	0.035586
712.00	0.031770
713.00	0.029744
714.00	0.029041
715.00	0.026842
716.00	0.026385
717.00	0.025707
718.00	0.026698
719.00	0.025834
720.00	0.022610
721.00	0.023830
722.00	0.023158
723.00	0.022690
724.00	0.021815
725.00	0.022652
726.00	0.021541
727.00	0.020249
728.00	0.020806
729.00	0.019393
730.00	0.018662
731.00	0.020072
732.00	0.018685
733.00	0.017341
734.00	0.017465
735.00	0.015627
736.00	0.016683
737.00	0.015979
738.00	0.015608
739.00	0.015144
740.00	0.015959
741.00	0.015114
742.00	0.014746
743.00	0.014757
744.00	0.015145
745.00	0.013378
746.00	0.013447
747.00	0.014438
748.00	0.013145
749.00	0.013781
750.00	0.013064
