Wavelength (nm)	8, Cj-PxB-1, CJPXB1
210.00	0.57793
211.00	0.66627
212.00	0.75461
213.00	0.80897
214.00	0.86332
215.00	0.89107
216.00	0.91882
217.00	0.92597
218.00	0.93313
219.00	0.92159
220.00	0.91005
221.00	0.88662
222.00	0.86318
223.00	0.83295
224.00	0.80272
225.00	0.77672
226.00	0.75073
227.00	0.73078
228.00	0.71082
229.00	0.69704
230.00	0.68325
231.00	0.67602
232.00	0.66878
233.00	0.66627
234.00	0.66375
235.00	0.66534
236.00	0.66692
237.00	0.67145
238.00	0.67598
239.00	0.68339
240.00	0.69081
241.00	0.70017
242.00	0.70952
243.00	0.71880
244.00	0.72808
245.00	0.73401
246.00	0.73994
247.00	0.74081
248.00	0.74168
249.00	0.73669
250.00	0.73170
251.00	0.72223
252.00	0.71276
253.00	0.70065
254.00	0.68853
255.00	0.67584
256.00	0.66315
257.00	0.65266
258.00	0.64216
259.00	0.63481
260.00	0.62746
261.00	0.62464
262.00	0.62181
263.00	0.62329
264.00	0.62476
265.00	0.62861
266.00	0.63247
267.00	0.63842
268.00	0.64437
269.00	0.65073
270.00	0.65709
271.00	0.66382
272.00	0.67055
273.00	0.67601
274.00	0.68147
275.00	0.68662
276.00	0.69176
277.00	0.69556
278.00	0.69936
279.00	0.70310
280.00	0.70683
281.00	0.70968
282.00	0.71252
283.00	0.71587
284.00	0.71922
285.00	0.72318
286.00	0.72715
287.00	0.73312
288.00	0.73910
289.00	0.74624
290.00	0.75338
291.00	0.76216
292.00	0.77094
293.00	0.78195
294.00	0.79297
295.00	0.80505
296.00	0.81713
297.00	0.83020
298.00	0.84327
299.00	0.85876
300.00	0.87425
301.00	0.88761
302.00	0.90098
303.00	0.91592
304.00	0.93086
305.00	0.94379
306.00	0.95671
307.00	0.96770
308.00	0.97869
309.00	0.98612
310.00	0.99355
311.00	0.99677
312.00	1.00000
313.00	0.99798
314.00	0.99596
315.00	0.98889
316.00	0.98183
317.00	0.96916
318.00	0.95650
319.00	0.93826
320.00	0.92002
321.00	0.89518
322.00	0.87034
323.00	0.84154
324.00	0.81273
325.00	0.77973
326.00	0.74673
327.00	0.71027
328.00	0.67381
329.00	0.63625
330.00	0.59868
331.00	0.55955
332.00	0.52043
333.00	0.48227
334.00	0.44411
335.00	0.40946
336.00	0.37481
337.00	0.34407
338.00	0.31334
339.00	0.28770
340.00	0.26207
341.00	0.24152
342.00	0.22098
343.00	0.20508
344.00	0.18917
345.00	0.17728
346.00	0.16539
347.00	0.15793
348.00	0.15046
349.00	0.14559
350.00	0.14071
351.00	0.13825
352.00	0.13579
353.00	0.13472
354.00	0.13364
355.00	0.13432
356.00	0.13499
357.00	0.13663
358.00	0.13828
359.00	0.14123
360.00	0.14419
361.00	0.14781
362.00	0.15142
363.00	0.15554
364.00	0.15967
365.00	0.16461
366.00	0.16956
367.00	0.17557
368.00	0.18158
369.00	0.18741
370.00	0.19323
371.00	0.20072
372.00	0.20821
373.00	0.21584
374.00	0.22346
375.00	0.23194
376.00	0.24041
377.00	0.24945
378.00	0.25849
379.00	0.26862
380.00	0.27875
381.00	0.28866
382.00	0.29858
383.00	0.30916
384.00	0.31975
385.00	0.33095
386.00	0.34216
387.00	0.35444
388.00	0.36671
389.00	0.37848
390.00	0.39024
391.00	0.40378
392.00	0.41733
393.00	0.43022
394.00	0.44312
395.00	0.45743
396.00	0.47175
397.00	0.48557
398.00	0.49940
399.00	0.51305
400.00	0.52670
401.00	0.54101
402.00	0.55533
403.00	0.57079
404.00	0.58624
405.00	0.60047
406.00	0.61471
407.00	0.62890
408.00	0.64310
409.00	0.65720
410.00	0.67130
411.00	0.68577
412.00	0.70024
413.00	0.71438
414.00	0.72852
415.00	0.74163
416.00	0.75474
417.00	0.76735
418.00	0.77997
419.00	0.79279
420.00	0.80561
421.00	0.81683
422.00	0.82806
423.00	0.83768
424.00	0.84730
425.00	0.85722
426.00	0.86713
427.00	0.87494
428.00	0.88276
429.00	0.88938
430.00	0.89599
431.00	0.90108
432.00	0.90617
433.00	0.91020
434.00	0.91423
435.00	0.91685
436.00	0.91948
437.00	0.91970
438.00	0.91993
439.00	0.91877
440.00	0.91762
441.00	0.91549
442.00	0.91337
443.00	0.90887
444.00	0.90437
445.00	0.89913
446.00	0.89389
447.00	0.88562
448.00	0.87736
449.00	0.86759
450.00	0.85782
451.00	0.84608
452.00	0.83435
453.00	0.82041
454.00	0.80647
455.00	0.79043
456.00	0.77439
457.00	0.75653
458.00	0.73867
459.00	0.72135
460.00	0.70404
461.00	0.68425
462.00	0.66447
463.00	0.64237
464.00	0.62027
465.00	0.59966
466.00	0.57905
467.00	0.55954
468.00	0.54003
469.00	0.51899
470.00	0.49795
471.00	0.47382
472.00	0.44969
473.00	0.42758
474.00	0.40547
475.00	0.38544
476.00	0.36542
477.00	0.34635
478.00	0.32728
479.00	0.30905
480.00	0.29082
481.00	0.27341
482.00	0.25601
483.00	0.23345
484.00	0.21089
485.00	0.19953
486.00	0.18818
487.00	0.17959
488.00	0.17100
489.00	0.15962
490.00	0.14823
491.00	0.13721
492.00	0.12619
493.00	0.11577
494.00	0.10534
495.00	0.097048
496.00	0.088754
497.00	0.081450
498.00	0.074146
499.00	0.067840
500.00	0.061535
501.00	0.056146
502.00	0.050756
503.00	0.046563
504.00	0.042369
505.00	0.038780
506.00	0.035191
507.00	0.031931
508.00	0.028671
509.00	0.026163
510.00	0.023654
511.00	0.021718
512.00	0.019781
513.00	0.017992
514.00	0.016203
515.00	0.014726
516.00	0.013248
517.00	0.012285
518.00	0.011321
519.00	0.010550
520.00	0.0097784
521.00	0.0092391
522.00	0.0086997
523.00	0.0079611
524.00	0.0072224
525.00	0.0067806
526.00	0.0063387
527.00	0.0057733
528.00	0.0052080
529.00	0.0048419
530.00	0.0044758
531.00	0.0043090
532.00	0.0041423
533.00	0.0035141
534.00	0.0028859
535.00	0.0027863
536.00	0.0026867
537.00	0.0023964
538.00	0.0021061
539.00	0.0021018
540.00	0.0020975
541.00	0.0017704
542.00	0.0014433
543.00	0.0015538
544.00	0.0016643
545.00	0.0014498
546.00	0.0012354
547.00	0.0012245
548.00	0.0012137
549.00	0.0015646
550.00	0.0019155
