Wavelength (nm)	A33 abs1 e
255.00	1839.9
256.00	1862.4
257.00	1848.8
258.00	1834.4
259.00	1826.6
260.00	1824.4
261.00	1857.3
262.00	1903.0
263.00	1910.0
264.00	1853.2
265.00	1780.9
266.00	1726.3
267.00	1670.8
268.00	1585.8
269.00	1483.0
270.00	1378.6
271.00	1316.5
272.00	1285.9
273.00	1273.6
274.00	1145.2
275.00	910.20
276.00	682.20
277.00	516.69
278.00	420.31
279.00	361.71
280.00	315.45
281.00	282.00
282.00	258.09
283.00	237.14
284.00	216.35
285.00	196.17
286.00	182.92
287.00	170.10
288.00	150.90
289.00	139.79
290.00	118.78
291.00	105.85
292.00	89.670
293.00	79.931
294.00	63.727
295.00	43.983
296.00	39.100
297.00	25.037
298.00	18.852
299.00	12.891
300.00	2.6342
