Wavelength (nm)	Toly F (2012)
300.00	0.10230
301.00	0.10431
302.00	0.10601
303.00	0.10618
304.00	0.10574
305.00	0.10626
306.00	0.10775
307.00	0.10778
308.00	0.10685
309.00	0.10722
310.00	0.10603
311.00	0.10399
312.00	0.10134
313.00	0.096114
314.00	0.093712
315.00	0.087578
316.00	0.082418
317.00	0.078154
318.00	0.075131
319.00	0.072236
320.00	0.067896
321.00	0.065467
322.00	0.064160
323.00	0.060496
324.00	0.059904
325.00	0.059485
326.00	0.060895
327.00	0.060365
328.00	0.061417
329.00	0.062110
330.00	0.063181
331.00	0.061096
332.00	0.062195
333.00	0.063003
334.00	0.064131
335.00	0.067148
336.00	0.068105
337.00	0.067145
338.00	0.066835
339.00	0.069600
340.00	0.071438
341.00	0.073511
342.00	0.075464
343.00	0.077892
344.00	0.083428
345.00	0.085057
346.00	0.090196
347.00	0.095302
348.00	0.098041
349.00	0.10092
350.00	0.10529
351.00	0.11085
352.00	0.11282
353.00	0.11856
354.00	0.12334
355.00	0.12823
356.00	0.13355
357.00	0.13821
358.00	0.14574
359.00	0.15137
360.00	0.15902
361.00	0.16852
362.00	0.17708
363.00	0.18410
364.00	0.19301
365.00	0.20589
366.00	0.22060
367.00	0.23311
368.00	0.24832
369.00	0.26274
370.00	0.27995
371.00	0.29751
372.00	0.31414
373.00	0.32893
374.00	0.34469
375.00	0.36334
376.00	0.38271
377.00	0.40087
378.00	0.41651
379.00	0.43392
380.00	0.45278
381.00	0.47640
382.00	0.50081
383.00	0.52445
384.00	0.54873
385.00	0.57803
386.00	0.61206
387.00	0.65036
388.00	0.68755
389.00	0.72301
390.00	0.76276
391.00	0.80834
392.00	0.85027
393.00	0.88308
394.00	0.91651
395.00	0.93826
396.00	0.96146
397.00	0.97763
398.00	0.98635
399.00	0.99349
400.00	0.99845
401.00	1.00000
402.00	0.99589
403.00	0.98330
404.00	0.96287
405.00	0.93269
406.00	0.89084
407.00	0.83701
408.00	0.77054
409.00	0.69855
410.00	0.62917
411.00	0.55789
412.00	0.48967
413.00	0.41693
414.00	0.36063
415.00	0.31258
416.00	0.26955
417.00	0.22906
418.00	0.19204
419.00	0.16536
420.00	0.14509
421.00	0.12611
422.00	0.11096
423.00	0.098053
424.00	0.086720
425.00	0.078463
426.00	0.072008
427.00	0.064660
428.00	0.059247
429.00	0.052751
430.00	0.048123
431.00	0.043599
432.00	0.039042
433.00	0.035309
434.00	0.030873
435.00	0.027918
436.00	0.024961
437.00	0.022078
438.00	0.020238
439.00	0.018164
440.00	0.015935
441.00	0.014278
442.00	0.013269
443.00	0.012326
444.00	0.011445
445.00	0.010853
446.00	0.010417
447.00	0.010001
448.00	0.010263
449.00	0.0099126
450.00	0.0098501
451.00	0.0096736
452.00	0.0099390
453.00	0.0094278
454.00	0.0096561
455.00	0.0098201
456.00	0.0097131
457.00	0.0099730
458.00	0.010380
459.00	0.010280
460.00	0.010412
461.00	0.010285
462.00	0.010720
463.00	0.011183
464.00	0.011701
465.00	0.012144
466.00	0.012722
467.00	0.013853
468.00	0.014087
469.00	0.014694
470.00	0.015940
471.00	0.016275
472.00	0.017589
473.00	0.018852
474.00	0.019471
475.00	0.020535
476.00	0.021707
477.00	0.022186
478.00	0.023099
479.00	0.023792
480.00	0.024092
481.00	0.024852
482.00	0.024618
483.00	0.024648
484.00	0.024013
485.00	0.023830
486.00	0.023425
487.00	0.023587
488.00	0.023292
489.00	0.022935
490.00	0.022862
491.00	0.022839
492.00	0.022831
493.00	0.022542
494.00	0.023422
495.00	0.024186
496.00	0.025184
497.00	0.025823
498.00	0.026616
499.00	0.028447
500.00	0.029672
501.00	0.030893
502.00	0.032310
503.00	0.032912
504.00	0.034084
505.00	0.034260
506.00	0.034898
507.00	0.034503
508.00	0.034157
509.00	0.033369
510.00	0.032522
511.00	0.031083
512.00	0.029867
513.00	0.028738
514.00	0.027285
515.00	0.025599
516.00	0.024288
517.00	0.022638
518.00	0.021208
519.00	0.020213
520.00	0.019257
521.00	0.017948
522.00	0.017447
523.00	0.016423
524.00	0.015512
525.00	0.014840
526.00	0.014418
527.00	0.014067
528.00	0.014143
529.00	0.014215
530.00	0.014305
531.00	0.014887
532.00	0.015764
533.00	0.016136
534.00	0.016939
535.00	0.018234
536.00	0.019916
537.00	0.021756
538.00	0.023173
539.00	0.025141
540.00	0.026864
541.00	0.028496
542.00	0.029621
543.00	0.030906
544.00	0.032036
545.00	0.033418
546.00	0.034382
547.00	0.035003
548.00	0.034872
549.00	0.035112
550.00	0.034672
551.00	0.034560
552.00	0.034104
553.00	0.033545
554.00	0.032981
555.00	0.032041
556.00	0.030928
557.00	0.028645
558.00	0.027018
559.00	0.024715
560.00	0.022880
561.00	0.021486
562.00	0.020445
563.00	0.019444
564.00	0.018439
565.00	0.017180
566.00	0.016372
567.00	0.015789
568.00	0.015159
569.00	0.015151
570.00	0.015117
571.00	0.015710
572.00	0.015469
573.00	0.015131
574.00	0.014204
575.00	0.013571
576.00	0.013100
577.00	0.012600
578.00	0.012670
579.00	0.012152
580.00	0.011449
581.00	0.011504
582.00	0.010754
583.00	0.010702
584.00	0.0095451
585.00	0.0091064
586.00	0.0098037
587.00	0.0099281
588.00	0.0097098
589.00	0.0095449
590.00	0.0084368
591.00	0.0085108
592.00	0.0087900
593.00	0.0092053
594.00	0.0090773
595.00	0.0095786
596.00	0.0091215
597.00	0.0093423
598.00	0.0083360
599.00	0.0084769
600.00	0.0081807
601.00	0.0083648
602.00	0.0083321
603.00	0.0083347
604.00	0.0074746
605.00	0.0077554
606.00	0.0077790
607.00	0.0085234
608.00	0.0093270
609.00	0.010322
610.00	0.011260
611.00	0.012278
612.00	0.013248
613.00	0.015395
614.00	0.018218
615.00	0.021409
616.00	0.027097
617.00	0.030653
618.00	0.032651
619.00	0.032980
620.00	0.031399
621.00	0.031380
622.00	0.030860
623.00	0.030574
624.00	0.030980
625.00	0.031428
626.00	0.031917
627.00	0.031345
628.00	0.029978
629.00	0.028882
630.00	0.028305
631.00	0.028100
632.00	0.026737
633.00	0.025645
634.00	0.023973
635.00	0.021988
636.00	0.019463
637.00	0.019516
638.00	0.019539
639.00	0.019599
640.00	0.020040
641.00	0.020349
642.00	0.021521
643.00	0.022914
644.00	0.025123
645.00	0.028326
646.00	0.030849
647.00	0.033918
648.00	0.037183
649.00	0.039299
650.00	0.039723
651.00	0.039066
652.00	0.037011
653.00	0.034567
654.00	0.032011
655.00	0.030226
656.00	0.028541
657.00	0.027475
658.00	0.027282
659.00	0.027726
660.00	0.027647
661.00	0.028298
662.00	0.029265
663.00	0.029803
664.00	0.031316
665.00	0.032048
666.00	0.032745
667.00	0.033750
668.00	0.035441
669.00	0.037944
670.00	0.041500
671.00	0.046337
672.00	0.052360
673.00	0.062488
674.00	0.076170
675.00	0.096742
676.00	0.12825
677.00	0.17179
678.00	0.23375
679.00	0.30751
680.00	0.39237
681.00	0.46237
682.00	0.51192
683.00	0.52694
684.00	0.50055
685.00	0.44276
686.00	0.37161
687.00	0.30343
688.00	0.24228
689.00	0.18717
690.00	0.14546
691.00	0.11040
692.00	0.082437
693.00	0.061210
694.00	0.045880
695.00	0.035734
696.00	0.028949
697.00	0.022273
698.00	0.017876
699.00	0.013849
700.00	0.011013
701.00	0.0091407
702.00	0.0077512
703.00	0.0069220
704.00	0.0072656
705.00	0.0063298
706.00	0.0043020
707.00	0.0042505
708.00	0.0036736
709.00	0.0035509
710.00	0.0026697
711.00	0.0024396
712.00	0.0034784
713.00	0.0037133
714.00	0.0037425
715.00	0.0043751
716.00	0.0038808
717.00	0.0027732
718.00	0.0040163
719.00	0.0040815
720.00	0.0037550
721.00	0.0028649
722.00	0.0031966
723.00	0.0026749
724.00	0.0023128
725.00	0.0023396
726.00	0.0023011
727.00	0.0023431
728.00	0.0025704
729.00	0.0032956
730.00	0.0031081
731.00	0.0025528
732.00	0.0025933
733.00	0.0023754
734.00	0.0024491
735.00	0.0025706
736.00	0.0025532
737.00	0.0021204
738.00	0.0022464
739.00	0.0026007
740.00	0.0021464
741.00	0.0018612
742.00	0.0014742
743.00	0.0014488
744.00	0.0010156
745.00	0.00074406
746.00	0.0011048
747.00	0.0017401
748.00	0.0027116
749.00	0.0022295
750.00	0.0024259
751.00	0.0020856
752.00	0.00067584
753.00	0.0029594
754.00	0.0025536
755.00	0.0022315
756.00	0.0028714
757.00	0.0013386
758.00	3.2933e-05
759.00	0.00056219
760.00	0.00044111
761.00	0.00010703
762.00	0.0013067
763.00	0.00037057
764.00	0.0018081
765.00	0.0021234
766.00	0.0022729
767.00	0.0019553
768.00	0.0021569
769.00	0.00018261
770.00	0.0017272
771.00	0.00044356
772.00	0.0016586
773.00	0.0015014
774.00	0.0012736
775.00	0.0013585
776.00	0.0011741
777.00	0.0014292
778.00	0.0018206
779.00	0.0030659
780.00	0.0022017
781.00	0.0023672
782.00	0.0028503
783.00	0.0023473
784.00	0.0025207
785.00	0.0023325
786.00	0.0028921
787.00	0.0014928
788.00	0.0017404
789.00	0.0016433
790.00	0.0010018
791.00	0.0013543
792.00	0.0010448
793.00	0.0011795
794.00	0.0017239
795.00	0.0015905
796.00	0.0010012
797.00	0.0019303
798.00	0.0010698
799.00	0.00074514
800.00	0.00021962
