Wavelength (nm)	J Agric Food Chem 2020_7132, Ob-NCC-40
200.00	0.89987
201.00	0.90445
202.00	0.90903
203.00	0.91361
204.00	0.91819
205.00	0.92387
206.00	0.93303
207.00	0.94227
208.00	0.95419
209.00	0.96611
210.00	0.97626
211.00	0.98630
212.00	0.99762
213.00	1.0000
214.00	0.99868
215.00	0.99498
216.00	0.99129
217.00	0.98080
218.00	0.96952
219.00	0.95181
220.00	0.93410
221.00	0.91418
222.00	0.89328
223.00	0.87237
224.00	0.84658
225.00	0.81971
226.00	0.79754
227.00	0.78007
228.00	0.76260
229.00	0.74634
230.00	0.73493
231.00	0.72353
232.00	0.71340
233.00	0.70586
234.00	0.69833
235.00	0.69089
236.00	0.68859
237.00	0.68629
238.00	0.68399
239.00	0.68169
240.00	0.67944
241.00	0.67723
242.00	0.67502
243.00	0.67259
244.00	0.66762
245.00	0.66265
246.00	0.65716
247.00	0.64710
248.00	0.63698
249.00	0.62228
250.00	0.60758
251.00	0.59209
252.00	0.57519
253.00	0.55829
254.00	0.54112
255.00	0.52320
256.00	0.50528
257.00	0.48850
258.00	0.47344
259.00	0.45837
260.00	0.44361
261.00	0.43189
262.00	0.42017
263.00	0.40952
264.00	0.40246
265.00	0.39539
266.00	0.38843
267.00	0.38480
268.00	0.38117
269.00	0.37753
270.00	0.37390
271.00	0.37142
272.00	0.36901
273.00	0.36659
274.00	0.36418
275.00	0.36241
276.00	0.36150
277.00	0.36059
278.00	0.35968
279.00	0.35891
280.00	0.35912
281.00	0.35934
282.00	0.35956
283.00	0.36096
284.00	0.36314
285.00	0.36533
286.00	0.36859
287.00	0.37347
288.00	0.37836
289.00	0.38439
290.00	0.39145
291.00	0.39851
292.00	0.40615
293.00	0.41585
294.00	0.42556
295.00	0.43526
296.00	0.44688
297.00	0.45936
298.00	0.47184
299.00	0.48432
300.00	0.49680
301.00	0.50958
302.00	0.52267
303.00	0.53575
304.00	0.54883
305.00	0.56145
306.00	0.57391
307.00	0.58638
308.00	0.59665
309.00	0.60423
310.00	0.61180
311.00	0.61730
312.00	0.62045
313.00	0.62360
314.00	0.62001
315.00	0.61642
316.00	0.61283
317.00	0.60577
318.00	0.59749
319.00	0.58763
320.00	0.57151
321.00	0.55538
322.00	0.53609
323.00	0.51636
324.00	0.49663
325.00	0.47323
326.00	0.44891
327.00	0.42459
328.00	0.39750
329.00	0.36981
330.00	0.34212
331.00	0.31537
332.00	0.28866
333.00	0.26195
334.00	0.23548
335.00	0.20933
336.00	0.18319
337.00	0.15956
338.00	0.13913
339.00	0.11869
340.00	0.10102
341.00	0.085359
342.00	0.071896
343.00	0.059964
344.00	0.050149
345.00	0.042450
346.00	0.034983
347.00	0.030597
348.00	0.026210
349.00	0.021824
350.00	0.018946
351.00	0.016293
352.00	0.013641
353.00	0.011499
354.00	0.010349
355.00	0.0091988
356.00	0.0080487
357.00	0.0070032
358.00	0.0062551
359.00	0.0055070
360.00	0.0047588
361.00	0.0040463
362.00	0.0038065
363.00	0.0035668
364.00	0.0033270
365.00	0.0030872
366.00	0.0028474
367.00	0.0026077
368.00	0.0024738
369.00	0.0024694
370.00	0.0024650
371.00	0.0024606
372.00	0.0024562
373.00	0.0024517
374.00	0.0024473
375.00	0.0024442
376.00	0.0024442
377.00	0.0024442
378.00	0.0024442
379.00	0.0024442
380.00	0.0024442
381.00	0.0024442
382.00	0.0024442
383.00	0.0024442
384.00	0.0024442
385.00	0.0024442
386.00	0.0024442
387.00	0.0024442
388.00	0.0024442
389.00	0.0024442
390.00	0.0024442
391.00	0.0024442
392.00	0.0024442
393.00	0.0024442
394.00	0.0024442
395.00	0.0024442
396.00	0.0024442
397.00	0.0024442
398.00	0.0024442
399.00	0.0024442
400.00	0.0024442
401.00	0.0024442
402.00	0.0024442
403.00	0.0024442
404.00	0.0024442
405.00	0.0024442
406.00	0.0024442
407.00	0.0024442
408.00	0.0024442
409.00	0.0024442
410.00	0.0024442
411.00	0.0024442
412.00	0.0024442
413.00	0.0024442
414.00	0.0024442
415.00	0.0024442
416.00	0.0024442
417.00	0.0024442
418.00	0.0024442
419.00	0.0024442
420.00	0.0024442
421.00	0.0024442
422.00	0.0024442
423.00	0.0024442
424.00	0.0024442
425.00	0.0024442
426.00	0.0024442
427.00	0.0024442
428.00	0.0024442
429.00	0.0024442
430.00	0.0024442
431.00	0.0024442
432.00	0.0024442
433.00	0.0024442
434.00	0.0024442
435.00	0.0024442
436.00	0.0024442
437.00	0.0024442
438.00	0.0024442
439.00	0.0024442
440.00	0.0024442
441.00	0.0024442
442.00	0.0024442
443.00	0.0024442
444.00	0.0024442
445.00	0.0024442
446.00	0.0024442
447.00	0.0024442
448.00	0.0024442
449.00	0.0024442
450.00	0.0024442
451.00	0.0024442
452.00	0.0024442
453.00	0.0024442
454.00	0.0024442
455.00	0.0024442
456.00	0.0024442
457.00	0.0024442
458.00	0.0024442
459.00	0.0024442
460.00	0.0024442
461.00	0.0024442
462.00	0.0024442
463.00	0.0024442
464.00	0.0024442
465.00	0.0024442
466.00	0.0024442
467.00	0.0024442
468.00	0.0024442
469.00	0.0024442
470.00	0.0024442
471.00	0.0024442
472.00	0.0024442
473.00	0.0024442
474.00	0.0024442
475.00	0.0024442
476.00	0.0024442
477.00	0.0024442
478.00	0.0024442
479.00	0.0024442
480.00	0.0024442
481.00	0.0024442
482.00	0.0024442
483.00	0.0024442
484.00	0.0024442
485.00	0.0024442
486.00	0.0024442
487.00	0.0024442
488.00	0.0024442
489.00	0.0024442
490.00	0.0024442
491.00	0.0024442
492.00	0.0024442
493.00	0.0024442
494.00	0.0024442
495.00	0.0024442
496.00	0.0024442
497.00	0.0024442
498.00	0.0024442
499.00	0.0024442
500.00	0.0024442
