Wavelength (nm)	B03 ems
410.00	7.9105e+05
410.50	7.6572e+05
411.00	7.5077e+05
411.50	7.2636e+05
412.00	7.1382e+05
412.50	6.9204e+05
413.00	6.7461e+05
413.50	6.5293e+05
414.00	6.4348e+05
414.50	6.2158e+05
415.00	6.0747e+05
415.50	5.8534e+05
416.00	5.7634e+05
416.50	5.5568e+05
417.00	5.4255e+05
417.50	5.2226e+05
418.00	5.1381e+05
418.50	4.9736e+05
419.00	4.8812e+05
419.50	4.7019e+05
420.00	4.6066e+05
420.50	4.4664e+05
421.00	4.3617e+05
421.50	4.2117e+05
422.00	4.1511e+05
422.50	4.0366e+05
423.00	3.9551e+05
423.50	3.8334e+05
424.00	3.7492e+05
424.50	3.6236e+05
425.00	3.5883e+05
425.50	3.4636e+05
426.00	3.4116e+05
426.50	3.3044e+05
427.00	3.2544e+05
427.50	3.1229e+05
428.00	3.0653e+05
428.50	2.9826e+05
429.00	2.9262e+05
429.50	2.8543e+05
430.00	2.7912e+05
430.50	2.6982e+05
431.00	2.6471e+05
431.50	2.5637e+05
432.00	2.5192e+05
432.50	2.4622e+05
433.00	2.4034e+05
433.50	2.3200e+05
434.00	2.2814e+05
434.50	2.2131e+05
435.00	2.1682e+05
435.50	2.0931e+05
436.00	2.0577e+05
436.50	1.9945e+05
437.00	1.9529e+05
437.50	1.8905e+05
438.00	1.8649e+05
438.50	1.8003e+05
439.00	1.7674e+05
439.50	1.7078e+05
440.00	1.6733e+05
440.50	1.6227e+05
441.00	1.5916e+05
441.50	1.5401e+05
442.00	1.5150e+05
442.50	1.4661e+05
443.00	1.4339e+05
443.50	1.3861e+05
444.00	1.3555e+05
444.50	1.3125e+05
445.00	1.2848e+05
445.50	1.2366e+05
446.00	1.2178e+05
446.50	1.1849e+05
447.00	1.1500e+05
447.50	1.1110e+05
448.00	1.0989e+05
448.50	1.0563e+05
449.00	1.0362e+05
449.50	99540
450.00	97223
450.50	94954
451.00	92540
451.50	89336
452.00	87689
452.50	84857
453.00	81651
453.50	79336
454.00	78400
454.50	75297
455.00	73823
455.50	70607
456.00	70430
456.50	67917
457.00	66519
457.50	64044
458.00	62619
458.50	60829
459.00	59599
459.50	58038
460.00	56915
460.50	55011
461.00	54626
461.50	52525
462.00	52042
462.50	50841
463.00	49645
463.50	47934
464.00	47322
464.50	46231
465.00	45440
465.50	44353
466.00	43401
466.50	42632
467.00	41500
467.50	39925
468.00	40017
468.50	38888
469.00	37869
469.50	36935
470.00	36210
470.50	35451
471.00	34741
471.50	33464
472.00	32830
472.50	32110
473.00	31574
473.50	30710
474.00	29806
474.50	29039
475.00	28800
475.50	27729
476.00	27297
476.50	26515
477.00	26116
477.50	25012
478.00	24925
478.50	23836
479.00	23202
479.50	22764
480.00	22416
480.50	21499
481.00	20639
481.50	20522
482.00	20688
482.50	19834
483.00	19351
483.50	18840
484.00	18544
484.50	18322
485.00	18003
485.50	17557
486.00	17027
486.50	16620
487.00	16259
487.50	15832
488.00	15750
488.50	15517
489.00	15140
489.50	15212
490.00	14800
490.50	14142
491.00	14330
491.50	13991
492.00	13625
492.50	13699
493.00	13302
493.50	13005
494.00	12869
494.50	12649
495.00	12395
495.50	12095
496.00	11970
496.50	11806
497.00	11754
497.50	11419
498.00	11011
498.50	11140
499.00	11108
499.50	10750
500.00	10542
